Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Dylan Moses,dylan-moses-1,/cfb/players/dylan-moses-1.html,LB,13,40,40,80,6.5,1.5,1,1,1.0,0,3,0,0,0,1,,Alabama,2020
Christian Harris,christian-harris-3,/cfb/players/christian-harris-3.html,LB,13,52,27,79,7.0,4.5,1,0,0.0,0,2,0,0,0,0,,Alabama,2020
Jordan Battle,jordan-battle-1,/cfb/players/jordan-battle-1.html,DB,13,39,27,66,3.0,0.0,1,45,45.0,1,4,0,0,0,0,,Alabama,2020
Demarcco Hellams,demarcco-hellams-1,/cfb/players/demarcco-hellams-1.html,DB,13,36,26,62,1.5,1.0,0,0,,0,3,0,0,0,0,,Alabama,2020
Daniel Wright,daniel-wright-1,/cfb/players/daniel-wright-1.html,DB,13,43,17,60,1.0,0.0,2,65,32.5,1,3,0,0,0,0,,Alabama,2020
Josh Jobe,josh-jobe-1,/cfb/players/josh-jobe-1.html,DB,13,39,16,55,2.5,2.0,0,0,,0,11,0,0,0,2,,Alabama,2020
Will Anderson Jr.,will-anderson-jr-1,/cfb/players/will-anderson-jr-1.html,LB,13,33,19,52,10.5,7.0,0,0,,0,0,0,0,0,1,,Alabama,2020
Malachi Moore,malachi-moore-2,/cfb/players/malachi-moore-2.html,DB,11,27,17,44,4.0,0.0,3,42,14.0,0,6,1,28,1,1,,Alabama,2020
Christopher Allen,christopher-allen-1,/cfb/players/christopher-allen-1.html,LB,13,25,16,41,13.0,6.0,0,0,,0,0,1,0,0,2,,Alabama,2020
Patrick Surtain II,patrick-surtain-ii-1,/cfb/players/patrick-surtain-ii-1.html,DB,13,22,16,38,3.5,0.0,1,25,25.0,1,12,1,0,0,0,AA,Alabama,2020
Christian Barmore,christian-barmore-1,/cfb/players/christian-barmore-1.html,DL,12,22,15,37,9.5,8.0,0,0,,0,3,0,0,0,3,,Alabama,2020
