Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Xavian Sorey Jr.,xavian-sorey-jr-1,/cfb/players/xavian-sorey-jr-1.html,LB,13,40,59,99,9.5,2.0,1,3,3.0,0,1,0,0,0,0,,Arkansas,2024
Doneiko Slaughter,doneiko-slaughter-1,/cfb/players/doneiko-slaughter-1.html,DB,13,44,36,80,3.0,1.0,1,0,0.0,0,6,0,0,0,1,,Arkansas,2024
Stephen Dix Jr.,stephen-dix-jr-1,/cfb/players/stephen-dix-jr-1.html,LB,13,23,49,72,2.5,2.0,0,0,,0,1,1,0,0,0,,Arkansas,2024
TJ Metcalf,tj-metcalf-1,/cfb/players/tj-metcalf-1.html,DB,12,29,28,57,1.0,0.0,3,44,14.7,0,7,0,0,0,1,,Arkansas,2024
Jayden Johnson,jayden-johnson-1,/cfb/players/jayden-johnson-1.html,DB,13,26,31,57,3.5,1.0,1,10,10.0,0,5,0,0,0,1,,Arkansas,2024
Larry Worth,larry-worth-1,/cfb/players/larry-worth-1.html,LB,13,20,34,54,1.5,0.5,0,0,,0,2,0,0,0,1,,Arkansas,2024
Brad Spence,brad-spence-1,/cfb/players/brad-spence-1.html,LB,12,26,28,54,6.0,4.5,0,0,,0,1,0,0,0,0,,Arkansas,2024
Landon Jackson,landon-jackson-1,/cfb/players/landon-jackson-1.html,DL,12,27,22,49,9.5,6.5,0,0,,0,3,1,0,0,1,,Arkansas,2024
Cameron Ball,cameron-ball-1,/cfb/players/cameron-ball-1.html,DL,13,22,25,47,4.0,1.5,0,0,,0,0,1,0,0,0,,Arkansas,2024
Eric Gregory,eric-gregory-1,/cfb/players/eric-gregory-1.html,DL,12,17,25,42,5.0,3.0,0,0,,0,1,0,0,0,0,,Arkansas,2024
Hudson Clark,hudson-clark-1,/cfb/players/hudson-clark-1.html,DB,10,17,20,37,1.5,0.0,1,5,5.0,0,5,1,0,0,1,,Arkansas,2024
Marquise Robinson,marquise-robinson-1,/cfb/players/marquise-robinson-1.html,DB,12,20,16,36,0.0,0.0,1,26,26.0,0,7,0,0,0,0,,Arkansas,2024
Jaheim Singletary,jaheim-singletary-1,/cfb/players/jaheim-singletary-1.html,DB,10,14,11,25,0.0,0.0,1,0,0.0,0,2,0,0,0,0,,Arkansas,2024
Nico Davillier,nico-davillier-1,/cfb/players/nico-davillier-1.html,DL,10,8,15,23,1.5,1.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Anthony Switzer,anthony-switzer-1,/cfb/players/anthony-switzer-1.html,S,10,13,10,23,1.5,0.0,0,0,,0,0,0,0,0,1,,Arkansas,2024
Kee'yon Stewart,keeyon-stewart-1,/cfb/players/keeyon-stewart-1.html,DB,13,15,7,22,0.0,0.0,0,0,,0,3,1,-2,0,0,,Arkansas,2024
Miguel Mitchell,miguel-mitchell-1,/cfb/players/miguel-mitchell-1.html,DB,5,13,7,20,0.5,0.0,1,47,47.0,0,0,0,0,0,0,,Arkansas,2024
Anton Juncaj,anton-juncaj-1,/cfb/players/anton-juncaj-1.html,DE,11,7,12,19,3.5,1.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Keivie Rose,keivie-rose-1,/cfb/players/keivie-rose-1.html,DL,13,4,15,19,1.0,0.0,0,0,,0,1,0,0,0,0,,Arkansas,2024
Quincy Rhodes Jr.,quincy-rhodes-jr-1,/cfb/players/quincy-rhodes-jr-1.html,DE,12,6,9,15,2.0,1.0,0,0,,0,1,0,0,0,0,,Arkansas,2024
Ian Geffrard,ian-geffrard-1,/cfb/players/ian-geffrard-1.html,DL,12,4,9,13,1.5,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Bradley Shaw,bradley-shaw-1,/cfb/players/bradley-shaw-1.html,LB,12,4,8,12,2.5,1.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Devin Bale,devin-bale-1,/cfb/players/devin-bale-1.html,P,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Brooks Both,brooks-both-1,/cfb/players/brooks-both-1.html,LB,13,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Danny Saili,danny-saili-1,/cfb/players/danny-saili-1.html,DL,7,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Ahkhari Johnson,ahkhari-johnson-1,/cfb/players/ahkhari-johnson-1.html,DB,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Ashton Ngo,ashton-ngo-1,/cfb/players/ashton-ngo-1.html,LS,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Charlie Collins,charlie-collins-3,/cfb/players/charlie-collins-3.html,DL,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Tevis Metcalf,tevis-metcalf-1,/cfb/players/tevis-metcalf-1.html,DB,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Taylen Green,taylen-green-1,/cfb/players/taylen-green-1.html,QB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Andrew Armstrong,andrew-armstrong-2,/cfb/players/andrew-armstrong-2.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Josh Braun,josh-braun-1,/cfb/players/josh-braun-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Braylen Russell,braylen-russell-1,/cfb/players/braylen-russell-1.html,RB,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Isaac TeSlaa,isaac-teslaa-1,/cfb/players/isaac-teslaa-1.html,WR,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Dylan Hasz,dylan-hasz-1,/cfb/players/dylan-hasz-1.html,DB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Carson Dean,carson-dean-1,/cfb/players/carson-dean-1.html,LB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
Dallas Young,dallas-young-1,/cfb/players/dallas-young-1.html,DB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Arkansas,2024
