Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jalen Pitre,jalen-pitre-1,/cfb/players/jalen-pitre-1.html,S,9,41,19,60,13.0,2.5,2,56,28.0,2,2,0,0,0,0,,Baylor,2020
Dillon Doyle,dillon-doyle-1,/cfb/players/dillon-doyle-1.html,LB,9,37,19,56,2.0,1.0,0,0,,0,1,1,0,0,1,,Baylor,2020
Terrel Bernard,terrel-bernard-1,/cfb/players/terrel-bernard-1.html,LB,5,34,21,55,6.5,3.5,1,0,0.0,0,2,0,0,0,0,,Baylor,2020
Christian Morgan,christian-morgan-3,/cfb/players/christian-morgan-3.html,S,8,39,15,54,2.0,1.0,3,0,0.0,0,1,0,0,0,0,,Baylor,2020
Abram Smith,abram-smith-1,/cfb/players/abram-smith-1.html,LB,8,31,17,48,5.0,1.0,0,0,,0,0,0,0,0,0,,Baylor,2020
J.T. Woods,jt-woods-1,/cfb/players/jt-woods-1.html,S,9,29,17,46,0.5,0.0,3,92,30.7,0,1,0,0,0,0,,Baylor,2020
Jairon McVea,jairon-mcvea-1,/cfb/players/jairon-mcvea-1.html,S,9,18,15,33,1.5,0.0,0,0,,0,1,0,0,0,0,,Baylor,2020
William Bradley-King,william-bradley-king-1,/cfb/players/william-bradley-king-1.html,LB,9,20,11,31,5.5,3.5,0,0,,0,4,1,0,0,1,,Baylor,2020
Raleigh Texada,raleigh-texada-1,/cfb/players/raleigh-texada-1.html,CB,9,21,8,29,1.5,1.0,1,56,56.0,0,3,0,0,0,1,,Baylor,2020
TJ Franklin,tj-franklin-1,/cfb/players/tj-franklin-1.html,DE,7,8,15,23,3.0,1.5,0,0,,0,0,0,0,0,0,,Baylor,2020
Brayden Utley,brayden-utley-1,/cfb/players/brayden-utley-1.html,DE,6,12,8,20,2.0,0.0,0,0,,0,0,1,0,0,0,,Baylor,2020
Mark Milton,mark-milton-1,/cfb/players/mark-milton-1.html,CB,8,10,7,17,1.5,0.0,0,0,,0,2,0,0,0,0,,Baylor,2020
Ashton Logan,ashton-logan-1,/cfb/players/ashton-logan-1.html,LB,8,8,8,16,3.0,0.0,0,0,,0,1,0,0,0,0,,Baylor,2020
Kalon Barnes,kalon-barnes-1,/cfb/players/kalon-barnes-1.html,CB,6,11,2,13,2.0,0.0,1,0,0.0,0,3,0,0,0,0,,Baylor,2020
Ryan Miller,ryan-miller-3,/cfb/players/ryan-miller-3.html,DT,9,6,6,12,1.5,1.0,0,0,,0,1,0,0,0,0,,Baylor,2020
Josh Landry,josh-landry-1,/cfb/players/josh-landry-1.html,DT,7,8,4,12,1.5,1.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Matt Jones,matt-jones-8,/cfb/players/matt-jones-8.html,LB,8,8,3,11,2.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Victor Obi,victor-obi-1,/cfb/players/victor-obi-1.html,LB,5,6,0,6,1.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Bryson Jackson,bryson-jackson-1,/cfb/players/bryson-jackson-1.html,LB,8,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Tyrone Brown,tyrone-brown-5,/cfb/players/tyrone-brown-5.html,LB,4,2,1,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Ezekiel Brown,ezekiel-brown-1,/cfb/players/ezekiel-brown-1.html,S,7,3,0,3,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,Baylor,2020
Al Walcott,al-walcott-1,/cfb/players/al-walcott-1.html,S,8,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Byron Hanspard Jr.,byron-hanspard-jr-1,/cfb/players/byron-hanspard-jr-1.html,CB,4,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Devin Neal,devin-neal-2,/cfb/players/devin-neal-2.html,S,9,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Cole Maxwell,cole-maxwell-1,/cfb/players/cole-maxwell-1.html,DT,7,1,2,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Trystan Slinker,trystan-slinker-1,/cfb/players/trystan-slinker-1.html,LB,8,1,1,2,0.0,0.0,0,0,,0,1,0,0,0,0,,Baylor,2020
Garmon Randolph,garmon-randolph-1,/cfb/players/garmon-randolph-1.html,DE,5,1,1,2,1.0,1.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Gabe Hall,gabe-hall-3,/cfb/players/gabe-hall-3.html,DT,2,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Skyler Wetzel,skyler-wetzel-1,/cfb/players/skyler-wetzel-1.html,S,8,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Michael McNair,michael-mcnair-1,/cfb/players/michael-mcnair-1.html,LB,9,2,0,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Xavier Newman,xavier-newman-1,/cfb/players/xavier-newman-1.html,OL,6,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Will Williams,will-williams-1,/cfb/players/will-williams-1.html,S,3,1,0,1,0.0,0.0,0,0,,0,0,1,0,0,0,,Baylor,2020
Noah Rauschenberg,noah-rauschenberg-1,/cfb/players/noah-rauschenberg-1.html,K,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Mose Jeffery,mose-jeffery-1,/cfb/players/mose-jeffery-1.html,OL,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
John Lovett,john-lovett-1,/cfb/players/john-lovett-1.html,RB,5,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Jacoby Clarke,jacoby-clarke-1,/cfb/players/jacoby-clarke-1.html,RB,7,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Jackson Shupp,jackson-shupp-1,/cfb/players/jackson-shupp-1.html,DE,1,1,0,1,0.0,0.0,0,0,,0,1,0,0,0,0,,Baylor,2020
Isaac Power,isaac-power-1,/cfb/players/isaac-power-1.html,P,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Charlie Brewer,charlie-brewer-1,/cfb/players/charlie-brewer-1.html,QB,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Casey Phillips,casey-phillips-1,/cfb/players/casey-phillips-1.html,OL,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Ben Sims,ben-sims-1,/cfb/players/ben-sims-1.html,TE,6,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Aj McCarty,aj-mccarty-1,/cfb/players/aj-mccarty-1.html,CB,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Baylor,2020
Gunnar Royer,gunnar-royer-1,/cfb/players/gunnar-royer-1.html,LS,9,0,0,0,0.0,0.0,0,0,,0,0,1,0,0,0,,Baylor,2020
