Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
D.J. Schramm,dj-schramm-1,/cfb/players/dj-schramm-1.html,LB,14,53,54,107,11.5,0.5,0,0,,0,0,0,0,0,1,,Boise State,2022
JL Skinner,jl-skinner-1,/cfb/players/jl-skinner-1.html,S,12,36,29,65,0.5,0.0,4,30,7.5,0,5,0,0,0,0,,Boise State,2022
Ezekiel Noa,ezekiel-noa-1,/cfb/players/ezekiel-noa-1.html,LB,10,34,26,60,8.5,4.5,2,67,33.5,0,2,0,0,0,3,,Boise State,2022
Scott Matlock,scott-matlock-1,/cfb/players/scott-matlock-1.html,DT,13,26,23,49,6.0,2.5,0,0,,0,1,0,0,0,0,,Boise State,2022
Rodney Robinson,rodney-robinson-1,/cfb/players/rodney-robinson-1.html,S,14,33,15,48,2.5,0.0,3,0,0.0,0,3,0,0,0,0,,Boise State,2022
Seyi Oladipo,seyi-oladipo-1,/cfb/players/seyi-oladipo-1.html,S,14,31,9,40,1.5,0.0,1,48,48.0,1,5,0,0,0,0,,Boise State,2022
Caleb Biggers,caleb-biggers-1,/cfb/players/caleb-biggers-1.html,CB,14,32,7,39,5.0,1.0,1,1,1.0,0,4,1,0,0,1,,Boise State,2022
Alexander Teubner,alexander-teubner-1,/cfb/players/alexander-teubner-1.html,S,13,24,13,37,1.5,0.0,0,0,,0,2,0,0,0,0,,Boise State,2022
Demetri Washington,demetri-washington-1,/cfb/players/demetri-washington-1.html,DE,10,15,20,35,5.5,4.5,0,0,,0,0,0,0,0,0,,Boise State,2022
Tyreque Jones,tyreque-jones-1,/cfb/players/tyreque-jones-1.html,DB,12,19,15,34,4.5,0.0,1,0,0.0,0,3,0,0,0,0,,Boise State,2022
George Tarlas,george-tarlas-1,/cfb/players/george-tarlas-1.html,DE,7,12,19,31,6.0,4.0,0,0,,0,1,0,0,0,1,,Boise State,2022
Divine Obichere,divine-obichere-1,/cfb/players/divine-obichere-1.html,DT,13,11,19,30,6.5,3.0,0,0,,0,1,0,0,0,0,,Boise State,2022
Andrew Simpson,andrew-simpson-1,/cfb/players/andrew-simpson-1.html,LB,14,23,6,29,5.0,3.0,0,0,,0,3,0,0,0,0,,Boise State,2022
Herbert Gums Jr.,herbert-gums-jr-1,/cfb/players/herbert-gums-jr-1.html,DL,13,8,17,25,3.5,1.5,0,0,,0,2,0,0,0,0,,Boise State,2022
Jackson Cravens,jackson-cravens-1,/cfb/players/jackson-cravens-1.html,DT,10,7,17,24,2.0,1.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Kaonohi Kaniho,kaonohi-kaniho-1,/cfb/players/kaonohi-kaniho-1.html,CB,13,16,4,20,2.0,0.0,0,0,,0,3,1,0,0,0,,Boise State,2022
Tyric LeBeauf,tyric-lebeauf-1,/cfb/players/tyric-lebeauf-1.html,CB,14,18,2,20,0.0,0.0,0,0,,0,3,0,0,0,0,,Boise State,2022
Cortez Hogans,cortez-hogans-1,/cfb/players/cortez-hogans-1.html,DL,7,6,12,18,2.5,0.0,0,0,,0,1,0,0,0,0,,Boise State,2022
Jaylen Clark,jaylen-clark-1,/cfb/players/jaylen-clark-1.html,CB,14,11,6,17,0.0,0.0,1,38,38.0,0,5,1,0,0,0,,Boise State,2022
Gabe Hunter,gabe-hunter-1,/cfb/players/gabe-hunter-1.html,DE,10,4,11,15,1.0,0.5,2,2,1.0,0,1,1,0,0,0,,Boise State,2022
Ahmed Hassanein,ahmed-hassanein-1,/cfb/players/ahmed-hassanein-1.html,DT,12,7,6,13,2.0,2.0,0,0,,0,0,0,0,0,1,,Boise State,2022
Brandon Hawkins,brandon-hawkins-1,/cfb/players/brandon-hawkins-1.html,LB,14,3,8,11,0.5,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Isaiah Bagnah,isaiah-bagnah-1,/cfb/players/isaiah-bagnah-1.html,DE,6,5,5,10,1.0,1.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Ty Tanner,ty-tanner-1,/cfb/players/ty-tanner-1.html,LB,12,4,5,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Tyler Crowe,tyler-crowe-1,/cfb/players/tyler-crowe-1.html,RB,14,6,2,8,0.0,0.0,0,0,,0,0,1,0,0,0,,Boise State,2022
Michael Callahan,michael-callahan-1,/cfb/players/michael-callahan-1.html,DT,11,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Shea Whiting,shea-whiting-1,/cfb/players/shea-whiting-1.html,WR,12,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Deven Wright,deven-wright-1,/cfb/players/deven-wright-1.html,DE,9,2,3,5,1.0,1.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Braxton Fely,braxton-fely-1,/cfb/players/braxton-fely-1.html,DL,14,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,1,,Boise State,2022
Elelyon Noa,elelyon-noa-1,/cfb/players/elelyon-noa-1.html,RB,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Zion Washington,zion-washington-1,/cfb/players/zion-washington-1.html,S,10,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Jonah Dalmas,jonah-dalmas-1,/cfb/players/jonah-dalmas-1.html,K,14,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Marco Notarainni,marco-notarainni-1,/cfb/players/marco-notarainni-1.html,LB,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Riley Smith,riley-smith-2,/cfb/players/riley-smith-2.html,TE,11,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Chip Mitchell,chip-mitchell-1,/cfb/players/chip-mitchell-1.html,CB,6,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Kaden Dudley,kaden-dudley-1,/cfb/players/kaden-dudley-1.html,RB,8,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Taylen Green,taylen-green-1,/cfb/players/taylen-green-1.html,QB,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Dishawn Misa,dishawn-misa-1,/cfb/players/dishawn-misa-1.html,LB,4,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Markel Reed,markel-reed-1,/cfb/players/markel-reed-1.html,CB,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Bryce Cleave,bryce-cleave-1,/cfb/players/bryce-cleave-1.html,S,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Latrell Caples,latrell-caples-1,/cfb/players/latrell-caples-1.html,WR,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Billy Bowens,billy-bowens-1,/cfb/players/billy-bowens-1.html,WR,14,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Andy Nwaoko,andy-nwaoko-1,/cfb/players/andy-nwaoko-1.html,DE,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
Ethan Mikita,ethan-mikita-1,/cfb/players/ethan-mikita-1.html,RB,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boise State,2022
