Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Connor Strachan,connor-strachan-1,/cfb/players/connor-strachan-1.html,LB,12,47,44,91,8.0,3.0,0,0,,0,0,0,0,0,1,,Boston College,2018
Isaiah McDuffie,isaiah-mcduffie-1,/cfb/players/isaiah-mcduffie-1.html,LB,12,48,37,85,5.5,3.5,0,0,,0,2,0,0,0,0,,Boston College,2018
Max Richardson,max-richardson-2,/cfb/players/max-richardson-2.html,LB,12,39,37,76,9.0,2.5,0,0,,0,2,0,0,0,0,,Boston College,2018
William Harris,william-harris-4,/cfb/players/william-harris-4.html,DB,12,43,32,75,1.0,0.0,1,0,0.0,0,0,2,0,0,0,,Boston College,2018
Zach Allen,zach-allen-5,/cfb/players/zach-allen-5.html,DE,12,26,35,61,15.0,6.5,1,6,6.0,0,7,2,0,0,1,,Boston College,2018
Taj-Amir Torres,taj-amir-torres-1,/cfb/players/taj-amir-torres-1.html,DB,12,34,18,52,2.0,2.0,3,69,23.0,0,11,1,0,0,1,,Boston College,2018
Lukas Denis,lukas-denis-1,/cfb/players/lukas-denis-1.html,DB,12,31,18,49,0.5,0.5,1,59,59.0,1,2,0,0,0,1,,Boston College,2018
Brandon Sebastian,brandon-sebastian-1,/cfb/players/brandon-sebastian-1.html,DB,12,38,11,49,2.0,1.0,2,34,17.0,0,8,0,0,0,1,,Boston College,2018
Ray Smith,ray-smith-6,/cfb/players/ray-smith-6.html,DT,12,17,32,49,3.0,0.0,1,1,1.0,0,2,0,0,0,0,,Boston College,2018
Tanner Karafa,tanner-karafa-1,/cfb/players/tanner-karafa-1.html,DL,12,27,20,47,8.5,4.0,0,0,,0,0,1,0,0,0,,Boston College,2018
Wyatt Ray,wyatt-ray-1,/cfb/players/wyatt-ray-1.html,DE,12,23,21,44,11.5,9.0,0,0,,0,2,0,0,0,0,,Boston College,2018
Hamp Cheevers,hamp-cheevers-1,/cfb/players/hamp-cheevers-1.html,DB,12,27,12,39,0.0,0.0,7,135,19.3,1,7,1,0,0,1,,Boston College,2018
John Lamot,john-lamot-1,/cfb/players/john-lamot-1.html,LB,12,21,14,35,1.0,0.0,0,0,,0,0,0,0,0,1,,Boston College,2018
Mike Palmer,mike-palmer-4,/cfb/players/mike-palmer-4.html,DB,10,12,11,23,0.0,0.0,0,0,,0,2,0,0,0,0,,Boston College,2018
Kevin Bletzer,kevin-bletzer-1,/cfb/players/kevin-bletzer-1.html,LB,12,7,12,19,3.0,0.0,1,6,6.0,0,1,0,0,0,0,,Boston College,2018
Davon Jones,davon-jones-1,/cfb/players/davon-jones-1.html,LB,10,9,7,16,3.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Brandon Barlow,brandon-barlow-1,/cfb/players/brandon-barlow-1.html,DL,9,7,8,15,2.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Marcus Valdez,marcus-valdez-1,/cfb/players/marcus-valdez-1.html,DE,12,4,9,13,0.5,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Vinny DePalma,vinny-depalma-1,/cfb/players/vinny-depalma-1.html,LB,3,4,6,10,2.0,1.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Mehdi El Attrach,mehdi-el-attrach-1,/cfb/players/mehdi-el-attrach-1.html,DB,10,3,6,9,0.5,0.0,1,21,21.0,0,0,1,0,0,1,,Boston College,2018
Michael Walker,michael-walker-2,/cfb/players/michael-walker-2.html,WR,12,7,1,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
TJ Rayam,tj-rayam-1,/cfb/players/tj-rayam-1.html,DT,10,1,7,8,1.5,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Elijah Jones,elijah-jones-3,/cfb/players/elijah-jones-3.html,DB,4,6,0,6,0.0,0.0,0,0,,0,4,0,0,0,0,,Boston College,2018
Ben Glines,ben-glines-1,/cfb/players/ben-glines-1.html,WR,12,5,0,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Tyler Vrabel,tyler-vrabel-1,/cfb/players/tyler-vrabel-1.html,OL,3,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Drew McQuarrie,drew-mcquarrie-1,/cfb/players/drew-mcquarrie-1.html,DE,12,1,4,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Curt Bletzer,curt-bletzer-2,/cfb/players/curt-bletzer-2.html,LB,3,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Jaleel Berry,jaleel-berry-1,/cfb/players/jaleel-berry-1.html,DT,5,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Bryce Morais,bryce-morais-1,/cfb/players/bryce-morais-1.html,DL,5,1,3,4,0.0,0.0,0,0,,0,1,0,0,0,0,,Boston College,2018
Tate Haynes,tate-haynes-1,/cfb/players/tate-haynes-1.html,DB,4,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Joseph Sparacio,joseph-sparacio-1,/cfb/players/joseph-sparacio-1.html,LB,3,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Jimmy Martin,jimmy-martin-1,/cfb/players/jimmy-martin-1.html,LB,11,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Ben Stewart,ben-stewart-1,/cfb/players/ben-stewart-1.html,DB,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Ray Marten,ray-marten-1,/cfb/players/ray-marten-1.html,TE,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Nolan Borgersen,nolan-borgersen-1,/cfb/players/nolan-borgersen-1.html,DB,11,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Isaiah Miranda,isaiah-miranda-1,/cfb/players/isaiah-miranda-1.html,LB,4,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Jason Maitre,jason-maitre-1,/cfb/players/jason-maitre-1.html,DB,2,2,0,2,0.0,0.0,0,0,,0,1,0,0,0,0,,Boston College,2018
Travis Levy,travis-levy-1,/cfb/players/travis-levy-1.html,RB,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Joey Luchetti,joey-luchetti-1,/cfb/players/joey-luchetti-1.html,TE,1,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Aaron Monteiro,aaron-monteiro-1,/cfb/players/aaron-monteiro-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Jahmin Muse,jahmin-muse-1,/cfb/players/jahmin-muse-1.html,DB,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Danny Longman,danny-longman-1,/cfb/players/danny-longman-1.html,PK,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Chris Lindstrom,chris-lindstrom-1,/cfb/players/chris-lindstrom-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Chris Garrison,chris-garrison-1,/cfb/players/chris-garrison-1.html,TE,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
Anthony Brown,anthony-brown-11,/cfb/players/anthony-brown-11.html,QB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Boston College,2018
