Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Darren Anders,darren-anders-2,/cfb/players/darren-anders-2.html,LB,5,25,30,55,4.5,0.0,0,0,0,1,1,0,0,1,,Bowling Green,2020
Kholbe Coleman,kholbe-coleman-1,/cfb/players/kholbe-coleman-1.html,LB,5,24,19,43,2.5,1.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Jerry Roberts,jerry-roberts-2,/cfb/players/jerry-roberts-2.html,LB,5,11,21,32,1.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Caleb Biggers,caleb-biggers-1,/cfb/players/caleb-biggers-1.html,DB,5,17,9,26,2.0,0.0,0,0,0,1,0,0,0,0,,Bowling Green,2020
Jordan Anderson,jordan-anderson-2,/cfb/players/jordan-anderson-2.html,DB,5,17,8,25,1.5,0.0,0,0,0,3,0,0,0,0,,Bowling Green,2020
Roland Walder,roland-walder-1,/cfb/players/roland-walder-1.html,DL,5,9,13,22,5.5,2.0,0,0,0,0,0,0,0,1,,Bowling Green,2020
Sy Dabney,sy-dabney-1,/cfb/players/sy-dabney-1.html,DB,5,10,11,21,0.0,0.0,0,0,0,0,0,0,0,1,,Bowling Green,2020
Walter Haire,walter-haire-1,/cfb/players/walter-haire-1.html,DL,5,4,10,14,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Patrick Day,patrick-day-1,/cfb/players/patrick-day-1.html,DB,5,6,7,13,3.0,1.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Anthony Hawkins,anthony-hawkins-2,/cfb/players/anthony-hawkins-2.html,DL,5,3,9,12,1.0,0.0,0,0,0,1,0,0,0,0,,Bowling Green,2020
Dontrez Brown,dontrez-brown-1,/cfb/players/dontrez-brown-1.html,DL,5,5,6,11,0.5,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Andrew Bench,andrew-bench-1,/cfb/players/andrew-bench-1.html,DL,4,3,8,11,1.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Blaine Spires,blaine-spires-1,/cfb/players/blaine-spires-1.html,DL,5,6,5,11,2.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Diata Burns,diata-burns-1,/cfb/players/diata-burns-1.html,DB,4,7,3,10,2.0,0.0,0,0,0,2,0,0,0,0,,Bowling Green,2020
Cedric Mitchell,cedric-mitchell-1,/cfb/players/cedric-mitchell-1.html,DB,4,6,4,10,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Karl Brooks,karl-brooks-1,/cfb/players/karl-brooks-1.html,DL,3,3,7,10,2.5,2.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Isaiah Johnson-Mack,isaiah-johnson-mack-1,/cfb/players/isaiah-johnson-mack-1.html,LB,2,3,6,9,1.0,0.0,0,0,0,2,0,0,0,0,,Bowling Green,2020
Rodell Rahmaan,rodell-rahmaan-1,/cfb/players/rodell-rahmaan-1.html,LB,3,4,5,9,1.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Jordan Porter,jordan-porter-2,/cfb/players/jordan-porter-2.html,DL,5,6,3,9,2.0,1.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Jordan Murphy,jordan-murphy-3,/cfb/players/jordan-murphy-3.html,DL,5,2,5,7,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Davion Daniels,davion-daniels-1,/cfb/players/davion-daniels-1.html,DB,3,2,2,4,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Marcus Sheppard,marcus-sheppard-1,/cfb/players/marcus-sheppard-1.html,DB,5,4,0,4,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Myles Williamson,myles-williamson-1,/cfb/players/myles-williamson-1.html,DB,3,2,1,3,0.0,0.0,0,0,0,1,0,0,0,0,,Bowling Green,2020
Jevon Henderson,jevon-henderson-1,/cfb/players/jevon-henderson-1.html,DL,4,0,2,2,0.5,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Trent Simms,trent-simms-1,/cfb/players/trent-simms-1.html,DB,3,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Christian Sims,christian-sims-1,/cfb/players/christian-sims-1.html,TE,5,1,1,2,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Brock Horne,brock-horne-1,/cfb/players/brock-horne-1.html,LB,5,0,2,2,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Billie Roberts,billie-roberts-1,/cfb/players/billie-roberts-1.html,DL,3,1,1,2,0.5,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Joey Carroll,joey-carroll-2,/cfb/players/joey-carroll-2.html,OL,5,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Nate Needham,nate-needham-2,/cfb/players/nate-needham-2.html,K,5,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Pasean Wimberly,pasean-wimberly-1,/cfb/players/pasean-wimberly-1.html,WR,3,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
JB Brown,jb-brown-3,/cfb/players/jb-brown-3.html,LB,5,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Presley Motes,presley-motes-1,/cfb/players/presley-motes-1.html,TE,5,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
James Miller,james-miller-2,/cfb/players/james-miller-2.html,LB,5,0,1,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
Andrew Clair,andrew-clair-1,/cfb/players/andrew-clair-1.html,RB,4,1,0,1,0.0,0.0,0,0,0,0,0,0,0,0,,Bowling Green,2020
