Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Teddye Buchanan,teddye-buchanan-1,/cfb/players/teddye-buchanan-1.html,LB,13,45,69,114,12.0,5.0,0,0,,0,4,0,0,0,2,,California,2024
Cade Uluave,cade-uluave-1,/cfb/players/cade-uluave-1.html,LB,9,30,41,71,3.0,0.5,1,6,6.0,0,2,0,0,0,0,,California,2024
Craig Woodson,criag-woodson-1,/cfb/players/criag-woodson-1.html,DB,13,45,25,70,2.5,0.0,2,0,0.0,0,9,1,0,0,0,,California,2024
Nohl Williams,nohl-williams-1,/cfb/players/nohl-williams-1.html,DB,13,33,19,52,1.0,0.0,7,54,7.7,1,9,0,0,0,1,AA,California,2024
Miles Williams,miles-williams-2,/cfb/players/miles-williams-2.html,DB,13,28,23,51,2.5,0.0,1,14,14.0,0,1,1,0,1,0,,California,2024
Xavier Carlton,xavier-carlton-1,/cfb/players/xavier-carlton-1.html,LB,13,21,26,47,11.0,9.0,0,0,,0,1,0,0,0,0,,California,2024
Marcus Harris,marcus-harris-3,/cfb/players/marcus-harris-3.html,DB,13,35,11,46,2.5,0.0,2,19,9.5,0,6,0,0,0,1,,California,2024
Aidan Keanaaina,aidan-keanaaina-1,/cfb/players/aidan-keanaaina-1.html,DL,13,17,28,45,2.5,1.0,0,0,,0,1,0,0,0,0,,California,2024
Hunter Barth,hunter-barth-1,/cfb/players/hunter-barth-1.html,LB,13,22,16,38,4.0,2.0,0,0,,0,2,0,0,0,2,,California,2024
Cam Sidney,cam-sidney-1,/cfb/players/cam-sidney-1.html,DB,13,15,14,29,2.5,1.0,1,20,20.0,0,3,2,0,0,0,,California,2024
Nate Burrell,nate-burrell-1,/cfb/players/nate-burrell-1.html,DL,13,5,24,29,5.0,2.5,0,0,,0,1,0,0,0,0,,California,2024
David Reese,david-reese-4,/cfb/players/david-reese-4.html,LB,12,14,8,22,7.5,4.5,0,0,,0,2,0,0,0,2,,California,2024
T.J. Bollers,tj-bollers-1,/cfb/players/tj-bollers-1.html,DL,13,8,14,22,3.5,0.5,0,0,,0,2,0,0,0,0,,California,2024
Ricky Correia,ricky-correia-1,/cfb/players/ricky-correia-1.html,DL,11,9,13,22,1.5,0.0,0,0,,0,3,0,0,0,0,,California,2024
Liam Johnson,liam-johnson-1,/cfb/players/liam-johnson-1.html,LB,10,11,11,22,1.0,0.0,1,-2,-2.0,0,1,1,0,0,0,,California,2024
Ryan McCulloch,ryan-mcculloch-1,/cfb/players/ryan-mcculloch-1.html,LB,10,9,10,19,5.0,3.5,0,0,,0,1,0,0,0,0,,California,2024
Cheikhsaliou Fall,cheikhsaliou-fall-1,/cfb/players/cheikhsaliou-fall-1.html,LB,12,7,12,19,3.0,1.0,0,0,,0,1,0,0,0,0,,California,2024
Ryan Yaites,ryan-yaites-1,/cfb/players/ryan-yaites-1.html,DB,12,9,7,16,0.5,0.0,0,0,,0,1,0,0,0,0,,California,2024
Matthew Littlejohn,matthew-littlejohn-1,/cfb/players/matthew-littlejohn-1.html,DB,7,8,7,15,1.0,0.0,0,0,,0,3,0,0,0,0,,California,2024
Stanley McKenzie,stanley-mckenzie-1,/cfb/players/stanley-mckenzie-1.html,DL,13,5,9,14,0.0,0.0,0,0,,0,1,0,0,0,0,,California,2024
Lu-Magia Hearns,lu-magia-hearns-1,/cfb/players/lu-magia-hearns-1.html,DB,13,7,5,12,0.0,0.0,1,0,0.0,0,5,0,0,0,0,,California,2024
Ja'ir Smith,jair-smith-1,/cfb/players/jair-smith-1.html,DB,13,8,4,12,1.0,1.0,1,0,0.0,0,0,0,0,0,0,,California,2024
Derek Wilkins,derek-wilkins-1,/cfb/players/derek-wilkins-1.html,DL,13,5,7,12,1.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Ben Marshall,ben-marshall-2,/cfb/players/ben-marshall-2.html,TE,13,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Serigne Tounkara,serigne-tounkara-1,/cfb/players/serigne-tounkara-1.html,LB,13,3,2,5,1.5,1.5,0,0,,0,0,0,0,0,0,,California,2024
Isaiah Crosby,isaiah-crosby-1,/cfb/players/isaiah-crosby-1.html,DB,5,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
J.T Byrne,jt-byrne-1,/cfb/players/jt-byrne-1.html,TE,11,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Tobias Merriweather,tobias-merriweather-1,/cfb/players/tobias-merriweather-1.html,WR,5,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Jasiah Wagoner,jasiah-wagoner-1,/cfb/players/jasiah-wagoner-1.html,DB,4,1,1,2,1.0,1.0,0,0,,0,0,0,0,0,0,,California,2024
Aaron Hampton,aaron-hampton-1,/cfb/players/aaron-hampton-1.html,LB,8,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Akil Calhoun,akil-calhoun-1,/cfb/players/akil-calhoun-1.html,DL,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Will McDonald,will-mcdonald-2,/cfb/players/will-mcdonald-2.html,OL,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Mikey Matthews,mikey-matthews-1,/cfb/players/mikey-matthews-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
Nate Rutchena,nate-rutchena-1,/cfb/players/nate-rutchena-1.html,LB,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,California,2024
