Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Isaiah Simmons,isaiah-simmons-1,/cfb/players/isaiah-simmons-1.html,S,15,54,35,89,9.5,1.5,1,27,27.0,1,6,0,0,0,3,,Clemson,2018
Kendall Joseph,kendall-joseph-1,/cfb/players/kendall-joseph-1.html,LB,14,38,43,81,5.0,4.0,0,0,,0,1,0,0,0,0,,Clemson,2018
Tre Lamar,tre-lamar-1,/cfb/players/tre-lamar-1.html,LB,14,39,41,80,5.5,3.0,1,43,43.0,0,1,0,0,0,0,,Clemson,2018
Tanner Muse,tanner-muse-1,/cfb/players/tanner-muse-1.html,S,15,31,30,61,2.5,2.0,2,25,12.5,0,5,0,0,0,1,,Clemson,2018
A.J. Terrell,aj-terrell-1,/cfb/players/aj-terrell-1.html,CB,15,40,14,54,2.0,0.0,3,95,31.7,1,3,0,0,0,2,,Clemson,2018
Clelin Ferrell,clelin-ferrell-1,/cfb/players/clelin-ferrell-1.html,DE,15,29,25,54,19.5,11.5,0,0,,0,4,1,0,1,3,AA,Clemson,2018
K'Von Wallace,kvon-wallace-1,/cfb/players/kvon-wallace-1.html,DB,15,36,17,53,1.5,0.0,1,46,46.0,0,3,0,0,0,2,,Clemson,2018
Christian Wilkins,christian-wilkins-1,/cfb/players/christian-wilkins-1.html,DL,15,26,24,50,15.0,6.0,0,0,,0,2,2,21,0,2,AA,Clemson,2018
Austin Bryant,austin-bryant-1,/cfb/players/austin-bryant-1.html,DE,15,18,25,43,14.5,8.0,0,0,,0,0,0,0,0,0,,Clemson,2018
J.D. Davis,jd-davis-1,/cfb/players/jd-davis-1.html,LB,14,22,18,40,4.0,2.0,1,3,3.0,0,0,0,0,0,1,,Clemson,2018
Dexter Lawrence,dexter-lawrence-1,/cfb/players/dexter-lawrence-1.html,DT,13,17,20,37,7.5,1.5,0,0,,0,3,1,0,0,0,,Clemson,2018
Trayvon Mullen,trayvon-mullen-1,/cfb/players/trayvon-mullen-1.html,CB,15,30,6,36,4.0,2.0,1,46,46.0,0,3,0,0,0,1,,Clemson,2018
