Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Tyler Coyle,tyler-coyle-1,/cfb/players/tyler-coyle-1.html,DB,12,65,44,109,1.0,0.0,0,0,,0,0,1,0,0,0,,Connecticut,2018
Santana Sterling,santana-sterling-1,/cfb/players/santana-sterling-1.html,LB,12,34,46,80,7.0,0.0,1,0,0.0,0,1,0,0,0,1,,Connecticut,2018
Omar Fortt,omar-fortt-1,/cfb/players/omar-fortt-1.html,LB,11,48,28,76,2.0,0.0,1,0,0.0,0,2,2,0,0,0,,Connecticut,2018
Oneil Robinson,oneil-robinson-1,/cfb/players/oneil-robinson-1.html,DB,11,42,22,64,2.0,0.0,2,0,0.0,0,1,0,0,0,0,,Connecticut,2018
Eddie Hahn,eddie-hahn-1,/cfb/players/eddie-hahn-1.html,LB,12,29,30,59,4.0,0.0,0,0,,0,1,0,0,0,0,,Connecticut,2018
Kevon Jones,kevon-jones-1,/cfb/players/kevon-jones-1.html,LB,9,21,31,52,6.0,2.5,0,0,,0,1,0,0,0,0,,Connecticut,2018
Travis Jones,travis-jones-5,/cfb/players/travis-jones-5.html,DL,12,17,29,46,5.5,0.5,0,0,,0,0,0,0,0,0,,Connecticut,2018
Ian Swenson,ian-swenson-2,/cfb/players/ian-swenson-2.html,LB,12,23,18,41,5.0,1.0,0,0,,0,1,0,0,0,1,,Connecticut,2018
Marshe Terry,marshe-terry-1,/cfb/players/marshe-terry-1.html,LB,9,16,21,37,1.5,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Tahj Herring-Wilson,tahj-herring-wilson-1,/cfb/players/tahj-herring-wilson-1.html,DB,10,20,9,29,0.0,0.0,0,0,,0,5,0,0,0,0,,Connecticut,2018
Ryan Carroll,ryan-carroll-1,/cfb/players/ryan-carroll-1.html,DB,12,17,8,25,0.5,0.0,0,0,,0,3,0,0,0,0,,Connecticut,2018
Darrian Beavers,darrian-beavers-1,/cfb/players/darrian-beavers-1.html,LB,12,15,8,23,4.5,4.0,0,0,,0,2,0,0,0,0,,Connecticut,2018
James Atkins,james-atkins-1,/cfb/players/james-atkins-1.html,DL,12,10,11,21,1.5,1.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Caleb Thomas,caleb-thomas-1,/cfb/players/caleb-thomas-1.html,DL,12,6,14,20,4.0,1.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Jonathan Pace,jonathan-pace-1,/cfb/players/jonathan-pace-1.html,DL,12,5,15,20,1.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Lwal Uguak,lwal-uguak-1,/cfb/players/lwal-uguak-1.html,DL,11,5,11,16,1.5,0.0,0,0,,0,2,1,0,0,1,,Connecticut,2018
AJ Garson,aj-garson-1,/cfb/players/aj-garson-1.html,DL,12,5,8,13,1.5,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Jeremy Lucien,jeremy-lucien-2,/cfb/players/jeremy-lucien-2.html,DB,9,6,6,12,0.0,0.0,0,0,,0,2,0,0,0,0,,Connecticut,2018
Eli Thomas,eli-thomas-1,/cfb/players/eli-thomas-1.html,LB,5,5,6,11,1.0,1.0,0,0,,0,0,0,0,0,1,,Connecticut,2018
Kevin Murphy,kevin-murphy-7,/cfb/players/kevin-murphy-7.html,DL,11,3,8,11,0.5,0.0,1,11,11.0,0,0,0,0,0,0,,Connecticut,2018
Jordan Morrison,jordan-morrison-1,/cfb/players/jordan-morrison-1.html,DB,4,9,1,10,0.5,0.0,0,0,,0,0,1,0,0,0,,Connecticut,2018
Ryan Gilmartin,ryan-gilmartin-1,/cfb/players/ryan-gilmartin-1.html,LB,7,5,4,9,1.5,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Robert P. King III,robert-p-king-iii-1,/cfb/players/robert-p-king-iii-1.html,DB,5,6,2,8,0.0,0.0,0,0,,0,0,1,0,0,0,,Connecticut,2018
Messiah Turner,messiah-turner-1,/cfb/players/messiah-turner-1.html,DB,9,4,3,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
T.J. Gardner,tj-gardner-1,/cfb/players/tj-gardner-1.html,LB,12,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Keyion Dixon,keyion-dixon-1,/cfb/players/keyion-dixon-1.html,WR,11,5,1,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Keyshawn Paul,keyshawn-paul-1,/cfb/players/keyshawn-paul-1.html,DB,11,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Shamel Lazarus,shamel-lazarus-1,/cfb/players/shamel-lazarus-1.html,DB,3,3,3,6,0.0,0.0,0,0,,0,2,0,0,0,0,,Connecticut,2018
Mason Donaldson,mason-donaldson-1,/cfb/players/mason-donaldson-1.html,WR,12,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Carlton Steer,carlton-steer-1,/cfb/players/carlton-steer-1.html,DL,3,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Ryan Fines,ryan-fines-1,/cfb/players/ryan-fines-1.html,DL,3,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Malik Banks,malik-banks-1,/cfb/players/malik-banks-1.html,LB,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
Connor Freeborn,connor-freeborn-1,/cfb/players/connor-freeborn-1.html,DL,12,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Connecticut,2018
