Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Dwayne Norman,dwayne-norman-1,/cfb/players/dwayne-norman-1.html,LB,13,63,51,114,8.5,1.0,1,2,2.0,0,4,0,0,0,2,,Duke,2015
Jeremy Cash,jeremy-cash-2,/cfb/players/jeremy-cash-2.html,S,12,57,44,101,18.0,2.5,0,0,,0,4,1,0,0,3,AA,Duke,2015
Devon Edwards,devon-edwards-1,/cfb/players/devon-edwards-1.html,S,13,50,51,101,2.0,1.0,1,24,24.0,0,6,0,0,0,0,,Duke,2015
Deondre Singleton,deondre-singleton-1,/cfb/players/deondre-singleton-1.html,S,13,44,35,79,6.0,0.0,0,0,,0,4,2,0,0,2,,Duke,2015
Tinashe Bere,tinashe-bere-1,/cfb/players/tinashe-bere-1.html,LB,11,25,33,58,4.5,1.5,0,0,,0,0,0,0,0,1,,Duke,2015
Breon Borders,breon-borders-1,/cfb/players/breon-borders-1.html,CB,13,39,17,56,4.0,1.0,3,6,2.0,0,9,0,0,0,0,,Duke,2015
A.J Wolf,aj-wolf-1,/cfb/players/aj-wolf-1.html,DT,13,21,33,54,4.0,0.5,0,0,,0,0,0,0,0,0,,Duke,2015
Carlos Wray,carlos-wray-1,/cfb/players/carlos-wray-1.html,DT,13,19,28,47,4.5,2.0,0,0,,0,2,0,0,0,0,,Duke,2015
Kyler Brown,kyler-brown-1,/cfb/players/kyler-brown-1.html,DE,11,13,25,38,2.0,0.0,0,0,,0,1,0,0,0,0,,Duke,2015
Deion Williams,deion-williams-1,/cfb/players/deion-williams-1.html,DE,13,16,22,38,3.5,1.0,0,0,,0,0,1,0,0,0,,Duke,2015
Alonzo Saxton II,alonzo-saxton-ii-1,/cfb/players/alonzo-saxton-ii-1.html,CB,13,24,14,38,2.0,0.0,1,0,0.0,0,2,0,0,0,1,,Duke,2015
Zavier Carmichael,zavier-carmichael-1,/cfb/players/zavier-carmichael-1.html,LB,13,16,16,32,2.5,1.0,1,0,0.0,0,2,0,0,0,1,,Duke,2015
Ben Humphreys,ben-humphreys-1,/cfb/players/ben-humphreys-1.html,LB,13,11,20,31,2.0,1.0,0,0,,0,0,1,0,0,1,,Duke,2015
Mike Ramsay,mike-ramsay-1,/cfb/players/mike-ramsay-1.html,DT,13,11,18,29,4.5,1.0,0,0,,0,0,0,0,0,0,,Duke,2015
Brandon Boyce,brandon-boyce-1,/cfb/players/brandon-boyce-1.html,DT,13,11,13,24,4.0,1.0,0,0,,0,0,0,0,0,1,,Duke,2015
Quaven Ferguson,quaven-ferguson-1,/cfb/players/quaven-ferguson-1.html,DT,13,9,8,17,2.5,0.0,0,0,,0,0,0,0,0,0,,Duke,2015
Jeremy McDuffie,jeremy-mcduffie-1,/cfb/players/jeremy-mcduffie-1.html,CB,13,12,5,17,0.0,0.0,1,25,25.0,0,0,0,0,0,0,,Duke,2015
Griffin Carter,griffin-carter-1,/cfb/players/griffin-carter-1.html,WR,13,14,2,16,2.0,0.0,1,0,0.0,0,1,0,0,0,0,,Duke,2015
Phillip Carter,phillip-carter-1,/cfb/players/phillip-carter-1.html,S,3,14,2,16,2.0,0.0,1,0,0.0,0,1,0,0,0,0,,Duke,2015
Corbin McCarthy,corbin-mccarthy-1,/cfb/players/corbin-mccarthy-1.html,S,13,8,7,15,1.0,0.0,1,0,0.0,0,1,0,0,0,0,,Duke,2015
Britton Grier,britton-grier-1,/cfb/players/britton-grier-1.html,DE,13,7,6,13,2.0,1.0,0,0,,0,0,1,0,0,0,,Duke,2015
Marquies Price,marquies-price-1,/cfb/players/marquies-price-1.html,DE,10,7,4,11,3.5,1.5,0,0,,0,0,0,0,0,0,,Duke,2015
Shaquille Powell,shaquille-powell-1,/cfb/players/shaquille-powell-1.html,RB,13,3,5,8,0.0,0.0,0,0,,0,0,0,0,0,1,,Duke,2015
