Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Devon Sutton,devon-sutton-1,/cfb/players/devon-sutton-1.html,DB,12,36,44,80,10.5,3.0,0,0,,0,4,0,0,0,0,,East Carolina,2018
Davondre Robinson,davondre-robinson-1,/cfb/players/davondre-robinson-1.html,DB,12,48,29,77,1.5,0.0,0,0,,0,3,0,0,0,1,,East Carolina,2018
Aaron Ramseur,aaron-ramseur-1,/cfb/players/aaron-ramseur-1.html,LB,11,30,36,66,5.5,1.0,0,0,,0,0,0,0,0,1,,East Carolina,2018
Nate Harvey,nate-harvey-1,/cfb/players/nate-harvey-1.html,LB,12,42,21,63,25.5,14.5,0,0,,0,0,1,0,0,2,,East Carolina,2018
Bruce Bivens,bruce-bivens-1,/cfb/players/bruce-bivens-1.html,LB,12,27,34,61,8.5,2.0,0,0,,0,0,1,0,0,0,,East Carolina,2018
Cannon Gibbs,cannon-gibbs-1,/cfb/players/cannon-gibbs-1.html,LB,12,25,26,51,9.0,2.5,0,0,,0,1,0,0,0,0,,East Carolina,2018
Alex Turner,alex-turner-3,/cfb/players/alex-turner-3.html,DT,12,18,29,47,10.5,4.0,0,0,,0,2,0,0,0,1,,East Carolina,2018
Marcus Holton Jr.,marcus-holton-jr-1,/cfb/players/marcus-holton-jr-1.html,DB,12,19,24,43,1.0,0.0,0,0,,0,1,0,0,0,0,,East Carolina,2018
Ray Tillman,ray-tillman-2,/cfb/players/ray-tillman-2.html,LB,9,23,17,40,6.0,1.5,0,0,,0,0,0,0,0,0,,East Carolina,2018
Colby Gore,colby-gore-1,/cfb/players/colby-gore-1.html,DB,11,28,11,39,0.5,0.0,1,0,0.0,0,4,0,0,0,1,,East Carolina,2018
Michael Witherspoon,michael-witherspoon-1,/cfb/players/michael-witherspoon-1.html,DB,12,26,9,35,2.0,0.0,0,0,,0,5,2,0,0,0,,East Carolina,2018
Jalen Price,jalen-price-1,/cfb/players/jalen-price-1.html,DT,12,14,20,34,5.0,1.5,0,0,,0,1,0,0,0,0,,East Carolina,2018
Kendall Futrell,kendall-futrell-1,/cfb/players/kendall-futrell-1.html,DE,12,16,18,34,6.5,4.0,0,0,,0,5,0,0,0,0,,East Carolina,2018
Daniel Charles,daniel-charles-1,/cfb/players/daniel-charles-1.html,DB,12,11,23,34,0.5,0.0,1,16,16.0,0,0,0,0,0,1,,East Carolina,2018
Corey Seargent,corey-seargent-1,/cfb/players/corey-seargent-1.html,DB,12,19,13,32,0.0,0.0,2,22,11.0,0,8,0,0,0,0,,East Carolina,2018
Warren Saba,warren-saba-1,/cfb/players/warren-saba-1.html,DB,12,20,6,26,1.0,0.0,0,0,,0,3,0,0,0,0,,East Carolina,2018
Nolan Johnson,nolan-johnson-1,/cfb/players/nolan-johnson-1.html,DB,12,7,16,23,0.5,0.0,0,0,,0,1,0,0,0,0,,East Carolina,2018
Chance Purvis,chance-purvis-1,/cfb/players/chance-purvis-1.html,DE,10,8,9,17,3.5,0.0,0,0,,0,0,0,0,0,2,,East Carolina,2018
Gerard Stringer,gerard-stringer-1,/cfb/players/gerard-stringer-1.html,LB,8,7,9,16,0.0,0.0,0,0,,0,0,1,0,0,0,,East Carolina,2018
Shaun James,shaun-james-1,/cfb/players/shaun-james-1.html,DT,12,5,8,13,1.5,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Chandon Hickerson,chandon-hickerson-1,/cfb/players/chandon-hickerson-1.html,DE,6,5,7,12,2.0,0.0,0,0,,0,1,0,0,0,0,,East Carolina,2018
Raequan Purvis,raequan-purvis-1,/cfb/players/raequan-purvis-1.html,DT,7,5,7,12,3.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Tim Irvin,tim-irvin-1,/cfb/players/tim-irvin-1.html,DB,2,2,3,5,1.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Michael Swift,michael-swift-1,/cfb/players/michael-swift-1.html,DE,5,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Michael Tilley,michael-tilley-1,/cfb/players/michael-tilley-1.html,PK,2,4,1,5,1.0,1.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Brandon Henderson,brandon-henderson-3,/cfb/players/brandon-henderson-3.html,DL,9,0,4,4,0.0,0.0,0,0,,0,1,0,0,0,0,,East Carolina,2018
Myles Berry,myles-berry-1,/cfb/players/myles-berry-1.html,DB,12,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Leroy Henley,leroy-henley-1,/cfb/players/leroy-henley-1.html,WR,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Caleb Pratt,caleb-pratt-1,/cfb/players/caleb-pratt-1.html,PK,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Tahj Deans,tahj-deans-1,/cfb/players/tahj-deans-1.html,WR,11,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Terrell Green,terrell-green-1,/cfb/players/terrell-green-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Trevon Brown,trevon-brown-1,/cfb/players/trevon-brown-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Xavier Smith,xavier-smith-7,/cfb/players/xavier-smith-7.html,LB,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Reid Herring,reid-herring-1,/cfb/players/reid-herring-1.html,QB,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Anthony Ratliff,anthony-ratliff-2,/cfb/players/anthony-ratliff-2.html,LS,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Keyshawn Canady,keyshawn-canady-1,/cfb/players/keyshawn-canady-1.html,RB,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Hussein Howe,hussein-howe-1,/cfb/players/hussein-howe-1.html,RB,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Holton Ahlers,holton-ahlers-1,/cfb/players/holton-ahlers-1.html,QB,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Dorian Hardy,dorian-hardy-1,/cfb/players/dorian-hardy-1.html,DL,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,East Carolina,2018
Bennett Boateng,bennett-boateng-1,/cfb/players/bennett-boateng-1.html,DT,12,0,0,0,0.0,0.0,0,0,,0,0,1,0,0,0,,East Carolina,2018
Damel Hickman,damel-hickman-1,/cfb/players/damel-hickman-1.html,DB,4,0,0,0,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,East Carolina,2018
