Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Matthew Thomas,matthew-thomas-2,/cfb/players/matthew-thomas-2.html,LB,12,43,42,85,10.0,2.0,1,29,29.0,0,2,1,34,1,0,,Florida State,2017
Derwin James,derwin-james-1,/cfb/players/derwin-james-1.html,DB,12,49,35,84,5.5,1.0,2,41,20.5,1,11,0,0,0,0,,Florida State,2017
Josh Sweat,josh-sweat-1,/cfb/players/josh-sweat-1.html,DE,12,31,25,56,12.5,5.5,0,0,,0,3,0,0,0,0,,Florida State,2017
Derrick Nnadi,derrick-nnadi-1,/cfb/players/derrick-nnadi-1.html,DT,13,22,31,53,10.0,3.5,0,0,,0,1,0,0,0,1,,Florida State,2017
Brian Burns,brian-burns-2,/cfb/players/brian-burns-2.html,DE,13,26,22,48,13.5,4.5,0,0,,0,4,1,0,0,3,,Florida State,2017
Ro'Derrick Hoskins,roderrick-hoskins-1,/cfb/players/roderrick-hoskins-1.html,LB,11,20,25,45,1.5,0.0,0,0,,0,1,0,0,0,1,,Florida State,2017
Trey Marshall,trey-marshall-1,/cfb/players/trey-marshall-1.html,DB,9,21,23,44,1.5,0.0,0,0,,0,1,0,0,0,0,,Florida State,2017
A.J. Westbrook,aj-westbrook-1,/cfb/players/aj-westbrook-1.html,DB,12,33,7,40,0.0,0.0,0,0,,0,7,1,0,0,0,,Florida State,2017
Demarcus Christmas,demarcus-christmas-1,/cfb/players/demarcus-christmas-1.html,DT,13,19,17,36,4.5,1.0,0,0,,0,4,1,0,0,0,,Florida State,2017
Tarvarus McFadden,tarvarus-mcfadden-1,/cfb/players/tarvarus-mcfadden-1.html,DB,13,21,9,30,0.0,0.0,0,0,,0,10,0,0,1,0,,Florida State,2017
Hamsah Nasirildeen,hamsah-nasirildeen-1,/cfb/players/hamsah-nasirildeen-1.html,DB,13,23,6,29,0.0,0.0,0,0,,0,3,0,0,0,0,,Florida State,2017
Stanford Samuels III,stanford-samuels-iii-1,/cfb/players/stanford-samuels-iii-1.html,DB,13,20,7,27,3.0,1.0,2,0,0.0,0,5,0,0,0,1,,Florida State,2017
Kyle Meyers,kyle-meyers-1,/cfb/players/kyle-meyers-1.html,DB,13,24,2,26,1.0,0.0,1,0,0.0,0,3,0,0,0,1,,Florida State,2017
Jacob Pugh,jacob-pugh-1,/cfb/players/jacob-pugh-1.html,LB,11,11,10,21,1.0,0.0,0,0,,0,2,1,16,1,0,,Florida State,2017
Jalen Wilkerson,jalen-wilkerson-1,/cfb/players/jalen-wilkerson-1.html,DE,13,10,9,19,6.0,0.5,0,0,,0,0,1,7,0,0,,Florida State,2017
Levonta Taylor,levonta-taylor-1,/cfb/players/levonta-taylor-1.html,DB,13,11,7,18,1.0,0.0,2,18,9.0,1,3,0,0,0,0,,Florida State,2017
Nate Andrews,nate-andrews-3,/cfb/players/nate-andrews-3.html,DB,10,13,5,18,0.0,0.0,0,0,,0,1,0,0,0,0,,Florida State,2017
Walvenski Aime,walvenski-aime-1,/cfb/players/walvenski-aime-1.html,DT,11,8,10,18,2.0,0.0,0,0,,0,0,0,0,0,0,,Florida State,2017
Frederick Jones,frederick-jones-1,/cfb/players/frederick-jones-1.html,DT,13,11,7,18,2.0,0.5,0,0,,0,0,0,0,0,0,,Florida State,2017
Dontavious Jackson,dontavious-jackson-1,/cfb/players/dontavious-jackson-1.html,LB,9,10,7,17,1.0,1.0,0,0,,0,0,0,0,0,0,,Florida State,2017
Joshua Kaindoh,joshua-kaindoh-1,/cfb/players/joshua-kaindoh-1.html,DE,13,11,6,17,6.5,4.0,0,0,,0,0,0,0,0,1,,Florida State,2017
Emmett Rice,emmett-rice-1,/cfb/players/emmett-rice-1.html,LB,13,6,8,14,0.5,0.0,1,0,0.0,0,0,0,0,0,0,,Florida State,2017
Adonis Thomas,adonis-thomas-2,/cfb/players/adonis-thomas-2.html,LB,6,6,6,12,1.0,0.0,0,0,,0,0,0,0,0,0,,Florida State,2017
Ermon Lane,ermon-lane-1,/cfb/players/ermon-lane-1.html,DB,12,7,5,12,0.0,0.0,0,0,,0,2,0,0,0,0,,Florida State,2017
Arthur Williams,arthur-williams-4,/cfb/players/arthur-williams-4.html,DT,13,4,4,8,3.0,1.5,0,0,,0,0,0,0,0,0,,Florida State,2017
Carlos Becker,carlos-becker-1,/cfb/players/carlos-becker-1.html,DB,9,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Florida State,2017
Marvin Wilson,marvin-wilson-1,/cfb/players/marvin-wilson-1.html,DT,12,3,4,7,0.5,0.0,0,0,,0,0,0,0,0,0,,Florida State,2017
Jared Jackson,jared-jackson-2,/cfb/players/jared-jackson-2.html,WR,13,6,1,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Florida State,2017
