Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Anthony Wilson,anthony-wilson-4,/cfb/players/anthony-wilson-4.html,S,12,43,35,78,4.5,1.0,0,0,,0,9,0,0,0,1,,Georgia Southern,2021
Eldrick Robinson II,eldrick-robinson-ii-1,/cfb/players/eldrick-robinson-ii-1.html,LB,11,34,40,74,5.5,0.5,2,31,15.5,0,2,0,0,0,0,,Georgia Southern,2021
Michael Edwards III,michael-edwards-iii-1,/cfb/players/michael-edwards-iii-1.html,LB,11,27,32,59,7.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Justin Birdsong,justin-birdsong-1,/cfb/players/justin-birdsong-1.html,S,12,27,22,49,1.0,0.5,0,0,,0,2,0,0,0,0,,Georgia Southern,2021
Benz Josue,benz-josue-1,/cfb/players/benz-josue-1.html,LB,12,21,19,40,1.5,0.0,0,0,,0,1,0,0,0,0,,Georgia Southern,2021
Justin Ellis,justin-ellis-2,/cfb/players/justin-ellis-2.html,DE,12,14,23,37,7.5,5.0,0,0,,0,1,0,0,0,1,,Georgia Southern,2021
C.J. Wright,cj-wright-1,/cfb/players/cj-wright-1.html,NT,12,17,19,36,8.0,5.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Tyler Bride,tyler-bride-1,/cfb/players/tyler-bride-1.html,CB,8,24,8,32,6.0,2.0,0,0,,0,6,0,0,0,0,,Georgia Southern,2021
Seth Robertson,seth-robertson-1,/cfb/players/seth-robertson-1.html,CB,10,20,12,32,0.0,0.0,0,0,,0,4,0,0,0,0,,Georgia Southern,2021
Darrell Baker,darrell-baker-2,/cfb/players/darrell-baker-2.html,CB,10,27,5,32,1.0,0.0,0,0,,0,8,0,0,0,1,,Georgia Southern,2021
Randy Wade,randy-wade-1,/cfb/players/randy-wade-1.html,LB,11,17,14,31,2.5,0.0,0,0,,0,1,0,0,0,0,,Georgia Southern,2021
Tyrell Davis,tyrell-davis-1,/cfb/players/tyrell-davis-1.html,S,12,20,9,29,3.0,0.0,1,1,1.0,0,1,0,0,0,0,,Georgia Southern,2021
Dillon Springer,dillon-springer-1,/cfb/players/dillon-springer-1.html,DE,12,14,15,29,7.5,3.5,0,0,,0,0,0,0,0,1,,Georgia Southern,2021
Kevon Glenn,kevon-glenn-1,/cfb/players/kevon-glenn-1.html,LB,12,13,13,26,1.5,1.0,0,0,,0,0,0,0,0,1,,Georgia Southern,2021
Reid Dedman,reid-dedman-1,/cfb/players/reid-dedman-1.html,LB,12,10,15,25,4.5,1.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
NaJee Thompson,najee-thompson-1,/cfb/players/najee-thompson-1.html,WR,9,21,4,25,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Georgia Southern,2021
Khadry Jackson,khadry-jackson-1,/cfb/players/khadry-jackson-1.html,LB,7,9,14,23,1.0,1.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Jon Ferguson,jon-ferguson-1,/cfb/players/jon-ferguson-1.html,LB,10,8,14,22,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Parker Devine,parker-devine-1,/cfb/players/parker-devine-1.html,NT,12,7,12,19,4.5,2.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Quin Williams,quin-williams-1,/cfb/players/quin-williams-1.html,LB,10,5,9,14,0.5,0.0,1,22,22.0,1,1,1,0,0,0,,Georgia Southern,2021
Myzel Williams,myzel-williams-1,/cfb/players/myzel-williams-1.html,S,11,8,3,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Deonta Bembry,deonta-bembry-1,/cfb/players/deonta-bembry-1.html,CB,7,8,2,10,0.0,0.0,0,0,,0,2,0,0,0,0,,Georgia Southern,2021
Tre Allen,tre-allen-1,/cfb/players/tre-allen-1.html,LB,9,2,8,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Andrew Johnson Jr.,andrew-johnson-jr-1,/cfb/players/andrew-johnson-jr-1.html,LB,8,2,7,9,1.5,1.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Jalen Jackson,jalen-jackson-7,/cfb/players/jalen-jackson-7.html,LB,12,4,5,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
A.J. Watkins,aj-watkins-1,/cfb/players/aj-watkins-1.html,DE,8,3,6,9,3.5,2.0,0,0,,0,1,0,0,0,0,,Georgia Southern,2021
Zyon McGee,zyon-mcgee-1,/cfb/players/zyon-mcgee-1.html,LB,8,2,4,6,1.0,0.5,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Brandon Wilson,brandon-wilson-6,/cfb/players/brandon-wilson-6.html,DE,11,2,3,5,0.0,0.0,0,0,,0,0,1,0,0,0,,Georgia Southern,2021
Derrick Canteen,derrick-canteen-1,/cfb/players/derrick-canteen-1.html,CB,2,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Amaru Herring,amaru-herring-1,/cfb/players/amaru-herring-1.html,NT,4,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Marques Watson-Trent,marques-watson-trent-1,/cfb/players/marques-watson-trent-1.html,LB,1,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
Beau Johnson,beau-johnson-2,/cfb/players/beau-johnson-2.html,TE,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,1,,Georgia Southern,2021
Kierron Smith,kierron-smith-1,/cfb/players/kierron-smith-1.html,NT,5,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Southern,2021
