Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Kyle Efford,kyle-efford-1,/cfb/players/kyle-efford-1.html,LB,13,33,44,77,2.0,1.5,0,0,,0,2,0,0,0,1,,Georgia Tech,2025
E.J. Lightsey,ej-lightsey-1,/cfb/players/ej-lightsey-1.html,LB,13,39,37,76,1.0,0.0,0,0,,0,1,0,0,0,0,,Georgia Tech,2025
Clayton Powell-Lee,clayton-powell-lee-1,/cfb/players/clayton-powell-lee-1.html,DB,12,32,33,65,0.0,0.0,0,0,,0,2,0,0,0,1,,Georgia Tech,2025
Omar Daniels,omar-daniels-1,/cfb/players/omar-daniels-1.html,DB,13,39,22,61,3.5,0.5,1,45,45.0,0,1,1,95,1,1,,Georgia Tech,2025
Jordan Van Den Berg,jordan-van-den-berg-1,/cfb/players/jordan-van-den-berg-1.html,DT,13,22,22,44,11.0,3.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Cayman Spaulding,cayman-spaulding-1,/cfb/players/cayman-spaulding-1.html,LB,13,24,17,41,3.0,2.5,0,0,,0,1,0,0,0,1,,Georgia Tech,2025
Rodney Shelley,rodney-shelley-1,/cfb/players/rodney-shelley-1.html,DB,11,27,11,38,2.0,0.0,2,2,1.0,0,3,0,0,0,0,,Georgia Tech,2025
Jyron Gilmore,jyron-gilmore-1,/cfb/players/jyron-gilmore-1.html,DB,9,21,14,35,2.5,0.5,0,0,,0,3,0,0,0,0,,Georgia Tech,2025
Tah'j Butler,tahj-butler-1,/cfb/players/tahj-butler-1.html,LB,13,18,16,34,3.0,0.0,1,10,10.0,0,3,0,0,0,0,,Georgia Tech,2025
Zachary Tobe,zachary-tobe-1,/cfb/players/zachary-tobe-1.html,DB,13,17,13,30,0.0,0.0,0,0,,0,2,1,0,0,0,,Georgia Tech,2025
Ahmari Harvey,ahmari-harvey-1,/cfb/players/ahmari-harvey-1.html,DB,10,21,5,26,3.0,1.0,0,0,,0,7,0,0,0,0,,Georgia Tech,2025
Jason Moore,jason-moore-5,/cfb/players/jason-moore-5.html,DL,13,3,19,22,0.5,0.5,0,0,,0,2,0,0,0,1,,Georgia Tech,2025
Tae Harris,tae-harris-1,/cfb/players/tae-harris-1.html,DB,13,16,5,21,0.0,0.0,0,0,,0,2,0,0,0,1,,Georgia Tech,2025
Matthew Alexander,matthew-alexander-1,/cfb/players/matthew-alexander-1.html,DT,11,8,13,21,1.0,1.0,0,0,,0,0,1,0,0,0,,Georgia Tech,2025
Amontrae Bradford,amontrae-bradford-1,/cfb/players/amontrae-bradford-1.html,DL,13,10,10,20,5.5,2.5,0,0,,0,1,0,0,0,0,,Georgia Tech,2025
Kelvin Hill,kelvin-hill-1,/cfb/players/kelvin-hill-1.html,DB,13,14,6,20,2.5,0.0,0,0,,0,2,0,0,0,0,,Georgia Tech,2025
Akelo Stone,akelo-stone-1,/cfb/players/akelo-stone-1.html,DT,9,11,8,19,5.0,4.0,0,0,,0,1,0,0,0,0,,Georgia Tech,2025
Brayden Manley,brayden-manley-1,/cfb/players/brayden-manley-1.html,DL,12,11,7,18,3.0,3.0,0,0,,0,1,0,0,0,1,,Georgia Tech,2025
Melvin Jordan IV,melvin-jordan-iv-1,/cfb/players/melvin-jordan-iv-1.html,LB,11,5,13,18,0.5,0.5,0,0,,0,1,0,0,0,0,,Georgia Tech,2025
A.J. Hoffler,aj-hoffler-1,/cfb/players/aj-hoffler-1.html,DE,11,9,8,17,2.5,1.5,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Daiquan White,daiquan-white-1,/cfb/players/daiquan-white-1.html,DB,11,12,4,16,2.0,0.0,0,0,,0,1,0,0,0,0,,Georgia Tech,2025
Andre Fuller,andre-fuller-2,/cfb/players/andre-fuller-2.html,DL,11,8,7,15,2.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Ronald Triplette,ronald-triplette-2,/cfb/players/ronald-triplette-2.html,DL,11,5,10,15,3.5,1.5,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Fenix Felton,fenix-felton-1,/cfb/players/fenix-felton-1.html,DB,3,7,5,12,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Jordan Boyd,jordan-boyd-1,/cfb/players/jordan-boyd-1.html,DL,12,6,5,11,2.5,1.0,0,0,,0,0,1,0,0,0,,Georgia Tech,2025
Jon Mitchell,jon-mitchell-1,/cfb/players/jon-mitchell-1.html,CB,7,6,3,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Christian Garrett,christian-garrett-1,/cfb/players/christian-garrett-1.html,DL,4,3,4,7,1.5,1.5,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Will Kiker,will-kiker-1,/cfb/players/will-kiker-1.html,DB,13,2,4,6,0.0,0.0,0,0,,0,0,1,0,0,0,,Georgia Tech,2025
Daylon Gordon,daylon-gordon-1,/cfb/players/daylon-gordon-1.html,RB,13,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Chris Elko,chris-elko-1,/cfb/players/chris-elko-1.html,WR,13,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Shymeik Jones,shymeik-jones-1,/cfb/players/shymeik-jones-1.html,DL,12,1,3,4,0.0,0.0,0,0,,0,1,0,0,0,0,,Georgia Tech,2025
Christian Pritchett,christian-pritchett-1,/cfb/players/christian-pritchett-1.html,DB,5,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Trelain Maddox,trelain-maddox-1,/cfb/players/trelain-maddox-1.html,RB,10,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Landon Marshall,landon-marshall-1,/cfb/players/landon-marshall-1.html,DL,4,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Savion Riley,savion-riley-1,/cfb/players/savion-riley-1.html,S,4,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
D.J. Moore,dj-moore-5,/cfb/players/dj-moore-5.html,DB,2,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Myles Forristall,myles-forristall-1,/cfb/players/myles-forristall-1.html,LB,9,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Elgin Sessions,elgin-sessions-1,/cfb/players/elgin-sessions-1.html,DB,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
J.P. Powell,jp-powell-1,/cfb/players/jp-powell-1.html,RB,12,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Josh Beetham,josh-beetham-1,/cfb/players/josh-beetham-1.html,TE,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,1,,Georgia Tech,2025
Chad Alexander,chad-alexander-5,/cfb/players/chad-alexander-5.html,RB,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Marshall Nichols,marshall-nichols-1,/cfb/players/marshall-nichols-1.html,P,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Dalen Penson,dalen-penson-1,/cfb/players/dalen-penson-1.html,DB,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Blake Belin,blake-belin-1,/cfb/players/blake-belin-1.html,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Benjamin Galloway,benjamin-galloway-1,/cfb/players/benjamin-galloway-1.html,OL,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
Derry Norris,derry-norris-1,/cfb/players/derry-norris-1.html,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Georgia Tech,2025
