Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Isaac Darkangelo,isaac-darkangelo-1,/cfb/players/isaac-darkangelo-1.html,LB,13,42,29,71,7.5,1.0,0,0,,0,0,1,0,0,0,,Illinois,2022
Jartavius Martin,jartavius-martin-1,/cfb/players/jartavius-martin-1.html,DB,13,51,13,64,3.0,1.0,3,0,0.0,0,11,0,0,0,2,,Illinois,2022
Jer'Zhan Newton,jerzhan-newton-1,/cfb/players/jerzhan-newton-1.html,DL,13,29,33,62,14.0,5.5,0,0,,0,3,2,0,0,0,,Illinois,2022
Sydney Brown,sydney-brown-1,/cfb/players/sydney-brown-1.html,DB,12,41,19,60,3.5,1.0,6,86,14.3,1,7,1,53,1,1,,Illinois,2022
Keith Randolph Jr.,keith-randolph-jr-1,/cfb/players/keith-randolph-jr-1.html,DL,13,23,30,53,13.0,4.5,1,12,12.0,0,1,0,0,0,0,,Illinois,2022
Tarique Barnes,tarique-barnes-1,/cfb/players/tarique-barnes-1.html,LB,13,35,11,46,8.5,1.5,0,0,,0,2,0,0,0,0,,Illinois,2022
Seth Coleman,seth-coleman-1,/cfb/players/seth-coleman-1.html,LB,12,24,21,45,5.0,4.5,0,0,,0,6,0,0,0,0,,Illinois,2022
Devon Witherspoon,devon-witherspoon-1,/cfb/players/devon-witherspoon-1.html,DB,12,32,9,41,2.5,0.0,3,97,32.3,0,14,0,0,0,0,AA,Illinois,2022
Kendall Smith,kendall-smith-2,/cfb/players/kendall-smith-2.html,DB,13,26,13,39,0.0,0.0,5,41,8.2,0,5,0,0,0,0,,Illinois,2022
Gabe Jacas,gabe-jacas-1,/cfb/players/gabe-jacas-1.html,LB,13,14,21,35,5.0,4.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Calvin Avery,calvin-avery-1,/cfb/players/calvin-avery-1.html,DL,13,12,12,24,2.0,0.0,0,0,,0,1,0,0,0,1,,Illinois,2022
Calvin Hart Jr.,calvin-hart-jr-1,/cfb/players/calvin-hart-jr-1.html,LB,12,13,9,22,1.5,0.5,0,0,,0,0,0,0,0,0,,Illinois,2022
Tahveon Nicholson,tahveon-nicholson-1,/cfb/players/tahveon-nicholson-1.html,DB,10,18,1,19,1.0,0.0,1,0,0.0,0,6,0,0,0,1,,Illinois,2022
Xavier Scott,xavier-scott-1,/cfb/players/xavier-scott-1.html,DB,11,13,2,15,0.0,0.0,0,0,,0,1,0,0,0,1,,Illinois,2022
Tyler Strain,tyler-strain-1,/cfb/players/tyler-strain-1.html,DB,12,8,6,14,0.5,0.0,2,16,8.0,0,3,0,0,0,0,,Illinois,2022
Te-rah Edwards,te-rah-edwards-1,/cfb/players/te-rah-edwards-1.html,DL,13,6,8,14,1.5,1.0,0,0,,0,0,1,0,0,0,,Illinois,2022
Alec Bryant,alec-bryant-2,/cfb/players/alec-bryant-2.html,LB,12,8,3,11,3.5,1.5,0,0,,0,1,0,0,0,0,,Illinois,2022
Jamal Woods,jamal-woods-1,/cfb/players/jamal-woods-1.html,DL,11,5,6,11,1.5,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Terrell Jennings,terrell-jennings-1,/cfb/players/terrell-jennings-1.html,DB,9,10,1,11,1.0,0.0,0,0,,0,1,0,0,0,0,,Illinois,2022
Matthew Bailey,matthew-bailey-2,/cfb/players/matthew-bailey-2.html,DB,13,7,3,10,0.0,0.0,3,22,7.3,0,2,1,0,1,0,,Illinois,2022
Kenenna Odeluga,kenenna-odeluga-1,/cfb/players/kenenna-odeluga-1.html,LB,13,5,3,8,3.5,2.0,0,0,,0,1,0,0,0,0,,Illinois,2022
Bryce Barnes,bryce-barnes-1,/cfb/players/bryce-barnes-1.html,DL,12,4,4,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Dylan Rosiek,dylan-rosiek-1,/cfb/players/dylan-rosiek-1.html,LB,13,4,4,8,1.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Tailon Leitzsey,tailon-leitzsey-1,/cfb/players/tailon-leitzsey-1.html,DB,13,3,1,4,0.0,0.0,0,0,,0,0,1,0,0,0,,Illinois,2022
Michael Marchese,michael-marchese-1,/cfb/players/michael-marchese-1.html,TE,13,3,1,4,0.0,0.0,0,0,,0,0,1,0,0,0,,Illinois,2022
Sed Mcconnell,sed-mcconnell-1,/cfb/players/sed-mcconnell-1.html,DL,7,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Ryan Meed,ryan-meed-1,/cfb/players/ryan-meed-1.html,LB,13,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Kionte Curry,kionte-curry-1,/cfb/players/kionte-curry-1.html,DB,7,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Ezekiel Holmes,ezekiel-holmes-1,/cfb/players/ezekiel-holmes-1.html,LB,3,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Peyton Vining,peyton-vining-1,/cfb/players/peyton-vining-1.html,DB,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Evan Kirts,evan-kirts-1,/cfb/players/evan-kirts-1.html,DL,5,2,0,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
James Kreutz,james-kreutz-1,/cfb/players/james-kreutz-1.html,LB,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Elijah Mc-Cantos,elijah-mc-cantos-1,/cfb/players/elijah-mc-cantos-1.html,DB,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Shammond Cooper,shammond-cooper-1,/cfb/players/shammond-cooper-1.html,LB,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Brian Hightower,brian-hightower-1,/cfb/players/brian-hightower-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Isaiah Williams,isaiah-williams-7,/cfb/players/isaiah-williams-7.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
Tyson Rooks,tyson-rooks-1,/cfb/players/tyson-rooks-1.html,DB,3,1,0,1,0.0,0.0,0,0,,0,1,0,0,0,0,,Illinois,2022
Jared Badie,jared-badie-1,/cfb/players/jared-badie-1.html,LB,5,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Illinois,2022
