Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Chase Dutra,chase-dutra-1,/cfb/players/chase-dutra-1.html,DB,12,65,31,96,1.5,0.0,0,0,,0,3,1,0,0,1,,Indiana,2017
Tegray Scales,tegray-scales-1,/cfb/players/tegray-scales-1.html,LB,12,56,33,89,12.5,6.0,2,0,0.0,0,1,2,4,0,0,,Indiana,2017
Chris Covington,chris-covington-1,/cfb/players/chris-covington-1.html,LB,12,50,35,85,12.0,3.0,0,0,,0,5,1,0,0,0,,Indiana,2017
Jonathan Crawford,jonathan-crawford-1,/cfb/players/jonathan-crawford-1.html,DB,12,42,20,62,3.0,0.0,1,0,0.0,0,8,1,0,0,0,,Indiana,2017
Tony Fields,tony-fields-2,/cfb/players/tony-fields-2.html,DB,12,44,12,56,5.0,1.0,1,34,34.0,0,1,1,4,0,1,,Indiana,2017
Andre Brown Jr.,andre-brown-jr-1,/cfb/players/andre-brown-jr-1.html,CB,11,22,11,33,3.0,0.0,0,0,,0,1,1,22,1,1,,Indiana,2017
Dameon Willis Jr.,dameon-willis-jr-1,/cfb/players/dameon-willis-jr-1.html,LB,10,15,12,27,1.0,0.0,0,0,,0,1,0,0,0,0,,Indiana,2017
Jacob Robinson,jacob-robinson-1,/cfb/players/jacob-robinson-1.html,DL,12,15,11,26,7.0,4.0,0,0,,0,1,0,0,0,1,,Indiana,2017
Greg Gooch,greg-gooch-1,/cfb/players/greg-gooch-1.html,DL,12,18,8,26,6.5,4.5,0,0,,0,0,0,0,0,2,,Indiana,2017
Allen Stallings,allen-stallings-1,/cfb/players/allen-stallings-1.html,DL,12,15,10,25,5.5,3.0,0,0,,0,0,0,0,0,1,,Indiana,2017
Rashard Fant,rashard-fant-1,/cfb/players/rashard-fant-1.html,DB,11,21,3,24,2.5,0.0,1,0,0.0,0,9,1,0,0,0,,Indiana,2017
Mike Barwick Jr.,mike-barwick-jr-2,/cfb/players/mike-barwick-jr-2.html,DL,12,11,13,24,3.0,2.0,0,0,,0,0,0,0,0,0,,Indiana,2017
