Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Marcel Spears Jr.,marcel-spears-jr-1,/cfb/players/marcel-spears-jr-1.html,LB,13,56,36,92,8.0,2.5,0,0,,0,7,0,0,0,0,,Iowa State,2019
Lawrence White,lawrence-white-3,/cfb/players/lawrence-white-3.html,DB,13,50,34,84,4.0,1.0,2,31,15.5,0,4,0,0,0,0,,Iowa State,2019
Mike Rose,mike-rose-5,/cfb/players/mike-rose-5.html,LB,13,39,38,77,9.5,3.5,1,0,0.0,0,3,0,0,0,1,,Iowa State,2019
Braxton Lewis,braxton-lewis-1,/cfb/players/braxton-lewis-1.html,DB,12,41,27,68,2.5,0.0,1,23,23.0,0,4,1,0,0,0,,Iowa State,2019
O'Rien Vance,orien-vance-1,/cfb/players/orien-vance-1.html,LB,12,34,32,66,9.0,6.5,0,0,,0,0,1,0,0,1,,Iowa State,2019
Greg Eisworth,greg-eisworth-1,/cfb/players/greg-eisworth-1.html,DB,12,37,28,65,3.5,0.0,1,0,0.0,0,10,0,0,0,0,,Iowa State,2019
Anthony Johnson,anthony-johnson-15,/cfb/players/anthony-johnson-15.html,DB,13,47,13,60,7.0,2.0,0,0,,0,10,0,0,0,2,,Iowa State,2019
Zach Petersen,zach-petersen-1,/cfb/players/zach-petersen-1.html,DE,13,23,18,41,5.5,2.0,0,0,,0,1,0,0,0,2,,Iowa State,2019
Jake Hummel,jake-hummel-1,/cfb/players/jake-hummel-1.html,LB,13,25,11,36,4.5,0.0,1,48,48.0,1,2,0,0,0,0,,Iowa State,2019
Eyioma Uwazurike,eyioma-uwzurike-1,/cfb/players/eyioma-uwzurike-1.html,DE,13,19,13,32,5.5,1.5,0,0,,0,1,2,1,1,0,,Iowa State,2019
Chima Azunna,chima-azunna-1,/cfb/players/chima-azunna-1.html,,11,18,12,30,1.0,1.0,0,0,,0,0,0,0,0,1,,Iowa State,2019
Arnold Azunna,arnold-azunna-1,/cfb/players/arnold-azunna-1.html,DB,10,18,12,30,1.0,1.0,0,0,,0,0,0,0,0,1,,Iowa State,2019
Tayvonn Kyle,tayvonn-kyle-1,/cfb/players/tayvonn-kyle-1.html,DB,7,22,7,29,4.0,0.5,0,0,,0,1,0,0,0,0,,Iowa State,2019
Ray Lima,ray-lima-1,/cfb/players/ray-lima-1.html,DL,13,9,19,28,2.5,0.5,0,0,,0,0,0,0,0,0,,Iowa State,2019
Justin Bickham,justin-bickham-1,/cfb/players/justin-bickham-1.html,DB,12,20,5,25,2.0,0.0,0,0,,0,1,0,0,0,0,,Iowa State,2019
Bobby McMillen III,bobby-mcmillen-iii-1,/cfb/players/bobby-mcmillen-iii-1.html,LB,13,12,10,22,0.0,0.0,0,0,,0,1,0,0,0,0,,Iowa State,2019
Jamahl Johnson,jamahl-johnson-1,/cfb/players/jamahl-johnson-1.html,DL,13,8,12,20,3.0,0.0,0,0,,0,1,0,0,0,0,,Iowa State,2019
Datrone Young,datrone-young-1,/cfb/players/datrone-young-1.html,DB,13,12,7,19,1.0,0.0,0,0,,0,1,0,0,0,0,,Iowa State,2019
Will McDonald,will-mcdonald-1,/cfb/players/will-mcdonald-1.html,LB,13,10,5,15,6.0,6.0,0,0,,0,0,0,0,0,1,,Iowa State,2019
Matt Leo,matt-leo-2,/cfb/players/matt-leo-2.html,DE,13,10,4,14,5.5,1.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Rory Walling,rory-walling-1,/cfb/players/rory-walling-1.html,RB,13,3,8,11,0.0,0.0,0,0,,0,0,1,0,0,0,,Iowa State,2019
Landen Akers,landen-akers-1,/cfb/players/landen-akers-1.html,WR,13,9,2,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
JaQuan Bailey,jaquan-bailey-1,/cfb/players/jaquan-bailey-1.html,DE,4,2,8,10,0.0,0.0,0,0,,0,1,0,0,0,0,,Iowa State,2019
D.J. Miller,dj-miller-2,/cfb/players/dj-miller-2.html,DB,11,5,4,9,0.0,0.0,0,0,,0,3,1,0,0,1,,Iowa State,2019
Jatairis Grant,jatairis-grant-1,/cfb/players/jatairis-grant-1.html,LB,11,5,4,9,0.0,0.0,0,0,,0,0,1,0,0,1,,Iowa State,2019
Tucker Robertson,tucker-robertson-1,/cfb/players/tucker-robertson-1.html,DL,10,1,7,8,0.0,0.0,0,0,,0,3,0,0,0,0,,Iowa State,2019
Kym-Mani King,kym-mani-king-1,/cfb/players/kym-mani-king-1.html,DB,13,4,3,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Amechie Walker,amechie-walker-1,/cfb/players/amechie-walker-1.html,DB,11,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Tymar Sutton,tymar-sutton-1,/cfb/players/tymar-sutton-1.html,LB,13,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Jared Gescheidler,jared-gescheidler-1,/cfb/players/jared-gescheidler-1.html,LB,11,3,1,4,0.0,0.0,0,0,,0,2,0,0,0,0,,Iowa State,2019
Peyton Paddock,peyton-paddock-1,/cfb/players/peyton-paddock-1.html,PK,13,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Chandler Pulvermacher,chandler-pulvermacher-1,/cfb/players/chandler-pulvermacher-1.html,LB,13,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Dylan Soehner,dylan-soehner-1,/cfb/players/dylan-soehner-1.html,TE,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Steve Wirtel,steve-wirtel-1,/cfb/players/steve-wirtel-1.html,DL,13,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Gerry Vaughn,gerry-vaughn-1,/cfb/players/gerry-vaughn-1.html,LB,13,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Richard Bowens III,richard-bowens-iii-1,/cfb/players/richard-bowens-iii-1.html,DB,7,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Charlie Kolar,charlie-kolar-1,/cfb/players/charlie-kolar-1.html,TE,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Keontae Jones,keontae-jones-1,/cfb/players/keontae-jones-1.html,DB,9,2,0,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Conner Greene,conner-greene-1,/cfb/players/conner-greene-1.html,TE,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Chase Allen,chase-allen-1,/cfb/players/chase-allen-1.html,TE,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Jared Rus,jared-rus-1,/cfb/players/jared-rus-1.html,TE,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Sean Shaw Jr.,sean-shaw-jr-1,/cfb/players/sean-shaw-jr-1.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Breece Hall,breece-hall-1,/cfb/players/breece-hall-1.html,RB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Tory Spears,tory-spears-1,/cfb/players/tory-spears-1.html,DB,6,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Trevor Downing,trevor-downing-1,/cfb/players/trevor-downing-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
Darren Wilson,darren-wilson-3,/cfb/players/darren-wilson-3.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
La'Michael Pettway,lamichael-pettway-1,/cfb/players/lamichael-pettway-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Iowa State,2019
