Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Anthony Smithson,anthony-smithson-1,/cfb/players/anthony-smithson-1.html,S,11,87,24,111,2.0,0.0,2,22,11.0,0,3,1,66,0,1,,Kansas,2015
Joe Dineen,joe-dineen-1,/cfb/players/joe-dineen-1.html,LB,12,66,20,86,6.5,3.0,0,0,,0,1,0,0,0,0,,Kansas,2015
Marcquis Roberts,marcquis-roberts-1,/cfb/players/marcquis-roberts-1.html,LB,12,52,19,71,3.5,1.0,1,83,83.0,1,1,2,5,0,0,,Kansas,2015
Tevin Shaw,tevin-shaw-1,/cfb/players/tevin-shaw-1.html,S,12,47,18,65,1.0,1.0,0,0,,0,3,0,0,0,0,,Kansas,2015
Tyrone Miller Jr.,tyrone-miller-jr-1,/cfb/players/tyrone-miller-jr-1.html,CB,12,42,14,56,2.0,0.0,0,0,,0,2,1,0,0,2,,Kansas,2015
Michael Glatczak,michael-glatczak-1,/cfb/players/michael-glatczak-1.html,S,12,42,13,55,2.5,0.0,1,15,15.0,0,2,1,0,0,0,,Kansas,2015
Ben Goodman,ben-goodman-1,/cfb/players/ben-goodman-1.html,DL,12,34,17,51,9.5,5.5,0,0,,0,0,0,0,0,0,,Kansas,2015
Brandon Stewart,brandon-stewart-3,/cfb/players/brandon-stewart-3.html,CB,10,29,6,35,0.5,0.0,0,0,,0,0,0,0,0,1,,Kansas,2015
Marnez Ogletree,marnez-ogletree-1,/cfb/players/marnez-ogletree-1.html,CB,9,27,5,32,0.0,0.0,0,0,,0,5,0,0,0,0,,Kansas,2015
Courtney Arnick,courtney-arnick-1,/cfb/players/courtney-arnick-1.html,LB,11,20,9,29,1.0,0.0,1,26,26.0,0,0,0,0,0,1,,Kansas,2015
Chevy Graham,chevy-graham-1,/cfb/players/chevy-graham-1.html,CB,11,22,6,28,2.5,2.0,0,0,,0,0,0,0,0,0,,Kansas,2015
Bazie Bates IV,bazie-bates-iv-1,/cfb/players/bazie-bates-iv-1.html,S,11,20,6,26,1.0,0.0,1,0,0.0,0,1,0,0,0,0,,Kansas,2015
Daniel Wise,daniel-wise-1,/cfb/players/daniel-wise-1.html,DT,12,17,9,26,5.5,3.5,0,0,,0,1,0,0,0,0,,Kansas,2015
Anthony Olobia,anthony-olobia-1,/cfb/players/anthony-olobia-1.html,DE,12,11,12,23,4.0,1.5,0,0,,0,0,0,0,0,0,,Kansas,2015
