Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jim Jones,jim-jones-5,/cfb/players/jim-jones-5.html,LB,12,52,46,98,8.0,6.0,0,0,,0,2,1,0,0,1,,Kent State,2017
Manny Lawrence-Burke,manny-lawrence-burke-1,/cfb/players/manny-lawrence-burke-1.html,S,12,34,42,76,6.5,0.5,1,-1,-1.0,0,0,1,4,0,0,,Kent State,2017
James Alexander,james-alexander-1,/cfb/players/james-alexander-1.html,LB,12,35,27,62,10.0,3.5,0,0,,0,0,0,0,0,0,,Kent State,2017
Jamal Parker,jamal-parker-1,/cfb/players/jamal-parker-1.html,CB,11,40,17,57,2.0,1.0,1,1,1.0,0,11,0,0,0,1,,Kent State,2017
Jon Cunningham,jon-cunningham-1,/cfb/players/jon-cunningham-1.html,DT,12,26,25,51,10.0,1.5,0,0,,0,0,0,0,0,1,,Kent State,2017
Jerrell Foster,jerrell-foster-1,/cfb/players/jerrell-foster-1.html,CB,12,37,7,44,0.0,0.0,1,0,0.0,0,9,1,0,0,0,,Kent State,2017
Theodore Eboigbe,theodore-eboigbe-1,/cfb/players/theodore-eboigbe-1.html,DE,12,23,16,39,5.0,2.0,0,0,,0,1,1,0,0,0,,Kent State,2017
Juantez McRae,juantez-mcrae-1,/cfb/players/juantez-mcrae-1.html,S,6,19,11,30,1.0,0.0,1,0,0.0,0,0,1,0,0,0,,Kent State,2017
Nick Faulkner,nick-faulkner-1,/cfb/players/nick-faulkner-1.html,DE,7,10,18,28,3.5,0.5,0,0,,0,3,0,0,0,1,,Kent State,2017
Quan Robinson,quan-robinson-1,/cfb/players/quan-robinson-1.html,S,9,15,8,23,0.0,0.0,1,10,10.0,0,0,0,0,0,1,,Kent State,2017
Demetrius Monday,demetrius-monday-1,/cfb/players/demetrius-monday-1.html,CB,10,18,4,22,0.0,0.0,5,33,6.6,0,4,0,0,0,0,,Kent State,2017
Erik Simpson,erik-simpson-1,/cfb/players/erik-simpson-1.html,S,12,15,6,21,1.5,0.0,0,0,,0,1,1,0,0,0,,Kent State,2017
Anthony McKay,anthony-mckay-1,/cfb/players/anthony-mckay-1.html,DT,11,10,10,20,3.5,1.0,0,0,,0,0,0,0,0,1,,Kent State,2017
Marques Moore,marques-moore-1,/cfb/players/marques-moore-1.html,DE,8,9,10,19,7.0,2.5,0,0,,0,0,0,0,0,0,,Kent State,2017
Elvis Hines,elvis-hines-1,/cfb/players/elvis-hines-1.html,DB,12,10,8,18,1.0,1.0,1,14,14.0,0,1,1,0,0,1,,Kent State,2017
Miles Daniel,miles-daniel-1,/cfb/players/miles-daniel-1.html,DB,10,9,8,17,0.0,0.0,1,9,9.0,0,0,0,0,0,0,,Kent State,2017
Theo Majette,theo-majette-1,/cfb/players/theo-majette-1.html,DL,10,10,7,17,6.5,4.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Darryl Marshall,darryl-marshall-1,/cfb/players/darryl-marshall-1.html,CB,10,12,4,16,1.0,0.0,0,0,,0,2,0,0,0,0,,Kent State,2017
Jordan Robinson,jordan-robinson-1,/cfb/players/jordan-robinson-1.html,DE,9,3,12,15,4.0,1.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Matt Bahr,matt-bahr-3,/cfb/players/matt-bahr-3.html,LB,2,10,3,13,1.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Devante Lee,devante-lee-2,/cfb/players/devante-lee-2.html,DL,12,3,8,11,2.0,0.5,0,0,,0,0,0,0,0,0,,Kent State,2017
Matthew Sommers,matthew-sommers-1,/cfb/players/matthew-sommers-1.html,DE,11,5,5,10,0.5,0.0,0,0,,0,1,0,0,0,0,,Kent State,2017
Sam Thomas,sam-thomas-2,/cfb/players/sam-thomas-2.html,LB,10,2,8,10,0.5,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Cepeda Phillips,cepeda-phillips-1,/cfb/players/cepeda-phillips-1.html,LB,8,3,7,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Alex Hoag,alex-hoag-1,/cfb/players/alex-hoag-1.html,DE,12,6,3,9,2.5,0.0,0,0,,0,0,0,0,0,1,,Kent State,2017
Dalton Hicks,dalton-hicks-1,/cfb/players/dalton-hicks-1.html,LB,7,3,6,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Dominic Hill,dominic-hill-1,/cfb/players/dominic-hill-1.html,DL,8,3,4,7,0.5,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Jontey Byrd,jontey-byrd-1,/cfb/players/jontey-byrd-1.html,DT,6,1,5,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
John Bronczek,john-bronczek-1,/cfb/players/john-bronczek-1.html,S,10,2,3,5,0.5,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Joey Palumbo,joey-palumbo-1,/cfb/players/joey-palumbo-1.html,LS,8,5,0,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Matt Bell,matt-bell-3,/cfb/players/matt-bell-3.html,DL,6,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Shane Hynes,shane-hynes-1,/cfb/players/shane-hynes-1.html,K,12,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Kavious Price,kavious-price-1,/cfb/players/kavious-price-1.html,WR,10,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Keith Sherald Jr.,keith-sherald-1,/cfb/players/keith-sherald-1.html,CB,12,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
Kesean Gamble,kesean-gamble-1,/cfb/players/kesean-gamble-1.html,LB,12,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Kent State,2017
