Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jordan Jones,jordan-jones-2,/cfb/players/jordan-jones-2.html,LB,13,74,35,109,15.5,4.0,0,0,,0,4,0,0,0,1,,Kentucky,2016
Mike Edwards,mike-edwards-8,/cfb/players/mike-edwards-8.html,S,13,56,44,100,5.5,0.5,3,46,15.3,0,8,0,0,0,0,,Kentucky,2016
Courtney Love,courtney-love-1,/cfb/players/courtney-love-1.html,LB,13,39,37,76,1.0,1.0,0,0,,0,1,1,0,0,1,,Kentucky,2016
Denzil Ware,denzil-ware-1,/cfb/players/denzil-ware-1.html,DE,13,37,33,70,12.0,5.5,0,0,,0,0,0,0,0,0,,Kentucky,2016
Marcus McWilson,marcus-mcwilson-1,/cfb/players/marcus-mcwilson-1.html,S,13,29,37,66,4.5,0.0,1,45,45.0,1,0,0,0,0,0,,Kentucky,2016
Josh Allen,josh-allen-6,/cfb/players/josh-allen-6.html,LB,13,32,30,62,8.5,7.0,0,0,,0,0,0,0,0,4,,Kentucky,2016
Blake McClain,blake-mcclain-1,/cfb/players/blake-mcclain-1.html,DB,13,39,23,62,0.5,0.0,3,28,9.3,0,2,0,0,0,0,,Kentucky,2016
Chris Westry,chris-westry-1,/cfb/players/chris-westry-1.html,CB,13,35,8,43,0.5,0.0,1,0,0.0,0,3,1,0,0,0,,Kentucky,2016
Derrick Baity,derrick-baity-1,/cfb/players/derrick-baity-1.html,CB,13,36,6,42,2.0,0.0,3,10,3.3,0,7,0,0,0,0,,Kentucky,2016
J.D. Harmon,jd-harmon-1,/cfb/players/jd-harmon-1.html,CB,13,28,11,39,1.0,0.0,2,0,0.0,0,1,1,0,0,0,,Kentucky,2016
Naquez Pringle,naquez-pringle-1,/cfb/players/naquez-pringle-1.html,DT,12,17,22,39,2.0,1.0,0,0,,0,0,0,0,0,0,,Kentucky,2016
Adrian Middleton,adrian-middleton-1,/cfb/players/adrian-middleton-1.html,DT,13,18,17,35,5.5,0.0,0,0,,0,0,0,0,0,0,,Kentucky,2016
Courtney Miggins,courtney-miggins-1,/cfb/players/courtney-miggins-1.html,DT,13,12,16,28,4.0,0.5,0,0,,0,5,1,0,0,1,,Kentucky,2016
Alvonte Bell,alvonte-bell-1,/cfb/players/alvonte-bell-1.html,DE,12,13,14,27,1.0,0.5,0,0,,0,2,0,0,0,0,,Kentucky,2016
Eli Brown,eli-brown-1,/cfb/players/eli-brown-1.html,LB,12,16,8,24,0.5,0.0,0,0,,0,0,1,0,0,0,,Kentucky,2016
Kash Daniel,kash-daniel-1,/cfb/players/kash-daniel-1.html,LB,13,11,8,19,0.0,0.0,0,0,,0,0,0,0,0,0,,Kentucky,2016
Kendall Randolph,kendall-randolph-1,/cfb/players/kendall-randolph-1.html,CB,11,9,6,15,1.0,0.0,0,0,,0,0,0,0,0,0,,Kentucky,2016
De'Niro Laster,deniro-laster-1,/cfb/players/deniro-laster-1.html,LB,5,7,7,14,2.0,1.0,0,0,,0,0,1,0,0,0,,Kentucky,2016
Marcus Walker,marcus-walker-3,/cfb/players/marcus-walker-3.html,S,8,5,7,12,0.0,0.0,0,0,,0,0,0,0,0,0,,Kentucky,2016
T.J. Carter,tj-carter-1,/cfb/players/tj-carter-1.html,DE,11,5,6,11,0.5,0.0,0,0,,0,1,0,0,0,0,,Kentucky,2016
