Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Traveion Webster,traveion-webster-1,/cfb/players/traveion-webster-1.html,LB,10,37,45,82,8.5,2.5,0,0,,0,1,2,0,0,0,,Louisiana-Monroe,2020
Austin Hawley,austin-hawley-1,/cfb/players/austin-hawley-1.html,S,10,49,28,77,5.5,1.0,1,39,39.0,0,1,0,0,0,0,,Louisiana-Monroe,2020
Jabari Johnson,jabari-johnson-4,/cfb/players/jabari-johnson-4.html,S,10,31,36,67,1.5,0.0,0,0,,0,1,0,0,0,0,,Louisiana-Monroe,2020
Tyler Glass,tyler-glass-1,/cfb/players/tyler-glass-1.html,S,7,21,22,43,2.0,0.0,0,0,,0,1,0,0,0,0,,Louisiana-Monroe,2020
Kevin Pointer,kevin-pointer-2,/cfb/players/kevin-pointer-2.html,,10,24,14,38,7.5,0.0,0,0,,0,0,0,0,0,0,,Louisiana-Monroe,2020
Kevin Pointer,kevin-pointer-1,/cfb/players/kevin-pointer-1.html,DL,9,24,14,38,7.5,0.0,0,0,,0,0,0,0,0,0,,Louisiana-Monroe,2020
Hunter Smith,hunter-smith-3,/cfb/players/hunter-smith-3.html,LB,8,18,20,38,0.5,0.0,1,5,5.0,0,0,0,0,0,0,,Louisiana-Monroe,2020
Keyshawn Johnson,keyshawn-johnson-2,/cfb/players/keyshawn-johnson-2.html,LB,6,18,19,37,3.0,0.0,0,0,,0,0,0,0,0,0,,Louisiana-Monroe,2020
Ty Shelby,ty-shelby-1,/cfb/players/ty-shelby-1.html,DE,8,13,23,36,6.5,2.0,0,0,,0,0,0,0,0,0,,Louisiana-Monroe,2020
Keilos Swinney,keilos-swinney-1,/cfb/players/keilos-swinney-1.html,S,9,19,12,31,3.0,1.0,0,0,,0,3,2,9,0,2,,Louisiana-Monroe,2020
