Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Lorenzo McCaskill,lorenzo-mccaskill-1,/cfb/players/lorenzo-mccaskill-1.html,LB,13,40,44,84,2.0,0.5,0,0,,0,0,1,0,0,0,,Louisiana,2021
Ferrod Gardner,ferrod-gardner-1,/cfb/players/ferrod-gardner-1.html,LB,11,30,37,67,3.5,1.5,1,0,0.0,0,3,0,0,0,0,,Louisiana,2021
Andre Jones,andre-jones-4,/cfb/players/andre-jones-4.html,DL,14,36,25,61,9.0,6.0,0,0,,0,4,2,0,0,3,,Louisiana,2021
Percy Butler,percy-butler-1,/cfb/players/percy-butler-1.html,S,13,37,24,61,6.0,0.0,1,0,0.0,0,4,2,0,0,0,,Louisiana,2021
Zi'Yon Hill,ziyon-hill-1,/cfb/players/ziyon-hill-1.html,DL,13,23,36,59,9.5,6.5,0,0,,0,0,1,0,0,1,,Louisiana,2021
Chauncey Manac,chauncey-manac-1,/cfb/players/chauncey-manac-1.html,LB,14,35,22,57,14.5,10.5,0,0,,0,2,1,0,0,2,,Louisiana,2021
Kam Pedescleaux,kam-pedescleaux-1,/cfb/players/kam-pedescleaux-1.html,S,14,30,21,51,5.0,0.0,1,0,0.0,0,3,1,0,0,0,,Louisiana,2021
Bralen Trahan,bralen-trahan-1,/cfb/players/bralen-trahan-1.html,S,14,25,15,40,1.0,0.0,1,26,26.0,0,2,1,0,0,0,,Louisiana,2021
Cameron Solomon,cameron-solomon-1,/cfb/players/cameron-solomon-1.html,S,13,23,16,39,0.5,0.0,0,0,,0,2,0,0,0,2,,Louisiana,2021
Jourdon Quibodeaux,jourdon-quibodeaux-1,/cfb/players/jourdon-quibodeaux-1.html,LB,14,21,17,38,3.5,1.5,0,0,,0,0,0,0,0,0,,Louisiana,2021
Brandon Bishop,brandon-bishop-3,/cfb/players/brandon-bishop-3.html,S,14,17,15,32,1.0,0.0,1,11,11.0,0,1,0,0,0,0,,Louisiana,2021
Kris Moncrief,kris-moncrief-1,/cfb/players/kris-moncrief-1.html,LB,14,10,21,31,2.5,2.0,1,67,67.0,1,1,1,0,0,1,,Louisiana,2021
Mekhi Garner,mekhi-garner-1,/cfb/players/mekhi-garner-1.html,CB,13,21,10,31,2.5,0.5,0,0,,0,8,0,0,0,1,,Louisiana,2021
Tayland Humphrey,tayland-humphrey-1,/cfb/players/tayland-humphrey-1.html,DL,12,14,16,30,1.5,0.0,0,0,,0,3,0,0,0,0,,Louisiana,2021
