Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Keith Kelsey,keith-kelsey-1,/cfb/players/keith-kelsey-1.html,LB,13,57,50,107,12.0,3.5,0,0,,0,3,1,20,0,1,,Louisville,2015
James Burgess,james-burgess-1,/cfb/players/james-burgess-1.html,LB,13,52,40,92,9.0,0.0,1,0,0.0,0,4,2,27,0,0,,Louisville,2015
Josh Harvey-Clemons,josh-harvey-clemons-1,/cfb/players/josh-harvey-clemons-1.html,S,13,50,38,88,2.0,1.0,3,7,2.3,0,3,0,0,0,1,,Louisville,2015
Devonte Fields,devonte-fields-1,/cfb/players/devonte-fields-1.html,LB,13,45,19,64,22.5,11.0,0,0,,0,3,1,0,0,2,,Louisville,2015
Chucky Williams,chucky-williams-1,/cfb/players/chucky-williams-1.html,S,13,38,23,61,2.0,0.0,3,79,26.3,0,7,1,0,0,1,,Louisville,2015
Sheldon Rankins,sheldon-rankins-1,/cfb/players/sheldon-rankins-1.html,DE,13,28,30,58,13.0,6.0,0,0,,0,1,1,46,1,0,,Louisville,2015
Trumaine Washington,trumaine-washington-1,/cfb/players/trumaine-washington-1.html,CB,13,48,8,56,7.0,2.0,4,57,14.3,1,6,1,0,0,3,,Louisville,2015
Deangelo Brown,deangelo-brown-1,/cfb/players/deangelo-brown-1.html,DT,13,21,19,40,7.0,1.5,0,0,,0,0,0,0,0,0,,Louisville,2015
Jermaine Reve,jermaine-reve-1,/cfb/players/jermaine-reve-1.html,S,12,24,14,38,0.5,0.0,1,2,2.0,0,1,0,0,0,2,,Louisville,2015
Keith Brown,keith-brown-5,/cfb/players/keith-brown-5.html,LB,13,16,17,33,2.0,0.0,0,0,,0,2,0,0,0,0,,Louisville,2015
Trevon Young,trevon-young-1,/cfb/players/trevon-young-1.html,LB,12,20,12,32,10.0,8.5,1,27,27.0,0,2,0,0,0,2,,Louisville,2015
Shaq Wiggins,shaq-wiggins-1,/cfb/players/shaq-wiggins-1.html,CB,13,18,12,30,0.5,0.0,2,52,26.0,0,11,0,0,0,0,,Louisville,2015
Pio Vatuvei,pio-vatuvei-2,/cfb/players/pio-vatuvei-2.html,DE,13,10,16,26,3.5,1.0,0,0,,0,1,0,0,0,1,,Louisville,2015
Stacy Thomas,stacy-thomas-1,/cfb/players/stacy-thomas-1.html,LB,12,14,11,25,0.0,0.0,0,0,,0,2,1,0,0,0,,Louisville,2015
Jaire Alexander,jaire-alexander-1,/cfb/players/jaire-alexander-1.html,CB,12,14,5,19,0.0,0.0,1,5,5.0,0,2,0,0,0,0,,Louisville,2015
Zykiesis Cannon,zykiesis-cannon-1,/cfb/players/zykiesis-cannon-1.html,CB,10,11,5,16,0.0,0.0,0,0,,0,1,0,0,0,0,,Louisville,2015
James Hearns,james-hearns-1,/cfb/players/james-hearns-1.html,LB,11,9,3,12,3.5,2.5,0,0,,0,0,1,0,0,0,,Louisville,2015
De'Eric Culver,deeric-culver-1,/cfb/players/deeric-culver-1.html,CB,7,8,2,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Duke Culver,duke-culver-1,/cfb/players/duke-culver-1.html,,8,7,2,9,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Drew Bailey,drew-bailey-2,/cfb/players/drew-bailey-2.html,DL,12,2,7,9,1.0,0.5,0,0,,0,0,0,0,0,0,,Louisville,2015
Damien Smith,damien-smith-1,/cfb/players/damien-smith-1.html,LB,4,2,5,7,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,Louisville,2015
Isaac Stewart,isaac-stewart-1,/cfb/players/isaac-stewart-1.html,LB,9,3,4,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Kyle Shortridge,kyle-shortridge-1,/cfb/players/kyle-shortridge-1.html,DT,12,2,5,7,1.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Dee Smith,dee-smith-3,/cfb/players/dee-smith-3.html,S,7,2,5,7,0.0,0.0,1,0,0.0,0,0,0,0,0,0,,Louisville,2015
Lamar Atkins,lamar-atkins-1,/cfb/players/lamar-atkins-1.html,LB,12,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Gio Pascascio,gio-pascascio-1,/cfb/players/gio-pascascio-1.html,WR,12,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Devonte Peete,devonte-peete-1,/cfb/players/devonte-peete-1.html,WR,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
De'Asian Richardson,deasian-richardson-1,/cfb/players/deasian-richardson-1.html,,2,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Nick Dawson-Brents,nick-dawson-brents-1,/cfb/players/nick-dawson-brents-1.html,LB,12,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
Johnny Richardson,johnny-richardson-3,/cfb/players/johnny-richardson-3.html,DE,2,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Louisville,2015
