Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Eli Neal,eli-neal-1,/cfb/players/eli-neal-1.html,LB,13,49,49,98,9.5,3.0,1,18,18.0,0,3,0,0,0,0,,Marshall,2022
Charlie Gray,charlie-gray-1,/cfb/players/charlie-gray-1.html,LB,13,34,37,71,8.5,2.5,2,4,2.0,0,2,0,0,0,1,,Marshall,2022
Abraham Beauplan,abraham-beauplan-1,/cfb/players/abraham-beauplan-1.html,LB,12,21,45,66,6.5,1.0,1,7,7.0,0,3,0,0,0,1,,Marshall,2022
Owen Porter,owen-porter-1,/cfb/players/owen-porter-1.html,DL,13,22,38,60,15.0,9.5,1,4,4.0,0,2,1,0,1,2,,Marshall,2022
Andre Sam,andre-sam-1,/cfb/players/andre-sam-1.html,S,12,32,21,53,5.5,0.0,1,0,0.0,0,7,1,20,0,0,,Marshall,2022
Koby Cumberlander,koby-cumberlander-1,/cfb/players/koby-cumberlander-1.html,DL,13,18,24,42,10.5,6.5,0,0,,0,0,2,0,0,1,,Marshall,2022
Kerion Martin,kerion-martin-1,/cfb/players/kerion-martin-1.html,S,12,17,25,42,2.5,0.0,0,0,,0,2,0,0,0,1,,Marshall,2022
Steven Gilmore,steven-gilmore-1,/cfb/players/steven-gilmore-1.html,DB,13,25,16,41,0.5,0.0,3,67,22.3,1,10,0,0,0,0,,Marshall,2022
Anthony Watts,anthony-watts-2,/cfb/players/anthony-watts-2.html,DL,13,7,29,36,5.0,1.0,0,0,,0,0,0,0,0,0,,Marshall,2022
Micah Abraham,micah-abraham-1,/cfb/players/micah-abraham-1.html,DB,13,22,14,36,1.5,0.5,6,35,5.8,0,10,1,0,0,0,,Marshall,2022
Sam Burton,sam-burton-1,/cfb/players/sam-burton-1.html,DL,12,11,24,35,7.0,5.0,0,0,,0,0,0,0,0,1,,Marshall,2022
E.J. Jackson,ej-jackson-1,/cfb/players/ej-jackson-1.html,S,12,17,16,33,0.0,0.0,0,0,,0,2,0,0,0,0,,Marshall,2022
Jadarius Green-McKnight,jadarius-green-mcknight-1,/cfb/players/jadarius-green-mcknight-1.html,LB,12,11,14,25,1.0,0.0,0,0,,0,1,1,0,0,0,,Marshall,2022
TyQaze Leggs,tyqaze-leggs-1,/cfb/players/tyqaze-leggs-1.html,DL,7,7,17,24,3.5,3.0,0,0,,0,0,1,0,0,0,,Marshall,2022
Isaiah Norman,isaiah-norman-1,/cfb/players/isaiah-norman-1.html,S,9,11,12,23,0.0,0.0,0,0,,0,0,1,18,0,0,,Marshall,2022
Elijah Alston,elijah-alston-1,/cfb/players/elijah-alston-1.html,DL,12,4,18,22,1.5,0.0,0,0,,0,2,1,0,0,0,,Marshall,2022
Damion Barber Jr.,damion-barber-jr-1,/cfb/players/damion-barber-jr-1.html,DL,13,6,15,21,2.0,2.0,1,34,34.0,1,2,1,0,0,0,,Marshall,2022
Jace Bobo,jace-bobo-1,/cfb/players/jace-bobo-1.html,LB,9,6,13,19,1.5,0.5,0,0,,0,0,0,0,0,0,,Marshall,2022
Daytione Smith,daytione-smith-1,/cfb/players/daytione-smith-1.html,DB,8,10,8,18,0.5,0.0,0,0,,0,3,0,0,0,0,,Marshall,2022
Immanuel Bush,immanuel-bush-1,/cfb/players/immanuel-bush-1.html,DL,12,3,14,17,3.0,1.5,0,0,,0,1,0,0,0,0,,Marshall,2022
Emmanuel Balogun,emmanuel-balogun-1,/cfb/players/emmanuel-balogun-1.html,DL,8,2,9,11,1.0,0.5,0,0,,0,1,0,0,0,0,,Marshall,2022
Isaiah Gibson,isaiah-gibson-1,/cfb/players/isaiah-gibson-1.html,DL,13,1,10,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2022
Daniel Foster,daniel-foster-2,/cfb/players/daniel-foster-2.html,DL,9,1,6,7,0.5,0.0,0,0,,0,1,0,0,0,0,,Marshall,2022
Tyriek Bell,tyriek-bell-1,/cfb/players/tyriek-bell-1.html,LB,8,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Marshall,2022
