Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Curtis Akins,curtis-atkins-1,/cfb/players/curtis-atkins-1.html,LB,14,62,38,100,3.0,1.0,0,0,,0,1,1,0,0,1,,Memphis,2018
Tyrez Lindsey,tyrez-lindsey-1,/cfb/players/tyrez-lindsey-1.html,DB,14,40,31,71,2.0,0.0,0,0,,0,2,1,0,0,0,,Memphis,2018
Terrell Carter,terrell-carter-1,/cfb/players/terrell-carter-1.html,DB,14,58,10,68,1.5,0.0,2,35,17.5,1,12,0,0,0,1,,Memphis,2018
Josh Perry,josh-perry-1,/cfb/players/josh-perry-1.html,DB,14,45,20,65,1.0,0.0,0,0,,0,7,1,0,0,0,,Memphis,2018
Austin Hall,austin-hall-3,/cfb/players/austin-hall-3.html,LB,14,44,20,64,9.0,1.5,0,0,,0,6,2,20,0,2,,Memphis,2018
Tim Hart,tim-hart-1,/cfb/players/tim-hart-1.html,LB,14,40,20,60,0.5,0.0,0,0,,0,0,0,0,0,0,,Memphis,2018
JJ Russell,jj-russell-1,/cfb/players/jj-russell-1.html,LB,14,39,19,58,8.5,3.0,0,0,,0,0,1,0,0,3,,Memphis,2018
Tito Windham,tito-windham-1,/cfb/players/tito-windham-1.html,DB,12,37,14,51,4.0,0.0,2,19,9.5,0,5,0,0,0,0,,Memphis,2018
Jojo Dorceus,jojo-dorceus-1,/cfb/players/jojo-dorceus-1.html,,14,30,20,50,7.0,6.0,0,0,,0,2,0,0,0,1,,Memphis,2018
Joseph Dorceus,joseph-dorceus-1,/cfb/players/joseph-dorceus-1.html,DL,13,30,20,50,7.0,6.0,0,0,,0,2,0,0,0,1,,Memphis,2018
Bryce Huff,bryce-huff-1,/cfb/players/bryce-huff-1.html,LB,14,35,14,49,19.0,9.5,0,0,,0,2,0,0,0,1,,Memphis,2018
Sanchez Blake Jr.,sanchez-blake-jr-1,/cfb/players/sanchez-blake-jr-1.html,DB,14,38,9,47,2.5,0.0,0,0,,0,3,0,0,0,1,,Memphis,2018
Jonathan Wilson,jonathan-wilson-1,/cfb/players/jonathan-wilson-1.html,DL,14,22,8,30,9.5,6.0,0,0,,0,0,1,0,0,0,,Memphis,2018
Jackson Dillon,jackson-dillon-1,/cfb/players/jackson-dillon-1.html,LB,12,20,6,26,5.5,2.0,0,0,,0,2,0,0,0,0,,Memphis,2018
Jacobi Francis,jacobi-francis-1,/cfb/players/jacobi-francis-1.html,DB,14,18,6,24,3.0,0.0,1,-1,-1.0,0,3,1,0,0,1,,Memphis,2018
O'Bryan Goodson,obryan-goodson-1,/cfb/players/obryan-goodson-1.html,DL,14,14,9,23,8.5,1.0,0,0,,0,0,0,0,0,1,,Memphis,2018
Nehemiah Augustus,nehemiah-augustus-1,/cfb/players/nehemiah-augustus-1.html,LB,14,15,4,19,2.5,0.0,0,0,,0,0,0,0,0,0,,Memphis,2018
Emmanuel Cooper,emmanuel-cooper-1,/cfb/players/emmanuel-cooper-1.html,DL,11,14,4,18,5.5,0.0,0,0,,0,0,0,0,0,0,,Memphis,2018
John Tate,john-tate-1,/cfb/players/john-tate-1.html,DL,14,10,7,17,6.0,4.0,0,0,,0,2,1,0,0,1,,Memphis,2018
Chris Claybrooks,chris-claybrooks-1,/cfb/players/chris-claybrooks-1.html,DB,12,10,2,12,0.0,0.0,1,37,37.0,1,1,0,0,0,0,,Memphis,2018
Keith Brigham,keith-brigham-1,/cfb/players/keith-brigham-1.html,DL,12,7,1,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Memphis,2018
