Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Ben Gedeon,ben-gedeon-1,/cfb/players/ben-gedeon-1.html,LB,13,38,68,106,15.5,4.5,0,0,,0,2,0,0,0,0,,Michigan,2016
Mike McCray,mike-mccray-2,/cfb/players/mike-mccray-2.html,LB,13,39,37,76,12.5,4.5,2,36,18.0,1,7,1,0,0,1,,Michigan,2016
Jabrill Peppers,jabrill-peppers-1,/cfb/players/jabrill-peppers-1.html,LB,12,47,25,72,16.0,4.0,1,11,11.0,0,0,0,0,0,1,"H-5,AA",Michigan,2016
Dymonte Thomas,dymonte-thomas-1,/cfb/players/dymonte-thomas-1.html,S,13,40,30,70,0.0,0.0,1,4,4.0,0,9,1,0,0,0,,Michigan,2016
Delano Hill,delano-hill-1,/cfb/players/delano-hill-1.html,S,13,38,14,52,4.5,0.0,3,36,12.0,1,3,0,0,0,1,,Michigan,2016
Taco Charlton,taco-charlton-1,/cfb/players/taco-charlton-1.html,DE,11,19,24,43,13.0,9.5,0,0,,0,2,0,0,0,0,,Michigan,2016
Ryan Glasgow,ryan-glasgow-1,/cfb/players/ryan-glasgow-1.html,DT,13,15,27,42,9.5,4.0,0,0,,0,1,0,0,0,1,,Michigan,2016
Chris Wormley,chris-wormley-1,/cfb/players/chris-wormley-1.html,DE,13,17,23,40,9.0,6.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Chase Winovich,chase-winovich-1,/cfb/players/chase-winovich-1.html,DE,13,11,24,35,9.5,5.0,0,0,,0,0,0,0,0,1,,Michigan,2016
Maurice Hurst Jr.,maurice-hurst-jr-1,/cfb/players/maurice-hurst-jr-1.html,DT,12,19,15,34,11.5,4.5,0,0,,0,1,1,0,0,1,,Michigan,2016
Channing Stribling,channing-stribling-1,/cfb/players/channing-stribling-1.html,CB,13,19,9,28,3.0,1.0,4,60,15.0,1,13,0,0,0,0,,Michigan,2016
Rashan Gary,rashan-gary-1,/cfb/players/rashan-gary-1.html,DE,13,11,16,27,5.0,1.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Matthew Godin,matthew-godin-1,/cfb/players/matthew-godin-1.html,DT,13,12,14,26,2.0,1.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Jourdan Lewis,jourdan-lewis-1,/cfb/players/jourdan-lewis-1.html,CB,10,18,7,25,3.5,0.0,2,0,0.0,0,11,0,0,0,0,AA,Michigan,2016
Tyree Kinnel,tyree-kinnel-1,/cfb/players/tyree-kinnel-1.html,S,13,11,6,17,1.0,0.0,0,0,,0,0,0,0,0,1,,Michigan,2016
Josh Metellus,josh-metellus-1,/cfb/players/josh-metellus-1.html,S,8,7,8,15,1.0,1.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Devin Bush,devin-bush-2,/cfb/players/devin-bush-2.html,LB,13,6,6,12,0.5,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Bryan Mone,bryan-mone-1,/cfb/players/bryan-mone-1.html,DT,10,3,9,12,1.0,0.0,0,0,,0,1,1,0,0,0,,Michigan,2016
Brandon Watson,brandon-watson-1,/cfb/players/brandon-watson-1.html,CB,13,7,5,12,0.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Jordan Glasgow,jordan-glasgow-1,/cfb/players/jordan-glasgow-1.html,S,13,8,4,12,0.0,0.0,0,0,,0,0,1,0,0,0,,Michigan,2016
Noah Furbush,noah-furbush-1,/cfb/players/noah-furbush-1.html,LB,10,3,8,11,1.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Jeremy Clark,jeremy-clark-2,/cfb/players/jeremy-clark-2.html,CB,4,6,4,10,0.0,0.0,0,0,,0,3,0,0,0,0,,Michigan,2016
Khaleke Hudson,khaleke-hudson-1,/cfb/players/khaleke-hudson-1.html,S,12,3,5,8,0.5,0.0,0,0,,0,1,0,0,0,0,,Michigan,2016
Aj Pearson,aj-pearson-1,/cfb/players/aj-pearson-1.html,S,13,2,5,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Lawrence Marshall,lawrence-marshall-1,/cfb/players/lawrence-marshall-1.html,DE,3,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Garrett Miller,garrett-miller-1,/cfb/players/garrett-miller-1.html,DT,5,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Michael Wroblewski,michael-wrobleski-1,/cfb/players/michael-wrobleski-1.html,DE,9,0,4,4,0.5,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Kenneth Allen,kenneth-allen-1,/cfb/players/kenneth-allen-1.html,K,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
Josh Uche,josh-uche-1,/cfb/players/josh-uche-1.html,LB,4,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,1,,Michigan,2016
Keith Washington,keith-washington-3,/cfb/players/keith-washington-3.html,CB,9,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Michigan,2016
