Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Riley Bullough,riley-bullough-1,/cfb/players/riley-bullough-1.html,LB,14,48,58,106,7.5,4.0,2,61,30.5,1,2,2,13,0,2,,Michigan State,2015
Darien Harris,darien-harris-1,/cfb/players/darien-harris-1.html,LB,14,42,48,90,9.0,0.0,0,0,,0,3,0,0,0,0,,Michigan State,2015
Montae Nicholson,montae-nicholson-1,/cfb/players/montae-nicholson-1.html,S,14,52,31,83,2.5,0.0,3,60,20.0,0,2,0,0,0,1,,Michigan State,2015
Demetrious Cox,demetrious-cox-1,/cfb/players/demetrious-cox-1.html,DB,14,48,31,79,2.0,0.0,3,14,4.7,0,7,1,77,1,0,,Michigan State,2015
Jon Reschke,jon-reschke-1,/cfb/players/jon-reschke-1.html,LB,14,31,44,75,5.5,2.0,0,0,,0,2,0,0,0,0,,Michigan State,2015
Shilique Calhoun,shilique-calhoun-1,/cfb/players/shilique-calhoun-1.html,DE,14,22,27,49,15.0,10.5,0,0,,0,3,0,0,0,1,,Michigan State,2015
Arjen Colquhoun,arjen-colquhoun-1,/cfb/players/arjen-colquhoun-1.html,CB,14,31,14,45,1.5,1.0,2,7,3.5,0,10,1,0,0,2,,Michigan State,2015
Malik McDowell,malik-mcdowell-1,/cfb/players/malik-mcdowell-1.html,DL,14,21,20,41,13.0,4.5,1,13,13.0,1,0,0,0,0,2,,Michigan State,2015
Lawrence Thomas,lawrence-thomas-1,/cfb/players/lawrence-thomas-1.html,DL,14,11,27,38,5.0,3.0,0,0,,0,6,0,0,0,0,,Michigan State,2015
Darian Hicks,darian-hicks-1,/cfb/players/darian-hicks-1.html,CB,11,18,15,33,0.5,0.0,0,0,,0,3,0,0,0,0,,Michigan State,2015
Joel Heath,joel-heath-1,/cfb/players/joel-heath-1.html,DL,12,13,18,31,5.5,2.0,0,0,,0,1,1,0,0,1,,Michigan State,2015
Rj Williamson,rj-williamson-1,/cfb/players/rj-williamson-1.html,S,6,11,13,24,2.0,0.0,2,9,4.5,0,1,1,64,1,0,,Michigan State,2015
Jermaine Edmondson,jermaine-edmondson-1,/cfb/players/jermaine-edmondson-1.html,CB,14,15,9,24,2.5,0.0,0,0,,0,3,2,0,0,0,,Michigan State,2015
Grayson Miller,grayson-miller-1,/cfb/players/grayson-miller-1.html,S,12,16,8,24,1.0,0.0,1,0,0.0,0,0,0,0,0,0,,Michigan State,2015
Chris Frey,chris-frey-1,/cfb/players/chris-frey-1.html,LB,14,12,11,23,5.0,2.5,0,0,,0,0,1,0,0,0,,Michigan State,2015
