Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Diego Fagot,diego-fagot-1,/cfb/players/diego-fagot-1.html,LB,13,52,48,100,12.0,5.5,1,17,17.0,1,2,0,0,0,2,,Navy,2019
Kevin Brennan,kevin-brennan-2,/cfb/players/kevin-brennan-2.html,S,13,31,50,81,2.5,0.0,2,10,5.0,0,4,0,0,0,0,,Navy,2019
Jake Springer,jake-springer-1,/cfb/players/jake-springer-1.html,LB,13,39,30,69,16.0,8.0,0,0,,0,2,0,0,0,3,,Navy,2019
Paul Carothers,paul-carothers-1,/cfb/players/paul-carothers-1.html,LB,13,24,37,61,8.5,4.0,0,0,,0,0,0,0,0,0,,Navy,2019
Evan Fochtman,evan-fochtman-1,/cfb/players/evan-fochtman-1.html,S,13,34,19,53,2.5,1.0,2,5,2.5,0,5,0,0,0,0,,Navy,2019
Michael McMorris,michael-mcmorris-1,/cfb/players/michael-mcmorris-1.html,CB,13,31,16,47,2.5,0.0,1,1,1.0,0,9,0,0,0,1,,Navy,2019
Jay Warren,jay-warren-2,/cfb/players/jay-warren-2.html,DT,13,14,30,44,3.5,2.0,0,0,,0,0,2,0,0,2,,Navy,2019
Cameron Kinley,cameron-kinley-1,/cfb/players/cameron-kinley-1.html,CB,13,24,14,38,2.5,1.0,0,0,,0,5,0,0,0,0,,Navy,2019
Nizaire Cromartie,nizaire-cromartie-1,/cfb/players/nizaire-cromartie-1.html,LB,13,17,21,38,9.5,3.5,0,0,,0,0,2,3,0,2,,Navy,2019
Jackson Pittman,jackson-pittman-1,/cfb/players/jackson-pittman-1.html,G,13,12,17,29,4.5,0.5,0,0,,0,0,2,11,0,0,,Navy,2019
Elan Nash,elan-nash-1,/cfb/players/elan-nash-1.html,S,13,18,10,28,1.0,0.0,0,0,,0,2,0,0,0,0,,Navy,2019
Jackson Perkins,jackson-perkins-1,/cfb/players/jackson-perkins-1.html,DE,10,6,18,24,4.0,1.0,1,10,10.0,0,2,0,0,0,0,,Navy,2019
Tama Tuitele,tama-tuitele-1,/cfb/players/tama-tuitele-1.html,LB,6,8,11,19,0.5,0.0,0,0,,0,0,0,0,0,0,,Navy,2019
Walter Little,walter-little-1,/cfb/players/walter-little-1.html,LB,13,9,9,18,0.5,0.0,0,0,,0,1,0,0,0,0,,Navy,2019
Denzel Polk,denzel-polk-1,/cfb/players/denzel-polk-1.html,DE,10,7,8,15,2.5,0.0,0,0,,0,0,0,0,0,0,,Navy,2019
Tyler Pistorio,tyler-pistorio-1,/cfb/players/tyler-pistorio-1.html,LB,8,4,9,13,1.0,0.5,1,6,6.0,0,1,1,0,0,0,,Navy,2019
Austin Talbert-Loving,austin-talbert-loving-1,/cfb/players/austin-talbert-loving-1.html,LB,13,2,11,13,0.5,0.5,0,0,,0,0,1,0,0,0,,Navy,2019
Dave Tolentino,dave-tolentino-1,/cfb/players/dave-tolentino-1.html,G,13,5,7,12,0.5,0.0,0,0,,0,1,0,0,0,0,,Navy,2019
