Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Dalton Baker,dalton-baker-1,/cfb/players/dalton-baker-1.html,DB,12,69,30,99,1.0,0.0,0,0,,0,2,0,0,0,2,,Nevada-Las Vegas,2017
Gabe McCoy,gabe-mccoy-1,/cfb/players/gabe-mccoy-1.html,LB,12,57,24,81,3.0,0.0,1,-1,-1.0,0,0,0,0,0,2,,Nevada-Las Vegas,2017
Brian Keyes,brian-keyes-1,/cfb/players/brian-keyes-1.html,LB,12,35,36,71,1.5,0.0,0,0,,0,3,4,0,0,1,,Nevada-Las Vegas,2017
Bailey Laolagi,bailey-laolagi-1,/cfb/players/bailey-laolagi-1.html,LB,7,35,28,63,4.0,1.0,0,0,,0,1,0,0,0,0,,Nevada-Las Vegas,2017
Jericho Flowers,jericho-flowers-1,/cfb/players/jericho-flowers-1.html,WR,12,43,17,60,5.0,0.0,2,0,0.0,0,3,1,0,0,2,,Nevada-Las Vegas,2017
Chauncey Scissum,chauncey-scissum-1,/cfb/players/chauncey-scissum-1.html,DB,12,34,23,57,0.0,0.0,2,29,14.5,0,1,0,0,0,1,,Nevada-Las Vegas,2017
Mike Hughes,mike-hughes-3,/cfb/players/mike-hughes-3.html,DL,12,23,30,53,7.0,2.0,0,0,,0,0,0,0,0,0,,Nevada-Las Vegas,2017
Farrell Hester II,farrell-hester-ii-1,/cfb/players/farrell-hester-ii-1.html,LB,11,32,18,50,0.5,0.0,0,0,,0,0,2,31,0,1,,Nevada-Las Vegas,2017
Javin White,javin-white-1,/cfb/players/javin-white-1.html,DB,11,26,15,41,3.0,0.0,2,78,39.0,1,1,0,0,0,1,,Nevada-Las Vegas,2017
Robert Jackson,robert-jackson-8,/cfb/players/robert-jackson-8.html,DB,12,23,18,41,1.0,0.0,0,0,,0,7,0,0,0,0,,Nevada-Las Vegas,2017
Jason Fao,jason-fao-1,/cfb/players/jason-fao-1.html,DL,12,22,16,38,4.5,1.0,0,0,,0,0,0,0,0,1,,Nevada-Las Vegas,2017
Jameer Outsey,jameer-outsey-1,/cfb/players/jameer-outsey-1.html,DL,12,12,13,25,3.0,2.0,0,0,,0,0,1,53,0,0,,Nevada-Las Vegas,2017
Jocquez Kalili,jocquez-kalili-1,/cfb/players/jocquez-kalili-1.html,RB,7,16,7,23,2.0,0.0,0,0,,0,0,1,0,0,3,,Nevada-Las Vegas,2017
Greg Francis,greg-francis-1,/cfb/players/greg-francis-1.html,DB,12,13,8,21,0.0,0.0,0,0,,0,0,0,0,0,0,,Nevada-Las Vegas,2017
