Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jaxton Eck,jaxton-eck-1,/cfb/players/jaxton-eck-1.html,LB,13,65,64,129,6.5,1.5,0,0,,0,2,1,0,0,1,,New Mexico,2025
Tavian Combs,tavian-combs-1,/cfb/players/tavian-combs-1.html,S,13,34,36,70,0.5,0.5,1,11,11.0,0,3,0,0,0,0,,New Mexico,2025
Jon Johnson,jon-johnson-1,/cfb/players/jon-johnson-1.html,CB,13,37,18,55,0.0,0.0,1,0,0.0,0,6,1,0,0,0,,New Mexico,2025
Mercury Swaim,mercury-swaim-1,/cfb/players/mercury-swaim-1.html,LB,12,25,27,52,6.5,2.0,0,0,,0,3,0,0,0,0,,New Mexico,2025
Keyshawn James-Newby,keyshawn-james-newby-1,/cfb/players/keyshawn-james-newby-1.html,DE,13,29,23,52,15.0,9.0,0,0,,0,5,0,0,0,2,,New Mexico,2025
Frankie Edwards,frankie-edwards-1,/cfb/players/frankie-edwards-1.html,CB,12,29,18,47,0.5,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
CJ McBean,cj-mcbean-1,/cfb/players/cj-mcbean-1.html,S,12,25,15,40,1.5,0.0,1,0,0.0,0,0,0,0,0,0,,New Mexico,2025
K'won McCray,kwon-mccray-1,/cfb/players/kwon-mccray-1.html,LB,12,18,20,38,3.5,1.0,0,0,,0,2,1,0,0,1,,New Mexico,2025
Caleb Coleman,caleb-coleman-2,/cfb/players/caleb-coleman-2.html,S,12,22,12,34,2.5,1.0,1,24,24.0,0,3,1,0,0,0,,New Mexico,2025
Darren Agu,darren-agu-1,/cfb/players/darren-agu-1.html,DE,11,14,16,30,3.5,2.0,0,0,,0,1,0,0,0,1,,New Mexico,2025
Brett Karhu,brett-karhu-1,/cfb/players/brett-karhu-1.html,DE,13,17,12,29,11.0,7.5,0,0,,0,2,0,0,0,1,,New Mexico,2025
Dimitri Johnson,dimitri-johnson-1,/cfb/players/dimitri-johnson-1.html,LB,11,20,9,29,3.0,1.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Austin Brawley,austin-brawley-1,/cfb/players/austin-brawley-1.html,S,5,13,13,26,2.5,1.0,3,64,21.3,0,3,0,0,0,1,,New Mexico,2025
David Murphy,david-murphy-3,/cfb/players/david-murphy-3.html,S,13,10,13,23,1.5,0.0,1,0,0.0,0,1,0,0,0,1,,New Mexico,2025
Abraham Williams,abraham-williams-1,/cfb/players/abraham-williams-1.html,CB,7,17,5,22,0.0,0.0,0,0,,0,3,0,0,0,0,,New Mexico,2025
Xavier Slayton,xavier-slayton-1,/cfb/players/xavier-slayton-1.html,DE,11,10,10,20,3.0,1.5,1,0,0.0,0,0,0,0,0,0,,New Mexico,2025
Brian Booker,brian-booker-1,/cfb/players/brian-booker-1.html,DL,12,10,9,19,3.0,1.5,0,0,,0,1,1,0,0,0,,New Mexico,2025
Okiki Olorunfunmi,okiki-olorunfunmi-1,/cfb/players/okiki-olorunfunmi-1.html,DT,13,9,8,17,2.0,1.0,0,0,,0,0,1,0,0,0,,New Mexico,2025
Gabriel Lopez,gabriel-lopez-1,/cfb/players/gabriel-lopez-1.html,DT,11,5,9,14,6.0,2.0,0,0,,0,1,0,0,0,0,,New Mexico,2025
Jahmir Torres,jahmir-torres-1,/cfb/players/jahmir-torres-1.html,CB,10,10,2,12,0.0,0.0,0,0,,0,1,0,0,0,0,,New Mexico,2025
Azariah Levells,azariah-levells-1,/cfb/players/azariah-levells-1.html,CB,13,7,5,12,0.5,0.0,0,0,,0,1,1,0,0,0,,New Mexico,2025
Drew Speech,drew-speech-1,/cfb/players/drew-speech-1.html,S,11,6,5,11,0.0,0.0,0,0,,0,8,0,0,0,0,,New Mexico,2025
Randolph Kpai,randolph-kpai-1,/cfb/players/randolph-kpai-1.html,LB,12,6,4,10,0.0,0.0,0,0,,0,0,0,0,0,1,,New Mexico,2025
Jalen Mciver,jalen-mciver-1,/cfb/players/jalen-mciver-1.html,DT,12,2,8,10,2.5,1.5,0,0,,0,1,0,0,0,0,,New Mexico,2025
Elijah Brody,elijah-brody-1,/cfb/players/elijah-brody-1.html,DE,13,3,5,8,1.0,1.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Aaron Smith,aaron-smith-9,/cfb/players/aaron-smith-9.html,S,13,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Landon Williams,landon-williams-1,/cfb/players/landon-williams-1.html,DL,7,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Chris Gant Jr.,chris-gant-jr-1,/cfb/players/chris-gant-jr-1.html,S,12,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Albert Nunes,albert-nunes-1,/cfb/players/albert-nunes-1.html,S,13,1,3,4,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Deshaun Buchanan,deshaun-buchanan-1,/cfb/players/deshaun-buchanan-1.html,RB,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Clint Stephens,clint-stephens-3,/cfb/players/clint-stephens-3.html,S,6,1,3,4,1.0,1.0,0,0,,0,1,0,0,0,0,,New Mexico,2025
Keagan Johnson,keagan-johnson-1,/cfb/players/keagan-johnson-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Trey Dubuc,trey-dubuc-1,/cfb/players/trey-dubuc-1.html,LS,13,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Cody Thumlert,cody-thumlert-1,/cfb/players/cody-thumlert-1.html,DE,5,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Jayden Sheridan,jayden-sheridan-1,/cfb/players/jayden-sheridan-1.html,CB,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Malik Aliane,malik-aliane-1,/cfb/players/malik-aliane-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
C.J. Johnson,cj-johnson-9,/cfb/players/cj-johnson-9.html,DB,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
Hunter Haemker,hunter-haemker-1,/cfb/players/hunter-haemker-1.html,LB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico,2025
