Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Naeten Mitchell,naeten-mitchell-1,/cfb/players/naeten-mitchell-1.html,S,12,58,35,93,1.5,0.0,3,86,28.7,1,6,0,0,0,4,,New Mexico State,2025
Tory Gethers,tory-gethers-1,/cfb/players/tory-gethers-1.html,LB,12,40,49,89,4.5,3.0,0,0,,0,2,0,0,0,2,,New Mexico State,2025
Sone Aupiu,sone-aupiu-1,/cfb/players/sone-aupiu-1.html,LB,11,34,34,68,5.5,1.0,1,23,23.0,0,4,0,0,0,2,,New Mexico State,2025
Jamall Thompson Jr.,jamall-thompson-jr-1,/cfb/players/jamall-thompson-jr-1.html,DE,12,30,34,64,9.0,5.0,2,8,4.0,0,0,2,0,0,0,,New Mexico State,2025
Nick Session,nick-session-1,/cfb/players/nick-session-1.html,S,12,42,20,62,2.5,0.0,0,0,,0,3,1,0,0,1,,New Mexico State,2025
Bernock Iya,bernock-iya-1,/cfb/players/bernock-iya-1.html,S,12,31,22,53,3.0,0.0,4,17,4.3,0,3,1,42,1,1,,New Mexico State,2025
Armahn Hale,armahn-hale-1,/cfb/players/armahn-hale-1.html,S,12,23,20,43,3.5,0.0,0,0,,0,2,0,0,0,2,,New Mexico State,2025
Quincy Davis,quincy-davis-2,/cfb/players/quincy-davis-2.html,LB,12,22,20,42,1.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Ezra Christensen,ezra-christensen-1,/cfb/players/ezra-christensen-1.html,DL,11,21,21,42,11.0,6.0,0,0,,0,2,0,0,0,1,,New Mexico State,2025
Gabe Peterson,gabe-peterson-1,/cfb/players/gabe-peterson-1.html,DE,11,11,19,30,0.5,0.5,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Cole Schnettgoecke,cole-schnettgoecke-1,/cfb/players/cole-schnettgoecke-1.html,DL,12,13,16,29,1.0,0.5,0,0,,0,2,1,0,0,0,,New Mexico State,2025
Josiah Charles,josiah-charles-1,/cfb/players/josiah-charles-1.html,CB,12,22,6,28,0.0,0.0,1,17,17.0,0,5,1,0,0,0,,New Mexico State,2025
Tyler Martinez,tyler-martinez-1,/cfb/players/tyler-martinez-1.html,LB,4,14,12,26,1.0,0.0,1,0,0.0,0,3,0,0,0,0,,New Mexico State,2025
Zaiden Davis,zaiden-davis-1,/cfb/players/zaiden-davis-1.html,LB,12,6,18,24,1.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Brad Vislisel,brad-vislisel-1,/cfb/players/brad-vislisel-1.html,DL,12,8,13,21,2.5,0.0,0,0,,0,0,1,0,0,0,,New Mexico State,2025
Ta'Avili Tuitama,taavili-tuitama-1,/cfb/players/taavili-tuitama-1.html,DL,12,6,13,19,4.0,2.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Stilton McKelvey,stilton-mckelvey-1,/cfb/players/stilton-mckelvey-1.html,CB,12,15,3,18,2.0,0.0,1,0,0.0,0,5,1,71,1,0,,New Mexico State,2025
Lorenzo Smith,lorenzo-smith-2,/cfb/players/lorenzo-smith-2.html,CB,12,11,7,18,0.0,0.0,0,0,,0,3,0,0,0,0,,New Mexico State,2025
Obinna Okeke,obinna-okeke-1,/cfb/players/obinna-okeke-1.html,DL,12,3,14,17,0.5,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Zedekiah Rodriguez-Brown,zedekiah-rodriguez-brown-1,/cfb/players/zedekiah-rodriguez-brown-1.html,CB,12,9,8,17,2.5,0.0,1,0,0.0,0,6,0,0,0,0,,New Mexico State,2025
Henry Davis III,henry-davis-iii-1,/cfb/players/henry-davis-iii-1.html,DL,11,4,7,11,1.0,1.0,0,0,,0,1,0,0,0,0,,New Mexico State,2025
Enzo-Pierre Tayou,enzo-pierre-tayou-1,/cfb/players/enzo-pierre-tayou-1.html,DL,9,3,8,11,0.5,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Dakerric Hobbs,dakerric-hobbs-1,/cfb/players/dakerric-hobbs-1.html,CB,4,6,3,9,1.0,0.0,0,0,,0,1,0,0,0,0,,New Mexico State,2025
Jalen Brown,jalen-brown-3,/cfb/players/jalen-brown-3.html,LB,10,5,2,7,0.0,0.0,0,0,,0,0,1,0,0,0,,New Mexico State,2025
DJ Cloyd,dj-cloyd-1,/cfb/players/dj-cloyd-1.html,S,11,1,5,6,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Demanuel Brown Jr.,demanuel-brown-jr-1,/cfb/players/demanuel-brown-jr-1.html,DE,7,1,4,5,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Jason Gwan,jason-gwan-1,/cfb/players/jason-gwan-1.html,DL,4,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Jakobe Campbell,jakobe-campbell-2,/cfb/players/jakobe-campbell-2.html,CB,12,1,2,3,0.0,0.0,1,13,13.0,0,0,0,0,0,0,,New Mexico State,2025
Reeves Baller,reeves-baller-1,/cfb/players/reeves-baller-1.html,DE,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
BJ Tolo,bj-tolo-1,/cfb/players/bj-tolo-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Brodie Malone-Bradford,brodrick-malone-1,/cfb/players/brodrick-malone-1.html,WR,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Walter Owens,walter-owens-1,/cfb/players/walter-owens-1.html,S,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Tyler King,tyler-king-5,/cfb/players/tyler-king-5.html,WR,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Donovan Faupel,donovan-faupel-1,/cfb/players/donovan-faupel-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Elijah Harvey,elijah-harvey-1,/cfb/players/elijah-harvey-1.html,OL,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Raylon Carter,raylon-carter-1,/cfb/players/raylon-carter-1.html,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Gavin Harris,gavin-harris-1,/cfb/players/gavin-harris-1.html,TE,12,1,0,1,0.0,0.0,0,0,,0,0,0,2,0,0,,New Mexico State,2025
Isaiah Rudison,isaiah-rudison-1,/cfb/players/isaiah-rudison-1.html,RB,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Lukas Ungar,lukas-ungar-1,/cfb/players/lukas-ungar-1.html,TE,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Logan Fife,logan-fife-1,/cfb/players/logan-fife-1.html,QB,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,New Mexico State,2025
Kadarius Calloway,kadarius-calloway-1,/cfb/players/kadarius-calloway-1.html,RB,12,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,1,,New Mexico State,2025
