Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
KD Davis,kd-davis-1,/cfb/players/kd-davis-1.html,LB,13,51,70,121,16.0,5.5,0,0,,0,1,2,0,1,0,,North Texas,2021
Tyreke Davis,tyreke-davis-1,/cfb/players/tyreke-davis-1.html,LB,13,44,32,76,9.0,1.5,0,0,,0,2,0,0,0,1,,North Texas,2021
Larry Nixon III,larry-nixon-iii-1,/cfb/players/larry-nixon-iii-1.html,LB,11,33,38,71,2.5,1.5,0,0,,0,1,0,0,0,0,,North Texas,2021
DeShawn Gaddie,deshawn-gaddie-1,/cfb/players/deshawn-gaddie-1.html,DB,13,38,19,57,1.5,0.0,0,0,,0,6,0,0,0,1,,North Texas,2021
Sean-Thomas Faulkner,sean-thomas-faulkner-1,/cfb/players/sean-thomas-faulkner-1.html,LB,13,25,27,52,3.0,0.0,0,0,,0,2,0,0,0,0,,North Texas,2021
Kevin Wood,kevin-wood-8,/cfb/players/kevin-wood-8.html,LB,12,28,24,52,1.5,0.5,2,75,37.5,0,0,1,0,0,1,,North Texas,2021
Gabriel Murphy,gabriel-murphy-1,/cfb/players/gabriel-murphy-1.html,DE,13,20,32,52,12.0,7.0,0,0,,0,3,1,11,0,2,,North Texas,2021
Dion Novil,dion-novil-1,/cfb/players/dion-novil-1.html,DL,13,25,24,49,9.0,4.0,1,17,17.0,0,2,1,0,0,2,,North Texas,2021
Makyle Sanders,makyle-sanders-1,/cfb/players/makyle-sanders-1.html,DB,12,27,17,44,2.0,0.0,1,0,0.0,0,4,0,0,0,1,,North Texas,2021
Grayson Murphy,grayson-murphy-1,/cfb/players/grayson-murphy-1.html,DE,13,18,20,38,14.5,8.5,0,0,,0,0,1,0,1,2,,North Texas,2021
Jordan Brown,jordan-brown-8,/cfb/players/jordan-brown-8.html,LB,13,11,17,28,0.0,0.0,0,0,,0,1,3,0,0,1,,North Texas,2021
John Davis Jr.,john-davis-jr-1,/cfb/players/john-davis-jr-1.html,DB,11,18,5,23,0.0,0.0,1,-1,-1.0,0,5,0,0,0,0,,North Texas,2021
Roderick Brown,roderick-brown-3,/cfb/players/roderick-brown-3.html,DT,11,13,7,20,4.0,3.0,0,0,,0,0,0,0,0,2,,North Texas,2021
Quinn Whitlock,quinn-whitlock-1,/cfb/players/quinn-whitlock-1.html,DB,6,17,3,20,2.0,0.0,0,0,,0,1,0,0,0,1,,North Texas,2021
Enoch Jackson Jr.,enoch-jackson-jr-1,/cfb/players/enoch-jackson-jr-1.html,DL,13,4,15,19,2.0,1.5,0,0,,0,0,0,0,0,0,,North Texas,2021
Ridge Texada,ridge-texada-1,/cfb/players/ridge-texada-1.html,DB,13,12,7,19,1.0,0.0,0,0,,0,2,0,0,0,0,,North Texas,2021
Caleb Colvin,caleb-colvin-1,/cfb/players/caleb-colvin-1.html,DL,13,8,11,19,1.0,1.0,0,0,,0,0,2,0,0,0,,North Texas,2021
Carson Kropp,carson-kropp-1,/cfb/players/carson-kropp-1.html,LB,13,7,10,17,1.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Kameron Hill,kameron-hill-1,/cfb/players/kameron-hill-1.html,DE,13,10,6,16,4.0,4.0,0,0,,0,0,0,0,0,1,,North Texas,2021
Jaylen Smith,jaylen-smith-4,/cfb/players/jaylen-smith-4.html,DB,13,8,6,14,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Harold West,harold-west-3,/cfb/players/harold-west-3.html,DB,10,10,3,13,0.0,0.0,1,23,23.0,0,0,0,0,0,0,,North Texas,2021
Dillion Williams,dillion-williams-1,/cfb/players/dillion-williams-1.html,DB,11,6,1,7,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Keelan Crosby,keelan-crosby-1,/cfb/players/keelan-crosby-1.html,DB,8,4,3,7,0.0,0.0,0,0,,0,0,0,0,0,1,,North Texas,2021
Upton Stout,upton-stout-1,/cfb/players/upton-stout-1.html,DB,4,4,2,6,0.0,0.0,0,0,,0,1,0,0,0,0,,North Texas,2021
Kyleb Howell,kyleb-howell-1,/cfb/players/kyleb-howell-1.html,LB,11,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Dayton LeBlanc,dayton-leblanc-1,/cfb/players/dayton-leblanc-1.html,DL,8,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Alphie Guillory,alphie-guillory-1,/cfb/players/alphie-guillory-1.html,DB,5,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Cole McCrary,cole-mccrary-1,/cfb/players/cole-mccrary-1.html,LB,13,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Loronzo Thompson,loronzo-thompson-1,/cfb/players/loronzo-thompson-1.html,DB,9,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,1,,North Texas,2021
Kortlin Rausaw,kortlin-rausaw-1,/cfb/players/kortlin-rausaw-1.html,DL,4,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Khatib Lyles,khatib-lyles-1,/cfb/players/khatib-lyles-1.html,WR,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Greg Francis,greg-francis-1,/cfb/players/greg-francis-1.html,DB,4,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
David Chapple,david-chapple-1,/cfb/players/david-chapple-1.html,WR,5,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Jake Roberts,jake-roberts-1,/cfb/players/jake-roberts-1.html,TE,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Braelon Hill,braelon-hill-1,/cfb/players/braelon-hill-1.html,DB,4,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Bernardo Rodriguez,bernardo-rodriguez-1,/cfb/players/bernardo-rodriguez-1.html,P,13,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Deonte Simpson,deonte-simpson-1,/cfb/players/deonte-simpson-1.html,WR,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Nate Durham,nate-durham-1,/cfb/players/nate-durham-1.html,LS,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Isaiah Johnson,isaiah-johnson-10,/cfb/players/isaiah-johnson-10.html,RB,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
Roderic Burns,roderic-burns-1,/cfb/players/roderic-burns-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,North Texas,2021
