Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Kyle Hamilton,kyle-hamilton-1,/cfb/players/kyle-hamilton-1.html,S,11,51,12,63,4.5,0.0,1,14,14.0,0,6,0,0,0,0,,Notre Dame,2020
Jeremiah Owusu-Koramoah,jeremiah-owusu-koramoah-1,/cfb/players/jeremiah-owusu-koramoah-1.html,LB,12,42,20,62,11.0,1.5,1,0,0.0,0,3,2,23,1,3,AA,Notre Dame,2020
Shaun Crawford,shaun-crawford-1,/cfb/players/shaun-crawford-1.html,S,12,40,17,57,4.5,2.0,1,23,23.0,0,5,1,0,0,0,,Notre Dame,2020
Drew White,drew-white-3,/cfb/players/drew-white-3.html,LB,12,29,27,56,9.0,1.5,0,0,,0,2,0,0,0,0,,Notre Dame,2020
Clarence Lewis,clarence-lewis-1,/cfb/players/clarence-lewis-1.html,CB,11,29,4,33,1.0,0.0,0,0,,0,7,0,0,0,1,,Notre Dame,2020
Nick McCloud,nick-mccloud-1,/cfb/players/nick-mccloud-1.html,CB,12,22,11,33,2.0,0.0,1,0,0.0,0,8,2,3,0,0,,Notre Dame,2020
Bo Bauer,bo-bauer-1,/cfb/players/bo-bauer-1.html,LB,12,17,10,27,4.5,1.0,1,16,16.0,0,1,0,0,0,0,,Notre Dame,2020
TaRiq Bracy,tariq-bracy-1,/cfb/players/tariq-bracy-1.html,CB,8,22,2,24,2.0,0.0,0,0,,0,3,0,0,0,0,,Notre Dame,2020
Marist Liufau,marist-liufau-1,/cfb/players/marist-liufau-1.html,LB,10,10,13,23,1.5,0.5,0,0,,0,0,1,12,0,0,,Notre Dame,2020
Adetokunbo Ogundeji,adetokunbo-ogundeji-1,/cfb/players/adetokunbo-ogundeji-1.html,DL,12,15,8,23,7.0,7.0,0,0,,0,0,1,0,0,1,,Notre Dame,2020
Isaiah Foskey,isaiah-foskey-1,/cfb/players/isaiah-foskey-1.html,DL,12,12,8,20,5.0,4.5,0,0,,0,1,0,0,0,0,,Notre Dame,2020
Jack Kiser,jack-kiser-1,/cfb/players/jack-kiser-1.html,LB,10,16,4,20,3.0,0.0,1,2,2.0,0,0,0,0,0,0,,Notre Dame,2020
Kurt Hinish,kurt-hinish-1,/cfb/players/kurt-hinish-1.html,DL,12,13,6,19,7.5,2.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Daelin Hayes,daelin-hayes-1,/cfb/players/daelin-hayes-1.html,DL,12,12,5,17,6.0,3.0,1,13,13.0,0,1,1,0,0,2,,Notre Dame,2020
Myron Tagovailoa-Amosa,myron-tagovailoa-amosa-1,/cfb/players/myron-tagovailoa-amosa-1.html,DL,11,11,6,17,6.0,2.5,0,0,,0,0,2,0,0,1,,Notre Dame,2020
Justin Ademilola,justin-ademilola-1,/cfb/players/justin-ademilola-1.html,DL,12,10,7,17,2.5,1.0,0,0,,0,1,0,0,0,0,,Notre Dame,2020
Houston Griffith,houston-griffith-1,/cfb/players/houston-griffith-1.html,S,11,13,1,14,1.0,0.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Shayne Simon,shayne-simon-1,/cfb/players/shayne-simon-1.html,LB,10,9,5,14,1.0,0.0,0,0,,0,4,0,0,0,0,,Notre Dame,2020
Howard Cross III,howard-cross-iii-1,/cfb/players/howard-cross-iii-1.html,DL,11,8,5,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Jack Lamb,jack-lamb-2,/cfb/players/jack-lamb-2.html,LB,11,11,2,13,0.0,0.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Jayson Ademilola,jayson-ademilola-1,/cfb/players/jayson-ademilola-1.html,DL,9,6,7,13,1.5,0.5,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Ovie Oghoufo,ovie-oghoufo-1,/cfb/players/ovie-oghoufo-1.html,DL,11,7,3,10,1.5,1.5,0,0,,0,2,0,0,0,0,,Notre Dame,2020
Isaiah Pryor,isaiah-pryor-1,/cfb/players/isaiah-pryor-1.html,S,12,8,0,8,1.0,1.0,0,0,,0,0,0,0,0,1,,Notre Dame,2020
DJ Brown,dj-brown-5,/cfb/players/dj-brown-5.html,S,12,7,1,8,0.0,0.0,0,0,,0,2,0,0,0,0,,Notre Dame,2020
JD Bertrand,jd-bertrand-1,/cfb/players/jd-bertrand-1.html,LB,10,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Paul Moala,paul-moala-1,/cfb/players/paul-moala-1.html,LB,3,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Rylie Mills,rylie-mills-1,/cfb/players/rylie-mills-1.html,DL,9,2,5,7,2.0,0.5,0,0,,0,0,0,0,0,0,,Notre Dame,2020
Jordan Botelho,jordan-botelho-1,/cfb/players/jordan-botelho-1.html,DL,10,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Notre Dame,2020
