Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Kenneth Murray,kenneth-murray-1,/cfb/players/kenneth-murray-1.html,LB,14,69,33,102,17.0,4.0,0,0,,0,4,0,0,0,0,,Oklahoma,2019
Delarrin Turner-Yell,delarrin-turner-yell-1,/cfb/players/delarrin-turner-yell-1.html,S,13,60,15,75,5.5,0.0,0,0,,0,3,0,0,0,1,,Oklahoma,2019
Patrick Fields,patrick-fields-1,/cfb/players/patrick-fields-1.html,S,14,44,20,64,6.0,2.0,0,0,,0,5,1,-2,0,0,,Oklahoma,2019
DaShaun White,dashaun-white-1,/cfb/players/dashaun-white-1.html,LB,14,30,21,51,3.5,1.0,0,0,,0,0,1,0,0,0,,Oklahoma,2019
Brendan Radley-Hiles,brendan-radley-hiles-1,/cfb/players/brendan-radley-hiles-1.html,DB,14,33,13,46,4.0,0.0,2,30,15.0,1,1,1,0,0,1,,Oklahoma,2019
Nik Bonitto,nik-bonitto-1,/cfb/players/nik-bonitto-1.html,LB,14,25,18,43,6.5,3.5,1,0,0.0,0,4,0,0,0,0,,Oklahoma,2019
Parnell Motley,parnell-motley-1,/cfb/players/parnell-motley-1.html,CB,14,31,10,41,1.5,0.0,1,0,0.0,0,13,1,3,0,5,,Oklahoma,2019
Tre Brown,tre-brown-2,/cfb/players/tre-brown-2.html,CB,14,32,8,40,1.0,0.0,1,1,1.0,0,11,0,0,0,0,,Oklahoma,2019
Ronnie Perkins,ronnie-perkins-1,/cfb/players/ronnie-perkins-1.html,DL,13,28,10,38,13.5,6.0,0,0,,0,0,0,0,0,1,,Oklahoma,2019
Jaden Davis,jaden-davis-1,/cfb/players/jaden-davis-1.html,CB,14,26,7,33,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Oklahoma,2019
Neville Gallimore,neville-gallimore-1,/cfb/players/neville-gallimore-1.html,DL,14,18,12,30,7.5,4.0,0,0,,0,1,0,0,0,2,,Oklahoma,2019
Justin Broiles,justin-broiles-1,/cfb/players/justin-broiles-1.html,S,14,17,9,26,1.0,0.0,0,0,,0,1,0,0,0,0,,Oklahoma,2019
Brian Asamoah II,brian-asamoah-ll-1,/cfb/players/brian-asamoah-ll-1.html,LB,14,11,12,23,3.5,2.0,0,0,,0,1,0,0,0,0,,Oklahoma,2019
Jalen Redmond,jalen-redmond-1,/cfb/players/jalen-redmond-1.html,DL,13,14,9,23,11.0,6.5,0,0,,0,2,0,0,0,1,,Oklahoma,2019
David Ugwoegbu,david-ugwoegbu-1,/cfb/players/david-ugwoegbu-1.html,LB,14,14,5,19,4.0,1.0,0,0,,0,1,0,0,0,0,,Oklahoma,2019
Marquise Overton,marquise-overton-1,/cfb/players/marquise-overton-1.html,DL,14,11,8,19,4.5,1.0,0,0,,0,0,0,0,0,0,,Oklahoma,2019
