Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Trey Rucker,trey-rucker-1,/cfb/players/trey-rucker-1.html,S,11,53,31,84,1.0,0.0,2,0,0.0,0,1,0,0,0,0,,Oklahoma State,2024
Kendal Daniels,kendal-daniels-1,/cfb/players/kendal-daniels-1.html,S,12,45,19,64,10.5,5.5,0,0,,0,7,0,0,0,0,,Oklahoma State,2024
Jeff Roberson,jeff-roberson-1,/cfb/players/jeff-roberson-1.html,LB,12,42,16,58,8.5,3.0,1,0,0.0,0,0,0,0,0,0,,Oklahoma State,2024
Parker Robertson,parker-robertson-1,/cfb/players/parker-robertson-1.html,S,12,40,9,49,2.0,0.0,2,32,16.0,0,1,0,0,0,0,,Oklahoma State,2024
Nickolas Martin,nickolas-martin-1,/cfb/players/nickolas-martin-1.html,LB,5,28,19,47,7.5,1.0,0,0,,0,2,1,0,0,1,,Oklahoma State,2024
Obi Ezeigbo,obi-ezeigbo-1,/cfb/players/obi-ezeigbo-1.html,DE,12,19,23,42,9.0,3.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Dylan Smith,dylan-smith-3,/cfb/players/dylan-smith-3.html,S,11,33,9,42,0.5,0.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2024
Kobe Hylton,kobe-hylton-1,/cfb/players/kobe-hylton-1.html,S,12,31,9,40,1.0,0.0,1,25,25.0,0,2,0,0,0,0,,Oklahoma State,2024
Korie Black,korie-black-1,/cfb/players/korie-black-1.html,CB,12,28,8,36,0.0,0.0,3,20,6.7,0,9,0,0,0,0,,Oklahoma State,2024
Cam Smith,cam-smith-5,/cfb/players/cam-smith-5.html,CB,12,25,9,34,1.0,0.0,1,51,51.0,0,7,0,0,0,1,,Oklahoma State,2024
Kale Smith,kale-smith-1,/cfb/players/kale-smith-1.html,CB,12,23,8,31,0.0,0.0,1,73,73.0,1,5,0,0,0,0,,Oklahoma State,2024
Iman Oates,iman-oates-1,/cfb/players/iman-oates-1.html,DT,12,13,12,25,3.0,2.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2024
Lyrik Rawls,lyrik-rawls-1,/cfb/players/lyrik-rawls-1.html,S,12,11,12,23,0.0,0.0,1,13,13.0,0,3,0,0,0,0,,Oklahoma State,2024
Kody Walterscheid,kody-walterscheid-1,/cfb/players/kody-walterscheid-1.html,DE,12,11,11,22,2.0,2.0,0,0,,0,1,1,0,0,0,,Oklahoma State,2024
Jaleel Johnson,jaleel-johnson-2,/cfb/players/jaleel-johnson-2.html,DE,10,11,10,21,2.5,2.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
David Kabongo,david-kabongo-1,/cfb/players/david-kabongo-1.html,S,7,17,3,20,1.0,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Justin Kirkland,justin-kirkland-1,/cfb/players/justin-kirkland-1.html,DT,12,11,7,18,3.5,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Collin Clay,collin-clay-1,/cfb/players/collin-clay-1.html,DT,11,13,4,17,2.0,0.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2024
Justin Wright,justin-wright-1,/cfb/players/justin-wright-1.html,LB,6,13,4,17,1.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
DeSean Brown,desean-brown-1,/cfb/players/desean-brown-1.html,DE,11,10,4,14,3.5,1.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Xavier Ross,xavier-ross-1,/cfb/players/xavier-ross-1.html,DE,12,7,5,12,2.5,2.5,0,0,,0,1,0,0,0,0,,Oklahoma State,2024
Cameron Epps,cameron-epps-1,/cfb/players/cameron-epps-1.html,S,7,8,3,11,1.5,0.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2024
Raymond Gay II,raymond-gay-ii-1,/cfb/players/raymond-gay-ii-1.html,CB,12,8,2,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Kenneth Harris,kenneth-harris-2,/cfb/players/kenneth-harris-2.html,CB,12,6,2,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Garrick Martin,garrick-martin-1,/cfb/players/garrick-martin-1.html,S,12,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Gabe Brown,gabe-brown-1,/cfb/players/gabe-brown-1.html,LB,9,2,2,4,0.5,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Collin Oliver,collin-oliver-1,/cfb/players/collin-oliver-1.html,LB,2,2,2,4,2.0,1.0,0,0,,0,1,0,0,0,0,,Oklahoma State,2024
RJ Lester,rj-lester-1,/cfb/players/rj-lester-1.html,CB,12,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Brennan Presley,brennan-presley-1,/cfb/players/brennan-presley-1.html,WR,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Landyn Cleveland,landyn-cleveland-1,/cfb/players/landyn-cleveland-1.html,S,8,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Chance Clements,chance-clements-1,/cfb/players/chance-clements-1.html,LB,12,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Poasa Utu,poasa-utu-1,/cfb/players/poasa-utu-1.html,LB,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Wes Pahl,wes-pahl-1,/cfb/players/wes-pahl-1.html,P,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Sesi Vailahi,sesi-vailahi-1,/cfb/players/sesi-vailahi-1.html,RB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Ty Williams,ty-williams-3,/cfb/players/ty-williams-3.html,S,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Aden Kelley,aden-kelley-1,/cfb/players/aden-kelley-1.html,DT,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Quinton Stewart,quinton-stewart-1,/cfb/players/quinton-stewart-1.html,TE,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Cale Cabbiness,cale-cabbiness-1,/cfb/players/cale-cabbiness-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Bryce Drummond,bryce-drummond-1,/cfb/players/bryce-drummond-1.html,FB,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Ollie Gordon,ollie-gordon-1,/cfb/players/ollie-gordon-1.html,RB,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Josh Ford,josh-ford-3,/cfb/players/josh-ford-3.html,TE,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Logan Ward,logan-ward-1,/cfb/players/logan-ward-1.html,K,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Landon Dean,landon-dean-1,/cfb/players/landon-dean-1.html,DE,3,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Ike Esonwune,ike-esonwune-1,/cfb/players/ike-esonwune-1.html,LB,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Jacobi Oliphant Jr.,jacobi-oliphant-jr-1,/cfb/players/jacobi-oliphant-jr-1.html,CB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Kade Welcher,kade-welcher-1,/cfb/players/kade-welcher-1.html,S,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Oklahoma State,2024
Shea Freibaum,shea-freibaum-1,/cfb/players/shea-freibaum-1.html,LS,12,0,0,0,0.0,0.0,0,0,,0,0,1,0,0,0,,Oklahoma State,2024
