Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Troy Brown,troy-brown-1,/cfb/players/troy-brown-1.html,LB,13,44,49,93,2.5,0.5,0,0,,0,5,0,0,0,1,,Ole Miss,2022
Otis Reese,otis-reese-1,/cfb/players/otis-reese-1.html,S,13,37,47,84,8.0,3.0,1,1,1.0,0,3,1,0,0,0,,Ole Miss,2022
Tysheem Johnson,tysheem-johnson-1,/cfb/players/tysheem-johnson-1.html,S,13,38,40,78,4.0,0.0,0,0,,0,2,0,0,0,0,,Ole Miss,2022
A.J. Finley,aj-finley-1,/cfb/players/aj-finley-1.html,S,13,46,30,76,3.5,0.0,2,19,9.5,0,2,1,0,0,1,,Ole Miss,2022
Ashanti Cistrunk,ashanti-cistrunk-1,/cfb/players/ashanti-cistrunk-1.html,LB,13,28,44,72,3.5,1.0,0,0,,0,1,0,0,0,1,,Ole Miss,2022
Isheem Young,isheem-young-1,/cfb/players/isheem-young-1.html,S,13,30,36,66,1.5,0.5,1,0,0.0,0,2,1,13,0,0,,Ole Miss,2022
Ladarius Tennison,ladarius-tennison-1,/cfb/players/ladarius-tennison-1.html,S,13,29,25,54,10.0,1.0,0,0,,0,2,2,30,1,0,,Ole Miss,2022
Tavius Robinson,tavius-robinson-1,/cfb/players/tavius-robinson-1.html,DE,13,17,27,44,8.0,7.0,0,0,,0,1,2,0,0,5,,Ole Miss,2022
Khari Coleman,khari-coleman-1,/cfb/players/khari-coleman-1.html,LB,11,24,18,42,10.0,4.5,0,0,,0,0,0,0,0,1,,Ole Miss,2022
Deantre Prince,deantre-prince-1,/cfb/players/deantre-prince-1.html,CB,13,26,13,39,1.0,0.0,1,0,0.0,0,11,0,0,0,0,,Ole Miss,2022
Austin Keys,austin-keys-1,/cfb/players/austin-keys-1.html,LB,13,14,25,39,3.5,2.0,0,0,,0,0,0,0,0,1,,Ole Miss,2022
Miles Battle,miles-battle-1,/cfb/players/miles-battle-1.html,CB,13,24,14,38,0.5,0.0,1,10,10.0,0,4,0,0,0,1,,Ole Miss,2022
Davison Igbinosun,davison-igbinosun-1,/cfb/players/davison-igbinosun-1.html,CB,13,21,16,37,0.0,0.0,0,0,,0,5,0,0,0,0,,Ole Miss,2022
Jared Ivey,jared-ivey-1,/cfb/players/jared-ivey-1.html,DE,13,15,22,37,4.5,3.5,0,0,,0,0,2,0,0,1,,Ole Miss,2022
Cedric Johnson,cedric-johnson-4,/cfb/players/cedric-johnson-4.html,DE,11,15,17,32,4.5,4.0,0,0,,0,0,1,0,0,0,,Ole Miss,2022
Trey Washington,trey-washington-2,/cfb/players/trey-washington-2.html,S,13,21,10,31,1.0,0.0,1,0,0.0,0,3,0,0,0,1,,Ole Miss,2022
J.J. Pegues,jj-pegues-1,/cfb/players/jj-pegues-1.html,DT,12,15,11,26,5.0,3.0,0,0,,0,2,0,0,0,0,,Ole Miss,2022
KD Hill,kd-hill-1,/cfb/players/kd-hill-1.html,DT,13,5,16,21,2.0,1.0,0,0,,0,2,0,0,0,0,,Ole Miss,2022
Markevious Brown,markevious-brown-1,/cfb/players/markevious-brown-1.html,CB,13,14,5,19,1.0,0.0,0,0,,0,2,0,0,0,0,,Ole Miss,2022
Tywone Malone,tywone-malone-1,/cfb/players/tywone-malone-1.html,DT,13,5,5,10,1.0,1.0,0,0,,0,2,0,0,0,0,,Ole Miss,2022
Jamond Gordon,jamond-gordon-1,/cfb/players/jamond-gordon-1.html,DT,12,2,6,8,1.0,0.0,0,0,,0,1,0,0,0,0,,Ole Miss,2022
Trip White,trip-white-1,/cfb/players/trip-white-1.html,LB,3,3,5,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Isaiah Iton,isaiah-iton-1,/cfb/players/isaiah-iton-1.html,DT,10,0,7,7,1.0,0.5,0,0,,0,1,0,0,0,0,,Ole Miss,2022
Reginald Hughes,reginald-hughes-1,/cfb/players/reginald-hughes-1.html,LB,12,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Demarko Williams,demarko-williams-1,/cfb/players/demarko-williams-1.html,S,8,4,2,6,0.0,0.0,0,0,,0,0,1,0,0,1,,Ole Miss,2022
MJ Daniels,mj-daniels-1,/cfb/players/mj-daniels-1.html,S,11,0,4,4,0.5,0.5,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Tyler Banks,tyler-banks-1,/cfb/players/tyler-banks-1.html,LB,13,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Demon Clowney,demon-clowney-1,/cfb/players/demon-clowney-1.html,DE,3,3,1,4,2.0,1.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Dashaun Jerkins,dashaun-jerkins-1,/cfb/players/dashaun-jerkins-1.html,S,5,1,2,3,0.0,0.0,1,4,4.0,0,1,0,0,0,0,,Ole Miss,2022
Zxavian Harris,zxavian-harris-1,/cfb/players/zxavian-harris-1.html,DT,13,1,2,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Desanto Rollins,desanto-rollins-1,/cfb/players/desanto-rollins-1.html,DT,2,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Jalen Knox,jalen-knox-1,/cfb/players/jalen-knox-1.html,WR,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Fraser Masin,fraser-masin-1,/cfb/players/fraser-masin-1.html,P,12,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Brandon Buckhaulter,brandon-buckhaulter-1,/cfb/players/brandon-buckhaulter-1.html,WR,11,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Malik Heath,malik-heath-1,/cfb/players/malik-heath-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Nick Cull,nick-cull-1,/cfb/players/nick-cull-1.html,S,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Quinshon Judkins,quinshon-judkins-1,/cfb/players/quinshon-judkins-1.html,RB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Jordan Watkins,jordan-watkins-2,/cfb/players/jordan-watkins-2.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Dayton Wade,dayton-wade-1,/cfb/players/dayton-wade-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Taylor Groves,taylor-groves-1,/cfb/players/taylor-groves-1.html,S,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
JJ Hawkins,jj-hawkins-1,/cfb/players/jj-hawkins-1.html,DE,4,1,0,1,1.0,1.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Brandon Mack,brandon-mack-3,/cfb/players/brandon-mack-3.html,DE,6,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Jarell Stinson,jarell-stinson-1,/cfb/players/jarell-stinson-1.html,CB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
Isaiah Woullard,isaiah-woullard-1,/cfb/players/isaiah-woullard-1.html,RB,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Ole Miss,2022
