Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Micah Parsons,micah-parsons-1,/cfb/players/micah-parsons-1.html,LB,13,52,57,109,14.0,5.0,0,0,,0,5,1,0,0,4,,Penn State,2019
Garrett Taylor,garrett-taylor-1,/cfb/players/garrett-taylor-1.html,S,13,48,36,84,4.5,1.0,1,15,15.0,1,2,0,0,0,1,,Penn State,2019
Cameron Brown,cameron-brown-1,/cfb/players/cameron-brown-1.html,LB,13,28,44,72,5.5,2.0,0,0,,0,4,2,0,0,1,,Penn State,2019
Lamont Wade,lamont-wade-1,/cfb/players/lamont-wade-1.html,S,13,39,28,67,4.5,2.0,0,0,,0,5,1,0,0,3,,Penn State,2019
Jan Johnson,jan-johnson-1,/cfb/players/jan-johnson-1.html,LB,13,23,41,64,4.5,1.0,1,17,17.0,0,2,2,0,0,1,,Penn State,2019
Tariq Castro-Fields,tariq-castro-fields-1,/cfb/players/tariq-castro-fields-1.html,CB,12,32,20,52,3.0,0.0,2,8,4.0,0,8,0,0,0,0,,Penn State,2019
Shaka Toney,shaka-toney-1,/cfb/players/shaka-toney-1.html,DE,13,13,28,41,8.0,6.5,0,0,,0,1,1,0,0,0,,Penn State,2019
Yetur Gross-Matos,yetur-gross-matos-1,/cfb/players/yetur-gross-matos-1.html,DE,12,24,16,40,15.0,9.5,0,0,,0,0,0,0,0,0,,Penn State,2019
Robert Windsor,robert-windsor-1,/cfb/players/robert-windsor-1.html,DT,13,12,28,40,5.0,3.5,0,0,,0,0,0,0,0,0,,Penn State,2019
Ellis Brooks,ellis-brooks-1,/cfb/players/ellis-brooks-1.html,LB,13,19,20,39,4.0,2.5,0,0,,0,0,1,2,0,0,,Penn State,2019
PJ Mustipher,pj-mustipher-1,/cfb/players/pj-mustipher-1.html,DT,13,14,23,37,4.5,1.0,0,0,,0,0,0,0,0,1,,Penn State,2019
John Reid,john-reid-1,/cfb/players/john-reid-1.html,CB,13,26,11,37,2.5,1.0,2,61,30.5,1,8,0,0,0,0,,Penn State,2019
Jaquan Brisker,jaquan-brisker-1,/cfb/players/jaquan-brisker-1.html,S,13,15,17,32,1.0,0.0,2,33,16.5,0,3,0,0,0,0,,Penn State,2019
Jesse Luketa,jesse-luketa-1,/cfb/players/jesse-luketa-1.html,LB,13,15,9,24,0.5,0.0,0,0,,0,4,0,0,0,0,,Penn State,2019
Jonathan Sutherland,jonathan-sutherland-1,/cfb/players/jonathan-sutherland-1.html,S,13,11,12,23,0.5,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Jayson Oweh,jayson-oweh-1,/cfb/players/jayson-oweh-1.html,DE,13,13,8,21,5.0,5.0,0,0,,0,1,0,0,0,2,,Penn State,2019
Trent Gordon,trent-gordon-1,/cfb/players/trent-gordon-1.html,CB,10,13,7,20,1.0,0.0,0,0,,0,5,0,0,0,0,,Penn State,2019
Shane Simmons,shane-simmons-1,/cfb/players/shane-simmons-1.html,DE,13,7,12,19,2.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Keaton Ellis,keaton-ellis-1,/cfb/players/keaton-ellis-1.html,CB,13,9,9,18,0.0,0.0,0,0,,0,2,1,0,0,3,,Penn State,2019
Marquis Wilson,marquis-wilson-2,/cfb/players/marquis-wilson-2.html,CB,10,11,7,18,0.0,0.0,2,13,6.5,0,0,1,0,0,3,,Penn State,2019
Antonio Shelton,antonio-shelton-1,/cfb/players/antonio-shelton-1.html,DT,10,6,11,17,4.0,0.5,0,0,,0,0,0,0,0,0,,Penn State,2019
Antonio Valentino,antonio-valentino-1,/cfb/players/antonio-valentino-1.html,,12,6,11,17,4.0,0.5,0,0,,0,0,0,0,0,0,,Penn State,2019
Fred Hansard,fred-hansard-1,/cfb/players/fred-hansard-1.html,DT,12,5,10,15,4.5,1.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Adisa Isaac,adisa-isaac-1,/cfb/players/adisa-isaac-1.html,DE,11,4,10,14,3.0,1.5,0,0,,0,0,0,0,0,1,,Penn State,2019
Brandon Smith,brandon-smith-12,/cfb/players/brandon-smith-12.html,LB,13,8,6,14,2.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Daniel Joseph,daniel-joseph-2,/cfb/players/daniel-joseph-2.html,DE,12,3,4,7,2.0,1.5,0,0,,0,0,0,0,0,0,,Penn State,2019
Donovan Johnson,donovan-johnson-1,/cfb/players/donovan-johnson-1.html,CB,2,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Isaac Lutz,isaac-lutz-1,/cfb/players/isaac-lutz-1.html,WR,13,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
DJ Brown,dj-brown-4,/cfb/players/dj-brown-4.html,CB,7,5,0,5,0.0,0.0,0,0,,0,1,0,0,0,1,,Penn State,2019
Charlie Katshir,charlie-katshir-1,/cfb/players/charlie-katshir-1.html,LB,12,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,1,,Penn State,2019
Dvon Ellies,dvon-ellies-1,/cfb/players/dvon-ellies-1.html,DT,3,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Dan Chisena,dan-chisena-1,/cfb/players/dan-chisena-1.html,WR,12,3,1,4,0.0,0.0,0,0,,0,0,1,0,0,0,,Penn State,2019
Drew Hartlaub,drew-hartlaub-1,/cfb/players/drew-hartlaub-1.html,S,12,1,3,4,0.0,0.0,0,0,,0,0,1,0,0,0,,Penn State,2019
Damion Barber,damion-barber-1,/cfb/players/damion-barber-1.html,DT,8,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Lance Dixon,lance-dixon-1,/cfb/players/lance-dixon-1.html,LB,2,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Max Chizmar,max-chizmar-1,/cfb/players/max-chizmar-1.html,LB,4,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Chris Stoll,chris-stoll-2,/cfb/players/chris-stoll-2.html,LS,13,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Joey Porter Jr.,joey-porter-jr-1,/cfb/players/joey-porter-jr-1.html,CB,4,2,1,3,0.0,0.0,0,0,,0,1,0,0,0,0,,Penn State,2019
Justin Shorter,justin-shorter-1,/cfb/players/justin-shorter-1.html,WR,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Lance Dixon,lance-dixon-2,/cfb/players/lance-dixon-2.html,,3,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Justin Neff,justin-neff-1,/cfb/players/justin-neff-1.html,S,4,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
C.J. Holmes,cj-holmes-1,/cfb/players/cj-holmes-1.html,S,8,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Judge Culpepper,judge-culpepper-1,/cfb/players/judge-culpepper-1.html,DT,13,0,2,2,0.5,0.5,0,0,,0,0,0,0,0,0,,Penn State,2019
Hakeem Beamon,hakeem-beamon-1,/cfb/players/hakeem-beamon-1.html,DE,3,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
Jahan Dotson,jahan-dotson-1,/cfb/players/jahan-dotson-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Penn State,2019
