Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Damar Hamlin,damar-hamlin-1,/cfb/players/damar-hamlin-1.html,DB,10,36,30,66,3.5,0.0,2,4,2.0,0,7,0,0,0,0,,Pitt,2020
Sirvocea Dennis,sirvocea-dennis-1,/cfb/players/sirvocea-dennis-1.html,LB,10,35,22,57,14.5,4.0,0,0,,0,0,0,0,0,0,,Pitt,2020
Cam Bright,cam-bright-1,/cfb/players/cam-bright-1.html,LB,11,32,21,53,8.5,4.5,0,0,,0,1,0,0,0,1,,Pitt,2020
Phil Campbell,phil-campbell-1,/cfb/players/phil-campbell-1.html,LB,11,23,23,46,7.0,4.5,0,0,,0,0,1,0,0,0,,Pitt,2020
Paris Ford,paris-ford-1,/cfb/players/paris-ford-1.html,DB,7,28,17,45,3.5,0.0,3,34,11.3,0,3,0,0,0,0,,Pitt,2020
Patrick Jones II,patrick-jones-ii-1,/cfb/players/patrick-jones-ii-1.html,DL,11,23,21,44,13.0,9.0,0,0,,0,3,1,0,0,0,AA,Pitt,2020
Chase Pine,chase-pine-1,/cfb/players/chase-pine-1.html,LB,11,27,16,43,7.0,1.5,0,0,,0,2,0,0,0,0,,Pitt,2020
Rashad Weaver,rashad-weaver-1,/cfb/players/rashad-weaver-1.html,DL,9,19,16,35,14.5,7.5,0,0,,0,2,1,5,0,3,AA,Pitt,2020
Erick Hallett,erick-hallett-1,/cfb/players/erick-hallett-1.html,DB,10,20,10,30,2.0,0.0,2,-2,-1.0,0,4,0,0,0,0,,Pitt,2020
Brandon Hill,brandon-hill-4,/cfb/players/brandon-hill-4.html,DB,10,17,10,27,1.5,0.0,1,50,50.0,1,1,0,0,0,2,,Pitt,2020
Calijah Kancey,calijah-kancey-1,/cfb/players/calijah-kancey-1.html,DL,11,12,15,27,7.0,1.5,0,0,,0,2,0,0,0,0,,Pitt,2020
Marquis Williams,marquis-williams-3,/cfb/players/marquis-williams-3.html,DB,10,16,6,22,0.0,0.0,2,45,22.5,0,4,0,0,0,0,,Pitt,2020
Devin Danielson,devin-danielson-1,/cfb/players/devin-danielson-1.html,DL,11,5,16,21,3.0,2.0,0,0,,0,0,0,0,0,0,,Pitt,2020
Jason Pinnock,jason-pinnock-1,/cfb/players/jason-pinnock-1.html,DB,10,17,2,19,1.0,0.0,3,20,6.7,0,5,0,0,0,0,,Pitt,2020
Deslin Alexandre,deslin-alexandre-1,/cfb/players/deslin-alexandre-1.html,DL,11,12,6,18,6.5,3.0,0,0,,0,2,1,0,0,0,,Pitt,2020
A.J. Woods,aj-woods-1,/cfb/players/aj-woods-1.html,DB,11,15,2,17,1.0,0.0,1,-1,-1.0,0,2,0,0,0,0,,Pitt,2020
