Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Sanoussi Kane,sanoussi-kane-1,/cfb/players/sanoussi-kane-1.html,DB,14,54,18,72,4.5,1.0,0,0,,0,3,1,29,0,2,,Purdue,2022
Jalen Graham,jalen-graham-1,/cfb/players/jalen-graham-1.html,LB,9,37,15,52,5.0,1.0,1,29,29.0,0,5,0,0,0,1,,Purdue,2022
Cam Allen,cam-allen-1,/cfb/players/cam-allen-1.html,DB,14,40,9,49,1.5,0.0,3,107,35.7,1,6,2,0,0,0,,Purdue,2022
Kieren Douglas,kieren-douglas-1,/cfb/players/kieren-douglas-1.html,LB,14,30,13,43,2.5,1.0,1,0,0.0,0,0,0,0,0,0,,Purdue,2022
Bryce Hampton,bryce-hampton-1,/cfb/players/bryce-hampton-1.html,DB,14,30,12,42,2.0,0.0,0,0,,0,3,0,0,0,0,,Purdue,2022
O.C. Brothers,oc-brothers-1,/cfb/players/oc-brothers-1.html,LB,12,33,9,42,1.0,1.0,0,0,,0,3,1,0,0,0,,Purdue,2022
Jacob Wahlberg,jacob-wahlberg-1,/cfb/players/jacob-wahlberg-1.html,LB,14,28,13,41,1.0,0.0,1,1,1.0,0,0,0,0,0,1,,Purdue,2022
Jack Sullivan,jack-sullivan-1,/cfb/players/jack-sullivan-1.html,DE,14,24,14,38,7.0,5.5,0,0,,0,1,0,0,0,1,,Purdue,2022
Reese Taylor,reese-taylor-1,/cfb/players/reese-taylor-1.html,DB,13,27,7,34,1.0,0.0,1,0,0.0,0,4,1,0,0,0,,Purdue,2022
Cory Trice,cory-trice-1,/cfb/players/cory-trice-1.html,CB,13,28,6,34,2.0,0.0,2,8,4.0,1,10,0,0,0,0,,Purdue,2022
Semisi Fakasiieiki,semisi-fakasiieiki-1,/cfb/players/semisi-fakasiieiki-1.html,LB,12,22,11,33,3.0,0.0,0,0,,0,0,0,0,0,0,,Purdue,2022
Kydran Jenkins,kydran-jenkins-1,/cfb/players/kydran-jenkins-1.html,LB,14,24,8,32,8.0,4.0,0,0,,0,1,0,0,0,1,,Purdue,2022
Lawrence Johnson,lawrence-johnson-6,/cfb/players/lawrence-johnson-6.html,DT,14,16,13,29,2.5,1.5,0,0,,0,1,0,0,0,1,,Purdue,2022
Branson Deen,branson-deen-1,/cfb/players/branson-deen-1.html,DL,12,18,10,28,4.0,2.5,0,0,,0,0,0,0,0,0,,Purdue,2022
Khordae Sydnor,khordae-sydnor-1,/cfb/players/khordae-sydnor-1.html,LB,14,17,5,22,6.5,4.5,0,0,,0,1,0,0,0,0,,Purdue,2022
Nic Scourton,nic-caraway-1,/cfb/players/nic-caraway-1.html,DE,14,15,7,22,2.0,2.0,0,0,,0,0,0,0,0,1,,Purdue,2022
Sulaiman Kpaka,sulaiman-kpaka-1,/cfb/players/sulaiman-kpaka-1.html,DE,12,11,8,19,1.5,0.5,0,0,,0,0,0,0,0,0,,Purdue,2022
Chris Jefferson,chris-jefferson-1,/cfb/players/chris-jefferson-1.html,S,5,12,5,17,0.0,0.0,2,127,63.5,1,5,0,0,0,0,,Purdue,2022
Scotty Humpich,scotty-humpich-1,/cfb/players/scotty-humpich-1.html,LB,13,10,6,16,1.5,1.0,0,0,,0,1,0,0,0,0,,Purdue,2022
Jamari Brown,jamari-brown-1,/cfb/players/jamari-brown-1.html,DB,14,14,1,15,2.0,1.0,3,2,0.7,0,3,0,0,0,0,,Purdue,2022
Clyde Washington,clyde-washington-2,/cfb/players/clyde-washington-2.html,LB,9,10,4,14,0.0,0.0,1,15,15.0,0,0,0,0,0,0,,Purdue,2022
Prince Boyd Jr.,prince-boyd-jr-1,/cfb/players/prince-boyd-jr-1.html,DE,13,7,7,14,2.5,0.5,0,0,,0,0,0,0,0,0,,Purdue,2022
Cole Brevard,cole-brevard-1,/cfb/players/cole-brevard-1.html,DT,14,6,4,10,0.0,0.0,0,0,,0,0,0,0,0,0,,Purdue,2022
Antonio Stevens,antonio-stevens-1,/cfb/players/antonio-stevens-1.html,DB,13,7,1,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Purdue,2022
Jah'von Grigsby,jahvon-grigsby-1,/cfb/players/jahvon-grigsby-1.html,S,8,6,1,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Purdue,2022
