Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Ernest Jones,ernest-jones-3,/cfb/players/ernest-jones-3.html,LB,9,42,44,86,5.0,1.0,0,0,,0,0,1,0,0,1,,South Carolina,2020
Jammie Robinson,jammie-robinson-1,/cfb/players/jammie-robinson-1.html,DB,10,47,27,74,2.0,0.0,1,0,0.0,0,4,0,0,0,0,,South Carolina,2020
Damani Staley,damani-staley-1,/cfb/players/damani-staley-1.html,LB,10,28,23,51,0.5,0.0,0,0,,0,1,0,0,0,0,,South Carolina,2020
Jaylan Foster,jaylan-foster-1,/cfb/players/jaylan-foster-1.html,DB,10,25,18,43,2.0,0.0,0,0,,0,0,0,0,0,0,,South Carolina,2020
Zacch Pickens,zacch-pickens-1,/cfb/players/zacch-pickens-1.html,DL,10,16,19,35,2.5,1.0,0,0,,0,0,0,0,0,0,,South Carolina,2020
John Dixon,john-dixon-3,/cfb/players/john-dixon-3.html,DB,10,28,6,34,0.0,0.0,0,0,,0,5,1,0,0,0,,South Carolina,2020
Johnny Dixon,johnny-dixon-2,/cfb/players/johnny-dixon-2.html,,10,28,6,34,0.0,0.0,0,0,,0,5,1,0,0,0,,South Carolina,2020
Keir Thomas,keir-thomas-1,/cfb/players/keir-thomas-1.html,DL,7,19,13,32,5.5,3.0,0,0,,0,0,0,0,0,0,,South Carolina,2020
Shilo Sanders,shilo-sanders-1,/cfb/players/shilo-sanders-1.html,DB,9,23,9,32,1.0,0.0,0,0,,0,1,0,0,0,0,,South Carolina,2020
Shilo Sanders,shilo-sanders-2,/cfb/players/shilo-sanders-2.html,,9,23,9,32,1.0,0.0,0,0,,0,1,0,0,0,0,,South Carolina,2020
Kingsley Enagbare,kingsley-enagbare-1,/cfb/players/kingsley-enagbare-1.html,DL,8,16,14,30,7.0,6.0,0,0,,0,0,0,0,0,3,,South Carolina,2020
Jabari Ellis,jabari-ellis-1,/cfb/players/jabari-ellis-1.html,DL,10,11,16,27,3.0,0.5,0,0,,0,0,0,0,0,0,,South Carolina,2020
M.J. Webb,mj-webb-1,/cfb/players/mj-webb-1.html,DL,10,9,17,26,1.0,0.0,0,0,,0,1,0,0,0,0,,South Carolina,2020
R.J. Roderick,rj-roderick-1,/cfb/players/rj-roderick-1.html,DB,6,16,7,23,1.0,0.0,0,0,,0,1,0,0,0,0,,South Carolina,2020
Jaylin Dickerson,jaylin-dickerson-1,/cfb/players/jaylin-dickerson-1.html,DB,8,10,10,20,1.5,0.5,1,0,0.0,0,0,0,0,0,0,,South Carolina,2020
Jordan Burch,jordan-burch-1,/cfb/players/jordan-burch-1.html,DL,8,9,10,19,2.5,0.0,0,0,,0,0,1,7,0,0,,South Carolina,2020
Tonka Hemingway,tonka-hemingway-1,/cfb/players/tonka-hemingway-1.html,DL,10,11,5,16,1.0,0.0,0,0,,0,2,0,0,0,1,,South Carolina,2020
Cam Smith,cam-smith-3,/cfb/players/cam-smith-3.html,DB,8,10,6,16,0.0,0.0,2,0,0.0,0,2,0,0,0,0,,South Carolina,2020
Jaycee Horn,jaycee-horn-1,/cfb/players/jaycee-horn-1.html,DB,7,10,6,16,1.0,0.0,2,34,17.0,0,6,0,0,0,0,,South Carolina,2020
