Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Auggie Sanchez,auggie-sanchez-1,/cfb/players/auggie-sanchez-1.html,LB,12,46,38,84,10.0,2.0,2,108,54.0,2,2,0,0,0,0,,South Florida,2017
Deadrin Senat,deadrin-senat-1,/cfb/players/deadrin-senat-1.html,DT,12,35,31,66,10.5,6.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Deatrick Nichols,deatrick-nichols-1,/cfb/players/deatrick-nichols-1.html,CB,12,44,12,56,4.0,0.0,3,14,4.7,0,12,0,0,0,1,,South Florida,2017
Nico Sawtelle,nico-sawtelle-1,/cfb/players/nico-sawtelle-1.html,LB,12,34,20,54,4.5,1.5,2,10,5.0,0,1,1,0,0,0,,South Florida,2017
Ronnie Hoggins,ronnie-hoggins-1,/cfb/players/ronnie-hoggins-1.html,CB,12,45,8,53,0.0,0.0,2,12,6.0,0,8,0,0,0,0,,South Florida,2017
Greg Reaves,greg-reaves-1,/cfb/players/greg-reaves-1.html,LB,12,32,19,51,14.0,4.0,0,0,,0,3,0,0,0,0,,South Florida,2017
Devin Abraham,devin-abraham-1,/cfb/players/devin-abraham-1.html,S,12,35,13,48,2.0,1.0,5,85,17.0,0,2,1,0,0,0,,South Florida,2017
Jaymon Thomas,jaymon-thomas-1,/cfb/players/jaymon-thomas-1.html,S,12,30,14,44,1.0,0.0,1,18,18.0,0,3,0,0,0,0,,South Florida,2017
Bruce Hector,bruce-hector-1,/cfb/players/bruce-hector-1.html,DT,12,26,12,38,13.0,7.0,0,0,,0,1,0,0,0,1,,South Florida,2017
Khalid McGee,khalid-mcgee-1,/cfb/players/khalid-mcgee-1.html,S,11,29,9,38,3.5,0.0,0,0,,0,0,0,0,0,1,,South Florida,2017
Mazzi Wilkins,mazzi-wilkins-1,/cfb/players/mazzi-wilkins-1.html,CB,12,22,10,32,0.5,0.5,3,21,7.0,0,9,0,0,0,0,,South Florida,2017
Tajee Fullwood,tajee-fullwood-1,/cfb/players/tajee-fullwood-1.html,CB,9,24,7,31,2.0,0.0,1,42,42.0,0,0,1,0,0,0,,South Florida,2017
Mike Love,mike-love-3,/cfb/players/mike-love-3.html,DE,12,18,10,28,11.0,5.5,0,0,,0,3,0,0,0,0,,South Florida,2017
Josh Black,josh-black-1,/cfb/players/josh-black-1.html,LB,12,10,8,18,3.0,0.0,0,0,,0,1,0,0,0,0,,South Florida,2017
Danny Thomas,danny-thomas-3,/cfb/players/danny-thomas-3.html,LB,6,10,7,17,1.5,0.0,0,0,,0,1,0,0,0,0,,South Florida,2017
Kirk Livingstone,kirk-livingstone-1,/cfb/players/kirk-livingstone-1.html,DE,12,8,8,16,5.5,2.0,0,0,,0,1,0,0,0,0,,South Florida,2017
Nate Ferguson,nate-ferguson-1,/cfb/players/nate-ferguson-1.html,CB,10,12,4,16,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Kelvin Pinkney Jr.,kelvin-pinkney-jr-1,/cfb/players/kelvin-pinkney-jr-1.html,DT,11,7,9,16,3.0,1.5,0,0,,0,1,0,0,0,0,,South Florida,2017
Naytron Culpepper,naytron-culpepper-1,/cfb/players/naytron-culpepper-1.html,DB,10,8,4,12,0.5,0.0,0,0,,0,2,0,0,0,0,,South Florida,2017
Kevin Bronson,kevin-bronson-1,/cfb/players/kevin-bronson-1.html,DE,10,6,6,12,2.5,0.5,0,0,,0,0,0,0,0,0,,South Florida,2017
Mike Hampton,mike-hampton-2,/cfb/players/mike-hampton-2.html,DB,12,9,2,11,0.0,0.0,0,0,,0,2,0,0,0,0,,South Florida,2017
Kevin Kegler,kevin-kegler-1,/cfb/players/kevin-kegler-1.html,DT,11,7,3,10,1.0,1.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Juwuan Brown,juwuan-brown-1,/cfb/players/juwuan-brown-1.html,DE,12,8,1,9,5.0,3.0,0,0,,0,0,1,0,0,1,,South Florida,2017
Jimmy Bayes,jimmy-bayes-1,/cfb/players/jimmy-bayes-1.html,DE,9,4,5,9,0.5,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Keirston Johnson,keirston-johnson-1,/cfb/players/keirston-johnson-1.html,LB,9,5,2,7,1.0,0.0,1,0,0.0,0,1,0,0,0,0,,South Florida,2017
Andre Polk Jr.,andre-polk-jr-27,/cfb/players/andre-polk-jr-27.html,LB,4,0,5,5,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Trevon Sands,trevon-sands-1,/cfb/players/trevon-sands-1.html,RB,9,5,0,5,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Craig Watts,craig-watts-1,/cfb/players/craig-watts-1.html,S,12,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Davion Sutton,davion-sutton-1,/cfb/players/davion-sutton-1.html,RB,10,3,1,4,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Vincent Jackson,vincent-jackson-1,/cfb/players/vincent-jackson-1.html,DE,8,1,2,3,1.5,0.5,0,0,,0,0,0,0,0,0,,South Florida,2017
Trevor Steinke,trevor-steinke-1,/cfb/players/trevor-steinke-1.html,WR,7,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Mitchell Wilcox,mitchell-wilcox-1,/cfb/players/mitchell-wilcox-1.html,TE,12,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Devon Jones-Stewart,devon-jones-stewart-1,/cfb/players/devon-jones-stewart-1.html,LB,6,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Donelle Thomas,donelle-thomas-1,/cfb/players/donelle-thomas-1.html,DB,9,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Elkanah Dillon,elkanah-dillon-1,/cfb/players/elkanah-dillon-1.html,TE,12,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Emilio Nadelman,emilio-nadelman-1,/cfb/players/emilio-nadelman-1.html,K,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Jeffery Farrar,jeffery-farrar-1,/cfb/players/jeffery-farrar-1.html,DB,5,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Nick Cuccia,nick-cuccia-2,/cfb/players/nick-cuccia-2.html,CB,4,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Darius Tice,darius-tice-1,/cfb/players/darius-tice-1.html,RB,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Tyree McCants,tyree-mccants-1,/cfb/players/tyree-mccants-1.html,WR,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Deangleo Antoine,deangleo-antoine-1,/cfb/players/deangleo-antoine-1.html,WR,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Marco Salani,marco-salani-1,/cfb/players/marco-salani-1.html,K,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Darnell Salomon,darnell-salomon-1,/cfb/players/darnell-salomon-1.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
Stanley Clerveaux,stanley-clerveaux-1,/cfb/players/stanley-clerveaux-1.html,WR,9,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,South Florida,2017
