Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Edwin Spillman,edwin-spillman-1,/cfb/players/edwin-spillman-1.html,LB,13,33,48,81,3.5,2.5,1,15,15.0,0,2,0,0,0,0,,Tennessee,2025
Jeremiah Telander,jeremiah-telander-1,/cfb/players/jeremiah-telander-1.html,LB,13,28,52,80,6.0,1.0,1,0,0.0,0,0,0,0,0,0,,Tennessee,2025
Arion Carter,arion-carter-1,/cfb/players/arion-carter-1.html,LB,10,28,48,76,6.0,1.5,0,0,,0,2,1,0,0,1,,Tennessee,2025
Edrees Farooq,edrees-farooq-1,/cfb/players/edrees-farooq-1.html,DB,13,37,39,76,0.0,0.0,2,51,25.5,1,3,1,0,0,4,,Tennessee,2025
Andre Turrentine,andre-turrentine-1,/cfb/players/andre-turrentine-1.html,DB,13,31,35,66,1.5,0.0,1,1,1.0,0,1,0,0,0,0,,Tennessee,2025
Jalen McMurray,jalen-mcmurray-1,/cfb/players/jalen-mcmurray-1.html,DB,13,32,24,56,6.0,2.0,0,0,,0,5,0,0,0,0,,Tennessee,2025
Colton Hood,colton-hood-1,/cfb/players/colton-hood-1.html,DB,12,34,16,50,4.5,0.0,1,23,23.0,1,8,1,0,1,1,,Tennessee,2025
Ty Redmond,ty-redmond-1,/cfb/players/ty-redmond-1.html,DB,13,25,18,43,1.0,0.0,3,60,20.0,0,12,0,0,0,0,,Tennessee,2025
Joshua Josephs,joshua-josephs-1,/cfb/players/joshua-josephs-1.html,DL,11,17,16,33,6.0,4.0,0,0,,0,3,2,41,1,3,,Tennessee,2025
Bryson Eason,bryson-eason-1,/cfb/players/bryson-eason-1.html,DL,13,8,23,31,4.5,0.0,0,0,,0,3,1,0,0,0,,Tennessee,2025
Daevin Hobbs,daevin-hobbs-1,/cfb/players/daevin-hobbs-1.html,DL,8,13,17,30,3.5,3.0,0,0,,0,2,0,0,0,1,,Tennessee,2025
Dominic Bailey,dominic-bailey-2,/cfb/players/dominic-bailey-2.html,DL,13,13,14,27,7.5,5.5,0,0,,0,0,0,0,0,1,,Tennessee,2025
Boo Carter,boo-carter-1,/cfb/players/boo-carter-1.html,DB,9,16,9,25,4.5,1.0,0,0,,0,3,0,0,0,3,,Tennessee,2025
Tyree Weathersby,tyree-weathersby-1,/cfb/players/tyree-weathersby-1.html,DL,12,10,14,24,2.5,1.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Kaleb Beasley,kaleb-beasley-1,/cfb/players/kaleb-beasley-1.html,DB,13,10,14,24,0.0,0.0,0,0,,0,1,1,23,1,0,,Tennessee,2025
Tyre West,tyre-west-1,/cfb/players/tyre-west-1.html,DL,12,12,11,23,7.5,4.0,0,0,,0,1,0,0,0,1,,Tennessee,2025
Jordan Ross,jordan-ross-1,/cfb/players/jordan-ross-1.html,DL,11,6,17,23,3.5,1.5,0,0,,0,1,1,10,0,1,,Tennessee,2025
Jaedon Harmon,jaedon-harmon-1,/cfb/players/jaedon-harmon-1.html,LB,13,12,7,19,0.5,0.5,0,0,,0,1,0,0,0,0,,Tennessee,2025
Jadon Perlotte,jadon-perlotte-1,/cfb/players/jadon-perlotte-1.html,LB,13,9,10,19,2.0,0.5,0,0,,0,0,2,0,0,0,,Tennessee,2025
Ben Bolton,ben-bolton-1,/cfb/players/ben-bolton-1.html,LB,12,2,16,18,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
William Wright,william-wright-2,/cfb/players/william-wright-2.html,DB,13,9,5,14,0.0,0.0,1,35,35.0,1,1,0,0,0,0,,Tennessee,2025
Nathan Robinson,nathan-robinson-1,/cfb/players/nathan-robinson-1.html,DL,13,4,10,14,2.5,1.5,0,0,,0,1,0,0,0,1,,Tennessee,2025
Caleb Herring,caleb-herring-3,/cfb/players/caleb-herring-3.html,DL,13,9,5,14,6.0,4.0,0,0,,0,2,0,0,0,0,,Tennessee,2025
Tre Poteat,tre-poteat-1,/cfb/players/tre-poteat-1.html,DB,13,7,5,12,0.0,0.0,0,0,,0,2,0,0,0,0,,Tennessee,2025
Jaxson Moi,jaxson-moi-1,/cfb/players/jaxson-moi-1.html,DL,9,4,7,11,2.0,1.0,0,0,,0,1,0,0,0,0,,Tennessee,2025
Mariyon Dye,mariyon-dye-1,/cfb/players/mariyon-dye-1.html,DL,7,1,7,8,1.5,1.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Jordan Burns,jordan-burns-1,/cfb/players/jordan-burns-1.html,LB,12,3,5,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Sidney Walton,sidney-walton-1,/cfb/players/sidney-walton-1.html,DB,10,5,2,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Brenden Anes,brenden-anes-1,/cfb/players/brenden-anes-1.html,LB,12,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Ethan Utley,ethan-utley-1,/cfb/players/ethan-utley-1.html,DL,12,2,3,5,1.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Isaiah Campbell,isaiah-campbell-1,/cfb/players/isaiah-campbell-1.html,DL,8,0,4,4,0.5,0.5,0,0,,0,0,0,0,0,0,,Tennessee,2025
Timothy Merritt,timothy-merritt-1,/cfb/players/timothy-merritt-1.html,DB,12,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Jamal Wallace,jamal-wallace-3,/cfb/players/jamal-wallace-3.html,DL,6,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Carson Gentle,carson-gentle-1,/cfb/players/carson-gentle-1.html,DL,13,1,2,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Charles House III,charles-house-iii-1,/cfb/players/charles-house-iii-1.html,DL,2,1,2,3,1.5,1.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Christian Gass,christian-gass-1,/cfb/players/christian-gass-1.html,DL,2,1,2,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Mike Bethea II,mike-bethea-ii-1,/cfb/players/mike-bethea-ii-1.html,DL,10,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Nathan Roberts,nathan-roberts-1,/cfb/players/nathan-roberts-1.html,WR,4,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Ryan Scott,ryan-scott-4,/cfb/players/ryan-scott-4.html,LB,10,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Peyton Lewis,peyton-lewis-1,/cfb/players/peyton-lewis-1.html,RB,10,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Montrell Bandy,montrell-bandy-1,/cfb/players/montrell-bandy-1.html,DB,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Justin Baker,justin-baker-2,/cfb/players/justin-baker-2.html,RB,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Kellen Lindstrom,kellen-lindstrom-1,/cfb/players/kellen-lindstrom-1.html,DL,3,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Rickey Gibson III,rickey-gibson-iii-1,/cfb/players/rickey-gibson-iii-1.html,DB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Josh Schell,josh-schell-1,/cfb/players/josh-schell-1.html,DL,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Josh Turbyville,josh-turbyville-1,/cfb/players/josh-turbyville-1.html,P,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Bennett Brady,bennett-brady-1,/cfb/players/bennett-brady-1.html,LS,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Chris Brazzell II,chris-brazzell-ii-1,/cfb/players/chris-brazzell-ii-1.html,WR,12,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Herb Gray,herb-gray-1,/cfb/players/herb-gray-1.html,DL,2,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Joey Aguilar,joey-aguilar-1,/cfb/players/joey-aguilar-1.html,QB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Dylan Lewis,dylan-lewis-3,/cfb/players/dylan-lewis-3.html,DB,5,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
DeSean Bishop,desean-bishop-1,/cfb/players/desean-bishop-1.html,RB,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Radarious Jackson,radarious-jackson-1,/cfb/players/radarious-jackson-1.html,WR,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
David Sanders Jr.,david-sanders-jr-1,/cfb/players/david-sanders-jr-1.html,OL,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Emmanuel Okoye,emmanuel-okoye-1,/cfb/players/emmanuel-okoye-1.html,DL,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Lance Heard,lance-heard-1,/cfb/players/lance-heard-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Miles Kitselman,miles-kitselman-1,/cfb/players/miles-kitselman-1.html,TE,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
Marcus Goree Jr.,marcus-goree-jr-1,/cfb/players/marcus-goree-jr-1.html,DB,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Tennessee,2025
