Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jaylan Ford,jaylan-ford-1,/cfb/players/jaylan-ford-1.html,LB,13,61,58,119,10.0,2.0,4,48,12.0,0,2,2,0,0,3,,Texas,2022
Demarvion Overshown,demarvion-overshown-1,/cfb/players/demarvion-overshown-1.html,LB,12,49,47,96,10.0,4.0,0,0,,0,5,0,0,0,0,,Texas,2022
Jerrin Thompson,jerrin-thompson-1,/cfb/players/jerrin-thompson-1.html,DB,13,50,33,83,0.5,0.0,1,0,0.0,0,7,0,0,0,0,,Texas,2022
Jahdae Barron,jahdae-barron-1,/cfb/players/jahdae-barron-1.html,DB,13,43,35,78,11.5,1.0,2,50,25.0,1,3,1,48,1,0,,Texas,2022
Anthony Cook,anthony-cook-1,/cfb/players/anthony-cook-1.html,DB,13,35,26,61,3.5,0.5,0,0,,0,5,0,0,0,1,,Texas,2022
Ovie Oghoufo,ovie-oghoufo-1,/cfb/players/ovie-oghoufo-1.html,LB,13,20,34,54,8.5,2.5,0,0,,0,3,0,0,0,2,,Texas,2022
Ryan Watts,ryan-watts-1,/cfb/players/ryan-watts-1.html,DB,13,33,18,51,4.0,1.0,1,0,0.0,0,3,0,0,0,0,,Texas,2022
Diamonte Tucker-Dorsey,diamonte-tucker-dorsey-1,/cfb/players/diamonte-tucker-dorsey-1.html,LB,13,22,22,44,3.0,2.5,0,0,,0,1,0,0,0,1,,Texas,2022
Barryn Sorrell,barryn-sorrell-1,/cfb/players/barryn-sorrell-1.html,DL,13,16,28,44,9.0,5.5,0,0,,0,1,0,0,0,1,,Texas,2022
Moro Ojomo,moro-ojomo-1,/cfb/players/moro-ojomo-1.html,DL,12,16,16,32,5.5,3.0,0,0,,0,0,0,0,0,0,,Texas,2022
T'vondre Sweat,tvondre-sweat-1,/cfb/players/tvondre-sweat-1.html,DL,13,10,20,30,2.5,0.0,0,0,,0,4,0,0,0,0,,Texas,2022
Keondre Coburn,keondre-coburn-1,/cfb/players/keondre-coburn-1.html,DL,13,10,18,28,3.0,1.5,0,0,,0,0,0,0,0,1,,Texas,2022
Byron Murphy II,byron-murphy-ii-1,/cfb/players/byron-murphy-ii-1.html,DL,13,9,17,26,3.0,1.0,0,0,,0,0,0,0,0,0,,Texas,2022
Michael Taaffe,michael-taaffe-1,/cfb/players/michael-taaffe-1.html,DB,13,13,13,26,0.5,0.0,0,0,,0,1,0,0,0,0,,Texas,2022
D'Shawn Jamison,dshawn-jamison-1,/cfb/players/dshawn-jamison-1.html,DB,12,21,4,25,2.0,1.0,2,69,34.5,1,7,0,0,0,0,,Texas,2022
Kitan Crawford,kitan-crawford-1,/cfb/players/kitan-crawford-1.html,DB,13,17,8,25,0.0,0.0,0,0,,0,2,0,0,0,0,,Texas,2022
Jaylon Guilbeau,jaylon-guilbeau-1,/cfb/players/jaylon-guilbeau-1.html,DB,8,8,11,19,0.5,0.0,0,0,,0,2,0,0,0,0,,Texas,2022
Alfred Collins,alfred-collins-1,/cfb/players/alfred-collins-1.html,DL,12,7,10,17,3.0,1.0,0,0,,0,0,0,0,0,0,,Texas,2022
