Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Otaro Alaka,otaro-alaka-1,/cfb/players/otaro-alaka-1.html,LB,12,39,40,79,14.5,4.0,0,0,,0,1,0,0,0,1,,Texas A&M,2018
Tyrel Dodson,tyrel-dodson-1,/cfb/players/tyrel-dodson-1.html,LB,13,42,28,70,7.0,0.5,1,78,78.0,1,3,1,0,1,0,,Texas A&M,2018
Donovan Wilson,donovan-wilson-2,/cfb/players/donovan-wilson-2.html,DB,12,37,29,66,4.5,2.0,2,0,0.0,0,3,0,0,0,1,,Texas A&M,2018
DeShawn Capers-Smith,deshawn-capers-smith-1,/cfb/players/deshawn-capers-smith-1.html,DB,11,31,21,52,8.0,0.0,1,12,12.0,0,3,0,0,0,0,,Texas A&M,2018
Kingsley Keke,kingsley-keke-1,/cfb/players/kingsley-keke-1.html,DL,13,18,33,51,11.0,7.0,0,0,,0,1,1,0,0,1,,Texas A&M,2018
Landis Durham,landis-durham-1,/cfb/players/landis-durham-1.html,DL,13,24,26,50,10.5,6.5,0,0,,0,1,0,0,0,0,,Texas A&M,2018
Justin Madubuike,justin-madubuike-1,/cfb/players/justin-madubuike-1.html,DL,13,18,22,40,10.5,5.5,0,0,,0,2,0,0,0,3,,Texas A&M,2018
Debione Renfro,debione-renfro-1,/cfb/players/debione-renfro-1.html,DB,13,32,5,37,1.0,1.0,0,0,,0,5,0,0,0,0,,Texas A&M,2018
Larry Pryor,larry-pryor-1,/cfb/players/larry-pryor-1.html,DB,12,25,9,34,2.5,1.0,1,0,0.0,0,1,1,17,1,1,,Texas A&M,2018
Daylon Mack,daylon-mack-1,/cfb/players/daylon-mack-1.html,DL,13,17,15,32,10.0,5.5,0,0,,0,1,0,0,0,0,,Texas A&M,2018
Charles Oliver,charles-oliver-1,/cfb/players/charles-oliver-1.html,DB,13,23,8,31,4.0,0.0,1,0,0.0,0,8,0,0,0,0,,Texas A&M,2018
Derrick Tucker,derrick-tucker-1,/cfb/players/derrick-tucker-1.html,DB,10,19,8,27,0.0,0.0,0,0,,0,1,0,0,0,0,,Texas A&M,2018
Buddy Johnson,buddy-johnson-1,/cfb/players/buddy-johnson-1.html,LB,12,10,17,27,5.0,0.5,0,0,,0,0,1,0,0,0,,Texas A&M,2018
Myles Jones,myles-jones-1,/cfb/players/myles-jones-1.html,DB,12,12,6,18,1.0,0.0,0,0,,0,9,0,0,0,0,,Texas A&M,2018
Leon O'Neal Jr.,leon-oneal-jr-1,/cfb/players/leon-oneal-jr-1.html,DB,13,8,6,14,2.0,0.0,1,25,25.0,0,1,0,0,0,0,,Texas A&M,2018
Tyree Johnson,tyree-johnson-2,/cfb/players/tyree-johnson-2.html,DL,13,2,12,14,2.0,1.5,0,0,,0,0,0,0,0,1,,Texas A&M,2018
Bobby Brown III,bobby-brown-iii-1,/cfb/players/bobby-brown-iii-1.html,DL,13,5,9,14,1.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Keldrick Carper,keldrick-carper-1,/cfb/players/keldrick-carper-1.html,DB,11,6,7,13,0.0,0.0,0,0,,0,2,0,0,0,0,,Texas A&M,2018
Roney Elam,roney-elam-1,/cfb/players/roney-elam-1.html,DB,13,7,5,12,0.0,0.0,0,0,,0,2,0,0,0,0,,Texas A&M,2018
Jayden Peevy,jayden-peevy-1,/cfb/players/jayden-peevy-1.html,DL,13,3,6,9,2.0,1.0,0,0,,0,1,0,0,0,0,,Texas A&M,2018
Brian Johnson,brian-johnson-7,/cfb/players/brian-johnson-7.html,LB,13,2,5,7,1.0,0.0,0,0,,0,0,0,0,0,1,,Texas A&M,2018
Travon Fuller,travon-fuller-1,/cfb/players/travon-fuller-1.html,DB,13,4,2,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Cullen Gillaspia,cullen-gillaspia-1,/cfb/players/cullen-gillaspia-1.html,FB,13,6,0,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Braden Mann,braden-mann-1,/cfb/players/braden-mann-1.html,P,13,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,1,AA,Texas A&M,2018
Keeath Magee II,keeath-magee-ii-1,/cfb/players/keeath-magee-ii-1.html,LB,6,1,3,4,0.5,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Max Wright,max-wright-1,/cfb/players/max-wright-1.html,DL,13,0,3,3,0.5,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Austin Frey,austin-frey-1,/cfb/players/austin-frey-1.html,LS,13,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Braden White,braden-white-1,/cfb/players/braden-white-1.html,LB,5,0,3,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Hezekiah Jones,hezekiah-jones-1,/cfb/players/hezekiah-jones-1.html,WR,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Quartney Davis,quartney-davis-1,/cfb/players/quartney-davis-1.html,WR,13,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Kellen Mond,kellen-mond-1,/cfb/players/kellen-mond-1.html,QB,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Jhamon Ausbon,jhamon-ausbon-1,/cfb/players/jhamon-ausbon-1.html,WR,9,0,1,1,0.5,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Riley Garner,riley-garner-1,/cfb/players/riley-garner-1.html,LB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Jared Hocker,jared-hocker-1,/cfb/players/jared-hocker-1.html,OL,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
TD Moton,td-moton-1,/cfb/players/td-moton-1.html,DL,2,1,0,1,1.0,1.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
Jeremiah Martin,jeremiah-martin-2,/cfb/players/jeremiah-martin-2.html,DL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
John Locke,john-locke-1,/cfb/players/john-locke-1.html,LB,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Texas A&M,2018
