Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Treylin Payne,treylin-payne-1,/cfb/players/treylin-payne-1.html,LB,13,49,58,107,6.5,2.0,0,0,,0,2,0,0,0,0,,Texas State,2025
Ryan Nolan,ryan-nolan-3,/cfb/players/ryan-nolan-3.html,S,12,41,38,79,3.0,0.0,0,0,,0,2,0,0,0,0,,Texas State,2025
Bobby Crosby,bobby-crosby-1,/cfb/players/bobby-crosby-1.html,S,13,40,21,61,3.0,2.0,1,0,0.0,0,3,0,0,0,0,,Texas State,2025
Ayden Jones,ayden-jones-1,/cfb/players/ayden-jones-1.html,LB,12,33,23,56,1.0,0.0,0,0,,0,0,0,0,0,0,,Texas State,2025
Terrence Cooks II,terrence-cooks-ii-1,/cfb/players/terrence-cooks-ii-1.html,LB,13,25,25,50,5.5,2.0,0,0,,0,1,0,0,0,0,,Texas State,2025
Kalil Alexander,kalil-alexander-1,/cfb/players/kalil-alexander-1.html,DE,13,28,20,48,11.5,5.0,0,0,,0,0,0,0,0,1,,Texas State,2025
Khamari Terrell,khamari-terrell-1,/cfb/players/khamari-terrell-1.html,CB,12,30,6,36,2.5,0.0,1,0,0.0,0,3,0,0,0,0,,Texas State,2025
Kenard Snyder,kenard-snyder-1,/cfb/players/kenard-snyder-1.html,DE,13,19,16,35,9.0,3.0,0,0,,0,0,0,0,0,0,,Texas State,2025
Tymere Jackson,tymere-jackson-1,/cfb/players/tymere-jackson-1.html,DE,11,16,16,32,8.5,2.5,0,0,,0,2,1,0,0,0,,Texas State,2025
Javis Mynatt,javis-mynatt-1,/cfb/players/javis-mynatt-1.html,S,13,16,16,32,1.0,1.0,0,0,,0,0,1,0,0,1,,Texas State,2025
Amarion Atwood,amarion-atwood-1,/cfb/players/amarion-atwood-1.html,CB,10,20,10,30,1.5,0.0,0,0,,0,3,1,0,0,0,,Texas State,2025
Cole Nilles,cole-nilles-1,/cfb/players/cole-nilles-1.html,LB,13,18,11,29,3.0,0.0,0,0,,0,1,0,0,0,0,,Texas State,2025
