Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Tron Folsom,tron-folsom-1,/cfb/players/tron-folsom-1.html,LB,12,38,43,81,8.0,2.0,2,53,26.5,1,5,0,0,0,0,,Troy,2018
Carlton Martial,carlton-martial-1,/cfb/players/carlton-martial-1.html,LB,12,33,43,76,8.5,3.0,0,0,,0,1,1,0,0,3,,Troy,2018
Cedarius Rookard,cedarius-rookard-1,/cfb/players/cedarius-rookard-1.html,S,12,32,40,72,1.5,0.0,5,105,21.0,0,2,1,0,0,2,,Troy,2018
Hunter Reese,hunter-reese-1,/cfb/players/hunter-reese-1.html,LB,13,18,42,60,14.5,7.5,1,15,15.0,0,0,3,0,0,1,,Troy,2018
Melvin Tyus,melvin-tyus-1,/cfb/players/melvin-tyus-1.html,S,13,29,31,60,2.0,0.0,1,0,0.0,0,2,1,0,0,0,,Troy,2018
Tyler Murray,tyler-murray-1,/cfb/players/tyler-murray-1.html,S,13,25,24,49,6.5,2.0,3,57,19.0,0,5,2,0,0,1,,Troy,2018
Justin Whisenhunt,justin-whisenhunt-1,/cfb/players/justin-whisenhunt-1.html,LB,13,21,26,47,5.0,1.0,0,0,,0,0,0,0,0,0,,Troy,2018
Jarvis Hayes,jarvis-hayes-1,/cfb/players/jarvis-hayes-1.html,DE,13,24,20,44,10.5,4.5,0,0,,0,0,0,0,0,0,,Troy,2018
Blace Brown,blace-brown-1,/cfb/players/blace-brown-1.html,CB,13,25,19,44,1.5,0.0,1,0,0.0,0,6,1,0,0,0,,Troy,2018
Terence Dunlap,terence-dunlap-1,/cfb/players/terence-dunlap-1.html,CB,13,30,13,43,0.5,0.0,1,88,88.0,0,4,0,0,0,0,,Troy,2018
Marcus Jones,marcus-jones-11,/cfb/players/marcus-jones-11.html,CB,11,24,10,34,0.0,0.0,2,0,0.0,0,9,1,0,0,0,,Troy,2018
Trevon Sanders,trevon-sanders-1,/cfb/players/trevon-sanders-1.html,DT,12,11,19,30,7.0,2.0,0,0,,0,0,1,0,0,0,,Troy,2018
Kyler Knudsen,kyler-knudsen-1,/cfb/players/kyler-knudsen-1.html,S,13,14,16,30,0.0,0.0,1,0,0.0,0,6,0,0,0,0,,Troy,2018
Antoine Barker,antoine-barker-1,/cfb/players/antoine-barker-1.html,DT,13,13,14,27,9.5,4.5,0,0,,0,0,0,0,0,1,,Troy,2018
Will Choloh Jr.,will-choloh-jr-1,/cfb/players/will-choloh-jr-1.html,DT,13,11,10,21,4.5,3.0,0,0,,0,0,0,0,0,1,,Troy,2018
A.J. Smiley,aj-smiley-1,/cfb/players/aj-smiley-1.html,LB,11,5,16,21,2.0,1.0,0,0,,0,1,0,0,0,0,,Troy,2018
Will Sunderland,will-sunderland-1,/cfb/players/will-sunderland-1.html,S,12,11,10,21,3.0,1.5,1,4,4.0,0,0,0,0,0,0,,Troy,2018
Marcus Webb,marcus-webb-2,/cfb/players/marcus-webb-2.html,DT,11,4,15,19,1.5,1.5,0,0,,0,0,1,0,0,1,,Troy,2018
Jawon McDowell,jawon-mcdowell-1,/cfb/players/jawon-mcdowell-1.html,CB,13,12,6,18,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Travon Mathis,travon-mathis-1,/cfb/players/travon-mathis-1.html,DT,12,6,9,15,1.0,0.0,0,0,,0,1,0,0,0,0,,Troy,2018
Travis Sailo,travis-sailo-1,/cfb/players/travis-sailo-1.html,DT,11,5,8,13,3.5,1.5,0,0,,0,0,0,0,0,1,,Troy,2018
Kevin Nixon,kevin-nixon-1,/cfb/players/kevin-nixon-1.html,LB,11,5,8,13,2.5,0.0,0,0,,0,1,0,0,0,1,,Troy,2018
KJ Robertson,kj-robertson-1,/cfb/players/kj-robertson-1.html,LB,11,5,6,11,0.0,0.0,0,0,,0,1,0,0,0,1,,Troy,2018
Kyle Nixon,kyle-nixon-1,/cfb/players/kyle-nixon-1.html,S,12,3,8,11,0.5,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Shon Spralling,shon-spralling-1,/cfb/players/shon-spralling-1.html,CB,10,5,5,10,1.5,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Antonio Showers,antonio-showers-1,/cfb/players/antonio-showers-1.html,LB,7,6,3,9,3.0,3.0,0,0,,0,0,0,0,0,1,,Troy,2018
TJ Harris,tj-harris-2,/cfb/players/tj-harris-2.html,S,11,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,1,,Troy,2018
Jarvis Bryant,jarvis-bryant-1,/cfb/players/jarvis-bryant-1.html,DT,8,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Doug Salter,doug-salter-1,/cfb/players/doug-salter-1.html,DT,12,2,0,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Bratcher Underwood,bratcher-underwood-1,/cfb/players/bratcher-underwood-1.html,PK,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Levon Fletcher,levon-fletcher-1,/cfb/players/levon-fletcher-1.html,CB,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
DK Billingsley,dk-billingsley-1,/cfb/players/dk-billingsley-1.html,RB,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
B.J. Smith,bj-smith-1,/cfb/players/bj-smith-1.html,RB,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Walter Pritchett,walter-pritchett-1,/cfb/players/walter-pritchett-1.html,LB,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Tyler Sumpter,tyler-sumpter-2,/cfb/players/tyler-sumpter-2.html,,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Tyler Sumpter,tyler-sumpter-1,/cfb/players/tyler-sumpter-1.html,PK,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Damion Willis,damion-willis-1,/cfb/players/damion-willis-1.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Tristan Crowder,tristan-crowder-1,/cfb/players/tristan-crowder-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Demontrez Brown,demontrez-brown-1,/cfb/players/demontrez-brown-1.html,WR,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Jeremiah Jones,jeremiah-jones-1,/cfb/players/jeremiah-jones-1.html,LB,5,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
John Hines,john-hines-1,/cfb/players/john-hines-1.html,DE,5,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Luke Whittemore,luke-whittemore-1,/cfb/players/luke-whittemore-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Deondre Douglas,deondre-douglas-1,/cfb/players/deondre-douglas-1.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Tanner Blatt,tanner-blatt-1,/cfb/players/tanner-blatt-1.html,RB,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Jake Baker,jake-baker-1,/cfb/players/jake-baker-1.html,OL,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Orlando Lacey,orlando-lacey-1,/cfb/players/orlando-lacey-1.html,CB,8,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Omari Vaughns,omari-vaughns-1,/cfb/players/omari-vaughns-1.html,,7,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Deontae Crumitie,deontae-crumitie-1,/cfb/players/deontae-crumitie-1.html,OL,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Troy,2018
Rasool Clemons,rasool-clemons-1,/cfb/players/rasool-clemons-1.html,DE,2,0,0,0,0.0,0.0,0,0,,0,0,1,0,0,0,,Troy,2018
