Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jack Tchienchou,jack-tchienchou-1,/cfb/players/jack-tchienchou-1.html,S,14,55,28,83,2.0,1.0,2,1,0.5,0,3,1,0,0,1,,Tulane,2025
Chris Rodgers,chris-rodgers-1,/cfb/players/chris-rodgers-1.html,LB,14,51,29,80,7.0,2.5,1,35,35.0,1,1,0,0,0,1,,Tulane,2025
Bailey Despanie,bailey-despanie-1,/cfb/players/bailey-despanie-1.html,S,14,39,24,63,1.5,0.0,1,0,0.0,0,5,0,0,0,0,,Tulane,2025
Kevin Adams III,kevin-adams-iii-1,/cfb/players/kevin-adams-iii-1.html,DB,14,36,17,53,1.0,0.0,2,13,6.5,0,3,0,0,0,0,,Tulane,2025
Javion White,javion-white-1,/cfb/players/javion-white-1.html,DB,14,34,16,50,3.5,0.0,3,1,0.3,0,6,1,37,0,0,,Tulane,2025
Sam Howard,sam-howard-1,/cfb/players/sam-howard-1.html,LB,11,30,20,50,8.5,4.0,0,0,,0,0,0,0,0,1,,Tulane,2025
Jaheim Johnson,jaheim-johnson-1,/cfb/players/jaheim-johnson-1.html,DB,14,32,10,42,1.0,0.0,4,36,9.0,0,9,0,0,0,1,,Tulane,2025
E'zaiah Shine,ezaiah-shine-1,/cfb/players/ezaiah-shine-1.html,DB,14,33,8,41,2.0,0.0,0,0,,0,7,1,0,0,0,,Tulane,2025
Makai Williams,makai-williams-1,/cfb/players/makai-williams-1.html,LB,14,23,17,40,4.5,1.0,0,0,,0,0,0,0,0,0,,Tulane,2025
Dickson Agu,dickson-agu-1,/cfb/players/dickson-agu-1.html,LB,5,15,21,36,2.0,0.0,0,0,,0,1,1,0,0,0,,Tulane,2025
Harvey Dyson III,harvey-dyson-iii-1,/cfb/players/harvey-dyson-iii-1.html,DL,14,17,19,36,11.5,8.0,0,0,,0,1,0,0,0,2,,Tulane,2025
Trevon McAlpine,trevon-mcalpine-1,/cfb/players/trevon-mcalpine-1.html,DL,14,20,15,35,2.0,1.0,0,0,,0,0,1,0,0,0,,Tulane,2025
Santana Hopper,santana-hopper-1,/cfb/players/santana-hopper-1.html,DL,14,17,14,31,10.5,4.5,0,0,,0,0,1,0,0,0,,Tulane,2025
Kameron Hamilton,kameron-hamilton-1,/cfb/players/kameron-hamilton-1.html,DL,14,11,18,29,4.0,3.0,0,0,,0,3,0,0,0,0,,Tulane,2025
Jordan Norman,jordan-norman-1,/cfb/players/jordan-norman-1.html,DL,14,15,13,28,8.0,6.0,0,0,,0,0,0,0,0,0,,Tulane,2025
Joshua Moore,joshua-moore-3,/cfb/players/joshua-moore-3.html,DB,14,15,12,27,0.0,0.0,0,0,,0,3,0,0,0,0,,Tulane,2025
TJ Smith,tj-smith-8,/cfb/players/tj-smith-8.html,DB,14,21,3,24,2.5,1.0,0,0,,0,0,0,0,0,0,,Tulane,2025
Gerrod Henderson,gerrod-henderson-1,/cfb/players/gerrod-henderson-1.html,DL,7,8,12,20,1.5,0.5,0,0,,0,0,0,0,0,0,,Tulane,2025
Isaiah Wadsworth,isaiah-wadsworth-1,/cfb/players/isaiah-wadsworth-1.html,DB,14,8,7,15,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Tulane,2025
Geordan Guidry,geordan-guidry-1,/cfb/players/geordan-guidry-1.html,DL,14,8,7,15,0.5,0.0,0,0,,0,0,0,0,0,1,,Tulane,2025
Jah'rie Garner,jahrie-garner-1,/cfb/players/jahrie-garner-1.html,DL,14,5,9,14,1.5,0.0,0,0,,0,0,1,0,0,0,,Tulane,2025
LJ Green,lj-green-1,/cfb/players/lj-green-1.html,CB,12,11,3,14,0.5,0.0,0,0,,0,2,1,34,0,0,,Tulane,2025
Eliyte Nairne,eliyte-nairne-1,/cfb/players/eliyte-nairne-1.html,DT,14,7,6,13,1.0,0.0,0,0,,0,0,1,0,0,0,,Tulane,2025
