Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Alvin Jones,alvin-jones-2,/cfb/players/alvin-jones-2.html,LB,12,48,45,93,14.5,6.5,0,0,,0,0,0,0,0,0,,UTEP,2015
Jimmy Musgrave,jimmy-musgrave-1,/cfb/players/jimmy-musgrave-1.html,LB,12,26,33,59,7.5,2.0,0,0,,0,1,0,0,0,1,,UTEP,2015
Roy Robertson,roy-robertson-1,/cfb/players/roy-robertson-1.html,DL,12,27,24,51,7.5,2.5,0,0,,0,4,0,0,0,0,,UTEP,2015
Nick Usher,nick-usher-1,/cfb/players/nick-usher-1.html,DL,12,27,19,46,10.0,3.5,0,0,,0,0,1,0,0,1,,UTEP,2015
Dashone Smith,dashone-smith-1,/cfb/players/dashone-smith-1.html,DB,12,20,21,41,1.5,0.0,1,65,65.0,1,0,1,0,0,0,,UTEP,2015
Kalon Beverly,kalon-beverly-1,/cfb/players/kalon-beverly-1.html,DB,11,27,13,40,0.0,0.0,1,24,24.0,1,2,0,0,0,0,,UTEP,2015
Michael Lewis,michael-lewis-2,/cfb/players/michael-lewis-2.html,DB,12,28,10,38,0.0,0.0,0,0,,0,2,0,0,0,0,,UTEP,2015
Nick Needham,nick-needham-1,/cfb/players/nick-needham-1.html,DB,11,25,13,38,2.0,0.5,1,27,27.0,0,5,0,0,0,0,,UTEP,2015
Ishmael Harrison,ishmael-harrison-1,/cfb/players/ishmael-harrison-1.html,DB,10,23,12,35,3.0,0.0,0,0,,0,6,0,0,0,0,,UTEP,2015
Kelvin Fisher,kelvin-fisher-3,/cfb/players/kelvin-fisher-3.html,DB,11,19,14,33,0.0,0.0,1,0,0.0,0,4,0,0,0,0,,UTEP,2015
