Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Andrew Martel,andrew-martel-1,/cfb/players/andrew-martel-1.html,LB,12,57,26,83,7.0,1.0,0,0,,0,2,0,0,0,1,,UTSA,2019
Carl Austin III,carl-austin-iii-1,/cfb/players/carl-austin-iii-1.html,S,12,47,20,67,7.5,0.0,0,0,,0,1,0,0,0,1,,UTSA,2019
Trevor Harmanson,trevor-harmanson-1,/cfb/players/trevor-harmanson-1.html,LB,12,34,14,48,8.5,0.0,0,0,,0,1,1,0,0,0,,UTSA,2019
Rashad Wisdom,rashad-wisdom-1,/cfb/players/rashad-wisdom-1.html,S,12,31,13,44,5.5,2.0,1,34,34.0,1,1,1,0,0,1,,UTSA,2019
Jaylon Haynes,jaylon-haynes-1,/cfb/players/jaylon-haynes-1.html,DT,12,25,15,40,12.5,2.0,0,0,,0,2,1,0,0,1,,UTSA,2019
Savion Harris,savion-harris-1,/cfb/players/savion-harris-1.html,S,11,25,13,38,0.5,0.0,1,0,0.0,0,3,0,0,0,0,,UTSA,2019
Jarrod Carter-McLin,jarrod-carter-mclin-1,/cfb/players/jarrod-carter-mclin-1.html,DE,12,20,17,37,9.5,4.5,1,2,2.0,0,2,1,0,0,1,,UTSA,2019
Kelechi Nwachuku,kelechi-nwachuku-1,/cfb/players/kelechi-nwachuku-1.html,S,12,23,13,36,1.0,0.0,0,0,,0,3,0,0,0,0,,UTSA,2019
Cassius Grady,cassius-grady-1,/cfb/players/cassius-grady-1.html,CB,11,32,3,35,3.0,1.0,2,-3,-1.5,0,7,0,0,0,1,,UTSA,2019
DeQuarius Henry,dequarius-henry-1,/cfb/players/dequarius-henry-1.html,DE,12,21,8,29,9.0,5.0,0,0,,0,0,0,0,0,1,,UTSA,2019
Clarence Hicks,clarence-hicks-1,/cfb/players/clarence-hicks-1.html,DE,12,19,6,25,10.0,2.0,0,0,,0,1,0,0,0,1,,UTSA,2019
Jahmal Sam,jahmal-sam-1,/cfb/players/jahmal-sam-1.html,S,12,19,5,24,0.5,0.0,0,0,,0,0,0,0,0,2,,UTSA,2019
Eric Banks,eric-banks-1,/cfb/players/eric-banks-1.html,DE,12,15,8,23,3.5,3.0,0,0,,0,2,1,0,0,1,,UTSA,2019
