Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
MJ Tafisi,mj-tafisi-1,/cfb/players/mj-tafisi-1.html,LB,13,55,87,142,7.5,0.0,0,0,,0,1,0,0,0,2,,Utah State,2023
Ike Larsen,ike-larsen-1,/cfb/players/ike-larsen-1.html,S,13,58,45,103,4.5,0.0,4,109,27.3,1,6,0,0,0,1,,Utah State,2023
Anthony Switzer,anthony-switzer-1,/cfb/players/anthony-switzer-1.html,S,12,39,45,84,8.0,3.0,1,2,2.0,0,4,1,0,0,0,,Utah State,2023
Devin Dye,devin-dye-1,/cfb/players/devin-dye-1.html,S,12,37,44,81,1.5,0.0,2,14,7.0,0,7,1,0,0,1,,Utah State,2023
Simeon Harris,simeon-harris-1,/cfb/players/simeon-harris-1.html,S,13,31,28,59,2.5,0.0,1,0,0.0,0,4,1,0,0,0,,Utah State,2023
Jaiden Francois,jaiden-francois-1,/cfb/players/jaiden-francois-1.html,DB,12,21,36,57,3.5,1.0,1,75,75.0,1,2,0,0,0,1,,Utah State,2023
Paul Fitzgerald,paul-fitzgerald-2,/cfb/players/paul-fitzgerald-2.html,DE,13,23,22,45,9.0,8.0,0,0,,0,1,0,0,0,1,,Utah State,2023
Michael Anyanwu,michael-anyanwu-1,/cfb/players/michael-anyanwu-1.html,CB,13,23,18,41,0.0,0.0,0,0,,0,5,1,0,0,2,,Utah State,2023
Hale Motu'apuaka,hale-motuapuaka-1,/cfb/players/hale-motuapuaka-1.html,DT,12,14,18,32,5.5,3.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Logan Pili,logan-pili-1,/cfb/players/logan-pili-1.html,LB,12,13,18,31,4.0,1.0,0,0,,0,1,0,0,0,0,,Utah State,2023
Cian Slone,cian-slone-1,/cfb/players/cian-slone-1.html,DE,13,12,16,28,6.5,2.0,0,0,,0,4,1,0,0,0,,Utah State,2023
Blaine Spires,blaine-spires-1,/cfb/players/blaine-spires-1.html,DE,12,13,14,27,8.5,5.0,0,0,,0,1,3,0,0,1,,Utah State,2023
JD Drew,jd-drew-1,/cfb/players/jd-drew-1.html,CB,11,16,11,27,0.0,0.0,0,0,,0,6,0,0,0,0,,Utah State,2023
Seni Tuiaki,seni-tuiaki-1,/cfb/players/seni-tuiaki-1.html,DT,13,13,12,25,3.5,0.0,1,63,63.0,1,1,1,0,0,0,,Utah State,2023
Cole Joyce,cole-joyce-1,/cfb/players/cole-joyce-1.html,LB,13,9,16,25,2.0,2.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Enoka Migao,enoka-migao-1,/cfb/players/enoka-migao-1.html,DE,13,7,15,22,3.0,1.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Gavin Barthiel,gavin-barthiel-1,/cfb/players/gavin-barthiel-1.html,LB,13,7,11,18,2.0,1.0,0,0,,0,1,0,0,0,0,,Utah State,2023
Xavion Steele,xavion-steele-1,/cfb/players/xavion-steele-1.html,CB,12,12,5,17,0.0,0.0,0,0,,0,1,0,0,0,0,,Utah State,2023
Avante Dickerson,avante-dickerson-1,/cfb/players/avante-dickerson-1.html,DB,11,10,7,17,0.0,0.0,0,0,,0,6,0,0,0,0,,Utah State,2023
Bo Maile,bo-maile-1,/cfb/players/bo-maile-1.html,DT,11,7,7,14,0.5,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
John Ward,john-ward-4,/cfb/players/john-ward-4.html,DE,13,5,8,13,2.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Sir Mells,sir-mells-1,/cfb/players/sir-mells-1.html,DT,12,5,7,12,1.0,1.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Bronson Olevao,bronson-olevao-1,/cfb/players/bronson-olevao-1.html,LB,3,5,1,6,2.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Poukesi Vakauta,poukesi-vakauta-1,/cfb/players/poukesi-vakauta-1.html,DT,10,0,5,5,0.5,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Clifton Mosley Jr.,clifton-mosley-jr-1,/cfb/players/clifton-mosley-jr-1.html,DT,5,3,2,5,1.5,1.0,0,0,,0,0,0,0,0,1,,Utah State,2023
Javar Strong,javar-strong-2,/cfb/players/javar-strong-2.html,S,4,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Broc Lane,broc-lane-1,/cfb/players/broc-lane-1.html,TE,11,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Al Ashford,al-ashford-1,/cfb/players/al-ashford-1.html,CB,13,0,4,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Jalen Royals,jalen-royals-1,/cfb/players/jalen-royals-1.html,WR,13,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Gabriel Bryan,gabriel-bryan-1,/cfb/players/gabriel-bryan-1.html,CB,2,3,0,3,0.0,0.0,0,0,,0,2,0,0,0,0,,Utah State,2023
Kyrese Rowan,kyrese-rowan-2,/cfb/players/kyrese-rowan-2.html,WR,13,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Ioholani Raass,ioholani-raass-2,/cfb/players/ioholani-raass-2.html,DE,8,1,1,2,1.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Elliott Nimrod,elliott-nimrod-1,/cfb/players/elliott-nimrod-1.html,K,12,0,2,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Josh Sterzer,josh-sterzer-1,/cfb/players/josh-sterzer-1.html,TE,5,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Teeg Slone,teeg-slone-1,/cfb/players/teeg-slone-1.html,S,2,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Siaosi Lauhingoa,siaosi-lauhingoa-1,/cfb/players/siaosi-lauhingoa-1.html,DT,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Adam Tomczyk,adam-tomczyk-1,/cfb/players/adam-tomczyk-1.html,DE,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Zion Andreasen,zion-andreasen-1,/cfb/players/zion-andreasen-1.html,DE,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Ryan Marks,ryan-marks-2,/cfb/players/ryan-marks-2.html,K,9,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Micah Davis,micah-davis-1,/cfb/players/micah-davis-1.html,WR,11,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Make Tu'akoi,make-tuakoi-1,/cfb/players/make-tuakoi-1.html,DE,2,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Jacob Garcia,jacob-garcia-2,/cfb/players/jacob-garcia-2.html,LS,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Falepule Alo,falepule-alo-1,/cfb/players/falepule-alo-1.html,OL,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Davon Booth,davon-booth-1,/cfb/players/davon-booth-1.html,RB,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Cole Motes,cole-motes-1,/cfb/players/cole-motes-1.html,OL,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,1,,Utah State,2023
Colby Bowman,colby-bowman-1,/cfb/players/colby-bowman-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Utah State,2023
Wade Meacham,wade-meacham-1,/cfb/players/wade-meacham-1.html,OL,13,0,0,0,0.0,0.0,0,0,,0,0,1,0,0,0,,Utah State,2023
