Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Nick Jackson,nick-jackson-2,/cfb/players/nick-jackson-2.html,LB,10,41,63,104,7.0,5.0,0,0,,0,4,1,0,0,0,,Virginia,2022
Jonas Sanker,jonas-sanker-1,/cfb/players/jonas-sanker-1.html,DB,10,36,27,63,0.5,0.0,1,14,14.0,0,2,1,0,0,1,,Virginia,2022
James Jackson,james-jackson-8,/cfb/players/james-jackson-8.html,LB,10,29,31,60,1.5,1.0,0,0,,0,1,0,0,0,0,,Virginia,2022
Antonio Clary,antonio-clary-1,/cfb/players/antonio-clary-1.html,DB,8,31,25,56,1.5,1.0,1,26,26.0,0,1,0,0,0,1,,Virginia,2022
Anthony Johnson,anthony-johnson-14,/cfb/players/anthony-johnson-14.html,DB,10,34,17,51,3.0,0.0,2,0,0.0,0,12,0,0,0,0,,Virginia,2022
Coen King,coen-king-1,/cfb/players/coen-king-1.html,DB,6,27,17,44,0.0,0.0,1,0,0.0,0,1,0,0,0,0,,Virginia,2022
Langston Long,langston-long-1,/cfb/players/langston-long-1.html,DB,8,23,21,44,2.0,0.0,0,0,,0,2,1,0,0,1,,Virginia,2022
Aaron Faumui,aaron-faumui-1,/cfb/players/aaron-faumui-1.html,DL,10,16,23,39,8.5,4.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Fentrell Cypress II,fentrell-cypress-ii-1,/cfb/players/fentrell-cypress-ii-1.html,DB,9,28,11,39,0.0,0.0,0,0,,0,14,1,5,0,0,,Virginia,2022
Chico Bennett Jr.,chico-bennett-jr-1,/cfb/players/chico-bennett-jr-1.html,LB,10,17,17,34,7.5,7.0,0,0,,0,0,1,0,0,2,,Virginia,2022
Jahmeer Carter,jahmeer-carter-1,/cfb/players/jahmeer-carter-1.html,DL,10,9,20,29,1.0,0.0,0,0,,0,0,1,0,0,0,,Virginia,2022
Kameron Butler,kameron-butler-1,/cfb/players/kameron-butler-1.html,DL,10,12,17,29,4.5,3.0,0,0,,0,0,0,0,0,2,,Virginia,2022
Josh Ahern,josh-ahern-1,/cfb/players/josh-ahern-1.html,LB,6,9,17,26,1.5,1.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Darrius Bratton,darrius-bratton-1,/cfb/players/darrius-bratton-1.html,DB,9,10,12,22,0.5,0.5,0,0,,0,0,0,0,0,0,,Virginia,2022
Paul Akere,paul-akere-1,/cfb/players/paul-akere-1.html,DL,10,6,16,22,4.0,4.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Olasunkonmi Agunloye,olasunkonmi-agunloye-1,/cfb/players/olasunkonmi-agunloye-1.html,DT,10,10,10,20,2.0,1.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Ben Smiley III,ben-smiley-iii-1,/cfb/players/ben-smiley-iii-1.html,DL,8,3,10,13,1.5,1.5,0,0,,0,0,0,0,0,0,,Virginia,2022
Donovan Johnson,donovan-johnson-2,/cfb/players/donovan-johnson-2.html,DB,6,4,4,8,0.0,0.0,0,0,,0,0,1,0,0,0,,Virginia,2022
D'Sean Perry,dsean-perry-1,/cfb/players/dsean-perry-1.html,LB,6,5,2,7,1.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Hunter Stewart,hunter-stewart-1,/cfb/players/hunter-stewart-1.html,LB,4,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Stevie Bracey,stevie-bracey-1,/cfb/players/stevie-bracey-1.html,LB,7,2,4,6,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Chayce Chalmers,chayce-chalmers-1,/cfb/players/chayce-chalmers-1.html,DB,9,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Michael Diatta,michael-diatta-1,/cfb/players/michael-diatta-1.html,DL,9,3,2,5,2.0,1.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Jack Camper,jack-camper-1,/cfb/players/jack-camper-1.html,DT,7,0,5,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Micah Gaffney,micah-gaffney-1,/cfb/players/micah-gaffney-1.html,DB,9,1,4,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Terrell Jones,terrell-jones-2,/cfb/players/terrell-jones-2.html,DL,1,4,0,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Jaylon Baker,jaylon-baker-1,/cfb/players/jaylon-baker-1.html,DB,5,1,3,4,0.5,0.0,0,0,,0,1,0,0,0,0,,Virginia,2022
Dave Herard,dave-herard-1,/cfb/players/dave-herard-1.html,DB,8,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Jonathan Horton,jonathan-horton-1,/cfb/players/jonathan-horton-1.html,LB,9,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,1,,Virginia,2022
DeVontae Davis,devontae-davis-1,/cfb/players/devontae-davis-1.html,DL,5,1,2,3,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Kendall Cross,kendall-cross-1,/cfb/players/kendall-cross-1.html,LB,5,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Perris Jones,perris-jones-1,/cfb/players/perris-jones-1.html,RB,8,1,1,2,0.0,0.0,0,0,,0,0,1,0,0,0,,Virginia,2022
Sam Brady,sam-brady-2,/cfb/players/sam-brady-2.html,LB,7,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Elijah Gaines,elijah-gaines-1,/cfb/players/elijah-gaines-1.html,DB,8,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Grant Misch,grant-misch-1,/cfb/players/grant-misch-1.html,TE,10,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Ronnie Walker Jr.,ronnie-walker-jr-1,/cfb/players/ronnie-walker-jr-1.html,RB,3,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Sean Wilson,sean-wilson-4,/cfb/players/sean-wilson-4.html,WR,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Xavier Brown,xavier-brown-1,/cfb/players/xavier-brown-1.html,RB,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Lavel Davis,lavel-davis-1,/cfb/players/lavel-davis-1.html,WR,8,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Karson Gay,karson-gay-1,/cfb/players/karson-gay-1.html,TE,2,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Derek Devine,derek-devine-2,/cfb/players/derek-devine-2.html,OL,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Daniel Sparks,daniel-sparks-1,/cfb/players/daniel-sparks-1.html,P,10,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Bryce Carter,bryce-carter-1,/cfb/players/bryce-carter-1.html,DL,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
Aidian Livingston,aidian-livingston-1,/cfb/players/aidian-livingston-1.html,LS,10,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia,2022
