Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Dax Hollifield,dax-hollifield-1,/cfb/players/dax-hollifield-1.html,LB,11,34,48,82,6.5,2.0,0,0,,0,6,2,6,0,1,,Virginia Tech,2022
Chamarri Conner,chamarri-conner-1,/cfb/players/chamarri-conner-1.html,DB,11,38,29,67,2.0,0.0,0,0,,0,2,0,0,0,0,,Virginia Tech,2022
Nasir Peoples,nasir-peoples-1,/cfb/players/nasir-peoples-1.html,DB,11,30,31,61,4.5,0.0,0,0,,0,1,0,0,0,0,,Virginia Tech,2022
Jalen Stroman,jalen-stroman-1,/cfb/players/jalen-stroman-1.html,DB,11,22,21,43,0.0,0.0,0,0,,0,2,0,0,0,2,,Virginia Tech,2022
Keonta Jenkins,keonta-jenkins-1,/cfb/players/keonta-jenkins-1.html,LB,11,23,17,40,2.0,0.0,1,0,0.0,0,3,0,0,0,0,,Virginia Tech,2022
Mansoor Delane,mansoor-delane-1,/cfb/players/mansoor-delane-1.html,DB,8,17,21,38,3.5,0.0,1,0,0.0,0,8,0,0,0,2,,Virginia Tech,2022
Alan Tisdale,alan-tisdale-1,/cfb/players/alan-tisdale-1.html,LB,5,12,24,36,1.0,1.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
TyJuan Garbutt,tyjuan-garbutt-1,/cfb/players/tyjuan-garbutt-1.html,DL,9,15,14,29,12.0,6.5,0,0,,0,1,0,0,0,2,,Virginia Tech,2022
Jaylen Griffin,jaylen-griffin-1,/cfb/players/jaylen-griffin-1.html,DL,11,14,13,27,5.5,2.0,0,0,,0,0,1,0,0,0,,Virginia Tech,2022
Jaden Keller,jaden-keller-1,/cfb/players/jaden-keller-1.html,LB,11,13,12,25,1.5,1.0,0,0,,0,0,0,0,0,1,,Virginia Tech,2022
Ny'Quee Hawkins,nyquee-hawkins-1,/cfb/players/nyquee-hawkins-1.html,DB,9,12,13,25,0.5,0.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
Cole Nelson,cole-nelson-1,/cfb/players/cole-nelson-1.html,DL,11,7,17,24,5.5,2.0,0,0,,0,1,0,0,0,0,,Virginia Tech,2022
Keli Lawson,keli-lawson-1,/cfb/players/keli-lawson-1.html,LB,8,11,12,23,3.0,1.0,1,7,7.0,1,1,1,0,0,0,,Virginia Tech,2022
Armani Chatman,armani-chatman-1,/cfb/players/armani-chatman-1.html,DB,11,18,4,22,1.0,0.0,1,31,31.0,0,5,0,0,0,0,,Virginia Tech,2022
C.J. McCray,cj-mccray-1,/cfb/players/cj-mccray-1.html,DL,11,8,12,20,2.5,2.0,0,0,,0,0,0,0,0,1,,Virginia Tech,2022
Jayden McDonald,jayden-mcdonald-2,/cfb/players/jayden-mcdonald-2.html,LB,10,6,14,20,3.0,1.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
Mario Kendricks,mario-kendricks-1,/cfb/players/mario-kendricks-1.html,DL,11,10,9,19,5.0,1.0,0,0,,0,3,0,0,0,0,,Virginia Tech,2022
J.R. Walker,jr-walker-1,/cfb/players/jr-walker-1.html,LB,10,8,10,18,2.0,0.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
Brion Murray,brion-murray-1,/cfb/players/brion-murray-1.html,DB,7,10,7,17,1.0,1.0,0,0,,0,2,0,0,0,0,,Virginia Tech,2022
Norell Pollard,norell-pollard-1,/cfb/players/norell-pollard-1.html,DL,11,4,11,15,3.0,1.5,0,0,,0,1,0,0,0,0,,Virginia Tech,2022
Josh Fuga,josh-fuga-1,/cfb/players/josh-fuga-1.html,DL,10,1,11,12,2.0,0.5,0,0,,0,2,0,0,0,0,,Virginia Tech,2022
Wilfried Pene,wilfried-pene-1,/cfb/players/wilfried-pene-1.html,DL,11,3,9,12,2.0,0.5,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
Keshon Artis,keshon-artis-1,/cfb/players/keshon-artis-1.html,LB,11,4,6,10,1.5,0.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
Dorian Strong,dorian-strong-1,/cfb/players/dorian-strong-1.html,DB,4,7,3,10,0.0,0.0,0,0,,0,3,1,0,0,0,,Virginia Tech,2022
Jalen Hoyle,jalen-hoyle-1,/cfb/players/jalen-hoyle-1.html,DB,11,4,2,6,1.0,0.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
DJ Harvey,dj-harvey-1,/cfb/players/dj-harvey-1.html,DB,10,3,3,6,1.0,0.0,0,0,,0,1,0,0,0,1,,Virginia Tech,2022
Nyke Johnson,nyke-johnson-1,/cfb/players/nyke-johnson-1.html,DB,8,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Virginia Tech,2022
