Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Ryan Smenda Jr.,ryan-smenda-jr-1,/cfb/players/ryan-smenda-jr-1.html,LB,13,38,43,81,7.0,2.5,1,3,3.0,0,3,1,0,0,0,,Wake Forest,2019
Ja'Cquez Williams,jacquez-williams-3,/cfb/players/jacquez-williams-3.html,LB,13,46,27,73,6.5,3.5,0,0,,0,1,1,0,0,2,,Wake Forest,2019
Justin Strnad,justin-strnad-1,/cfb/players/justin-strnad-1.html,LB,7,38,31,69,5.5,2.0,1,0,0.0,0,4,0,0,0,0,,Wake Forest,2019
Nasir Greer,nasir-greer-1,/cfb/players/nasir-greer-1.html,DB,12,44,21,65,0.0,0.0,1,0,0.0,0,4,0,0,0,3,,Wake Forest,2019
Trey Rucker,trey-rucker-1,/cfb/players/trey-rucker-1.html,DB,13,39,26,65,2.0,0.0,1,0,0.0,0,0,1,0,0,0,,Wake Forest,2019
Essang Bassey,essang-bassey-1,/cfb/players/essang-bassey-1.html,DB,13,41,19,60,2.5,0.0,1,1,1.0,0,11,1,4,0,0,,Wake Forest,2019
Carlos Basham Jr.,carlos-basham-jr-1,/cfb/players/carlos-basham-jr-1.html,DL,13,26,31,57,18.0,11.0,0,0,,0,3,0,0,0,3,,Wake Forest,2019
JaCorey Johns,jacorey-johns-1,/cfb/players/jacorey-johns-1.html,DE,13,29,24,53,8.0,3.0,0,0,,0,0,0,0,0,0,,Wake Forest,2019
Traveon Redd,traveon-redd-1,/cfb/players/traveon-redd-1.html,DB,13,27,21,48,4.5,1.5,0,0,,0,1,1,35,0,0,,Wake Forest,2019
Amari Henderson,amari-henderson-1,/cfb/players/amari-henderson-1.html,DB,13,32,8,40,2.0,0.0,4,3,0.8,0,10,1,0,0,0,,Wake Forest,2019
Rondell Bothroyd,rondell-bothroyd-1,/cfb/players/rondell-bothroyd-1.html,DL,12,14,17,31,4.0,1.5,0,0,,0,0,1,0,0,0,,Wake Forest,2019
Ja'Sir Taylor,jasir-taylor-1,/cfb/players/jasir-taylor-1.html,DB,13,26,4,30,2.0,1.0,2,0,0.0,0,2,0,0,0,1,,Wake Forest,2019
Coby Davis,coby-davis-1,/cfb/players/coby-davis-1.html,DB,11,19,9,28,1.0,0.0,0,0,,0,1,0,0,0,1,,Wake Forest,2019
Sulaiman Kamara,sulaiman-kamara-1,/cfb/players/sulaiman-kamara-1.html,DL,12,9,16,25,1.5,0.0,0,0,,0,0,1,0,0,0,,Wake Forest,2019
Chase Jones,chase-jones-2,/cfb/players/chase-jones-2.html,LB,7,13,11,24,1.0,0.0,0,0,,0,1,1,0,0,0,,Wake Forest,2019
Tyler Williams,tyler-williams-9,/cfb/players/tyler-williams-9.html,DL,10,15,9,24,6.5,0.5,0,0,,0,0,0,0,0,1,,Wake Forest,2019
Chase Monroe,chase-monroe-1,/cfb/players/chase-monroe-1.html,LB,11,11,10,21,1.0,0.0,1,0,0.0,0,0,0,0,0,1,,Wake Forest,2019
Dion Bergan,dion-bergan-1,/cfb/players/dion-bergan-1.html,DL,13,9,11,20,3.5,1.5,0,0,,0,0,0,0,0,0,,Wake Forest,2019
Luke Masterson,luke-masterson-1,/cfb/players/luke-masterson-1.html,DB,6,11,8,19,3.0,1.0,0,0,,0,3,1,0,0,0,,Wake Forest,2019
Shamar McCollum,shamar-mccollum-1,/cfb/players/shamar-mccollum-1.html,DL,11,6,8,14,4.5,2.0,0,0,,0,0,0,0,0,0,,Wake Forest,2019
Royce Francis,royce-francis-1,/cfb/players/royce-francis-1.html,DL,11,3,9,12,1.5,0.0,0,0,,0,0,0,0,0,0,,Wake Forest,2019
DeAndre' Delaney,deandre-delaney-1,/cfb/players/deandre-delaney-1.html,RB,9,5,3,8,0.0,0.0,0,0,,0,0,0,0,0,1,,Wake Forest,2019
