Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Jahad Woods,jahad-woods-1,/cfb/players/jahad-woods-1.html,LB,13,55,54,109,5.5,0.0,1,0,0.0,0,2,1,0,0,2,,Washington State,2021
Justus Rogers,justus-rogers-1,/cfb/players/justus-rogers-1.html,LB,13,40,33,73,7.5,0.0,2,65,32.5,0,4,1,23,0,2,,Washington State,2021
Armani Marsh,armani-marsh-1,/cfb/players/armani-marsh-1.html,DB,12,48,22,70,5.5,0.0,3,44,14.7,1,4,0,0,0,2,,Washington State,2021
George Hicks,george-hicks-1,/cfb/players/george-hicks-1.html,DB,13,45,20,65,2.0,0.0,1,0,0.0,0,4,0,0,0,1,,Washington State,2021
Ron Stone Jr.,ron-stone-jr-1,/cfb/players/ron-stone-jr-1.html,DE,13,34,29,63,11.5,5.0,0,0,,0,3,1,0,0,1,,Washington State,2021
Daniel Isom,daniel-isom-1,/cfb/players/daniel-isom-1.html,DB,11,27,30,57,3.5,1.0,1,27,27.0,0,3,0,0,0,2,,Washington State,2021
Brennan Jackson,brennan-jackson-1,/cfb/players/brennan-jackson-1.html,DE,13,20,26,46,6.0,4.0,1,0,0.0,0,2,1,0,0,0,,Washington State,2021
Derrick Langford,derrick-langford-1,/cfb/players/derrick-langford-1.html,DB,13,26,14,40,0.5,0.0,2,36,18.0,0,3,0,0,0,3,,Washington State,2021
Travion Brown,travion-brown-1,/cfb/players/travion-brown-1.html,LB,12,23,13,36,0.0,0.0,1,0,0.0,0,1,1,0,0,1,,Washington State,2021
Jaylen Watson,jaylen-watson-2,/cfb/players/jaylen-watson-2.html,DB,12,23,8,31,1.0,0.0,2,11,5.5,0,3,4,49,0,0,,Washington State,2021
Tyrone Hill Jr.,tyrone-hill-jr-1,/cfb/players/tyrone-hill-jr-1.html,DB,12,12,8,20,2.0,0.0,0,0,,0,2,0,0,0,0,,Washington State,2021
Kyle Thornton,kyle-thornton-1,/cfb/players/kyle-thornton-1.html,LB,12,8,10,18,1.0,0.0,0,0,,0,1,0,0,0,0,,Washington State,2021
Quinn Roff,quinn-roff-1,/cfb/players/quinn-roff-1.html,DE,13,11,7,18,4.0,2.5,0,0,,0,0,0,0,0,1,,Washington State,2021
Amir Mujahid,amir-mujahid-1,/cfb/players/amir-mujahid-1.html,DL,13,6,11,17,1.0,0.0,0,0,,0,0,1,0,0,1,,Washington State,2021
Christian Mejia,christian-mejia-1,/cfb/players/christian-mejia-1.html,DL,13,6,11,17,2.5,1.0,0,0,,0,0,1,0,0,0,,Washington State,2021
Francisco Mauigoa,francisco-mauigoa-1,/cfb/players/francisco-mauigoa-1.html,LB,13,10,7,17,0.5,0.0,0,0,,0,0,0,0,0,0,,Washington State,2021
Chau Smith-Wade,chau-smith-wade-1,/cfb/players/chau-smith-wade-1.html,DB,11,9,7,16,0.5,0.0,1,0,0.0,0,3,0,0,0,0,,Washington State,2021
Willie Taylor,willie-taylor-4,/cfb/players/willie-taylor-4.html,DE,13,5,9,14,2.5,2.5,0,0,,0,0,0,0,0,1,,Washington State,2021
Antonio Pule,antonio-pule-1,/cfb/players/antonio-pule-1.html,DL,13,7,7,14,1.5,1.0,0,0,,0,1,0,0,0,0,,Washington State,2021
Ahmir Crowder,ahmir-crowder-1,/cfb/players/ahmir-crowder-1.html,DL,12,8,5,13,1.5,1.0,0,0,,0,0,0,0,0,1,,Washington State,2021
Andrew Edson,andrew-edson-1,/cfb/players/andrew-edson-1.html,DE,13,6,4,10,4.5,2.5,0,0,,0,0,2,0,0,0,,Washington State,2021
Kaleb Ford-Dement,kaleb-ford-dement-1,/cfb/players/kaleb-ford-dement-1.html,DB,12,6,4,10,1.0,0.0,0,0,,0,1,0,0,0,0,,Washington State,2021
Tanner Moku,tanner-moku-1,/cfb/players/tanner-moku-1.html,DB,9,7,1,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Washington State,2021
Lincoln Victor,lincoln-victor-1,/cfb/players/lincoln-victor-1.html,WR,13,6,2,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Washington State,2021
Chris Jackson,chris-jackson-13,/cfb/players/chris-jackson-13.html,DB,9,3,2,5,0.0,0.0,0,0,,0,0,1,0,0,0,,Washington State,2021
Halid Djibril,halid-djibril-1,/cfb/players/halid-djibril-1.html,DB,2,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,1,,Washington State,2021
Joey Hobert,joey-hobert-1,/cfb/players/joey-hobert-1.html,WR,13,2,3,5,0.0,0.0,0,0,,0,0,0,0,0,1,,Washington State,2021
Ben Wilson,ben-wilson-3,/cfb/players/ben-wilson-3.html,LB,10,3,2,5,0.0,0.0,0,0,,0,0,0,0,0,0,,Washington State,2021
Dallas Hobbs,dallas-hobbs-1,/cfb/players/dallas-hobbs-1.html,DL,7,1,3,4,0.5,0.0,0,0,,0,0,0,0,0,0,,Washington State,2021
