Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Josh Chandler,josh-chandler-1,/cfb/players/josh-chandler-1.html,LB,13,68,42,110,5.5,1.5,2,0,0.0,0,3,0,0,0,2,,West Virginia,2021
Josh Chandler-Semedo,josh-chandler-semedo-1,/cfb/players/josh-chandler-semedo-1.html,,13,68,42,110,5.5,1.5,2,0,0.0,0,3,0,0,0,2,,West Virginia,2021
Sean Mahone,sean-mahone-3,/cfb/players/sean-mahone-3.html,S,13,54,27,81,4.0,0.5,2,29,14.5,0,2,0,0,0,1,,West Virginia,2021
Alonzo Addae,alonzo-addae-2,/cfb/players/alonzo-addae-2.html,S,13,45,28,73,4.5,1.0,0,0,,0,3,1,0,0,0,,West Virginia,2021
Daryl Porter Jr.,daryl-porter-jr-1,/cfb/players/daryl-porter-jr-1.html,CB,13,40,6,46,1.0,0.0,1,43,43.0,0,6,0,0,0,0,,West Virginia,2021
Jackie Matthews,jackie-matthews-1,/cfb/players/jackie-matthews-1.html,CB,13,34,9,43,6.5,1.0,1,0,0.0,0,3,0,0,0,0,,West Virginia,2021
Exree Loe,exree-loe-1,/cfb/players/exree-loe-1.html,LB,10,26,12,38,3.0,1.0,0,0,,0,0,0,0,0,1,,West Virginia,2021
Akheem Mesidor,akheem-mesidor-1,/cfb/players/akheem-mesidor-1.html,DL,13,24,14,38,8.0,4.5,0,0,,0,0,0,0,0,0,,West Virginia,2021
Taijh Alston,taijh-alston-1,/cfb/players/taijh-alston-1.html,DL,13,23,14,37,11.0,5.0,0,0,,0,0,0,0,0,1,,West Virginia,2021
Dante Stills,dante-stills-1,/cfb/players/dante-stills-1.html,DL,13,29,7,36,15.0,7.0,1,0,0.0,0,0,0,0,0,1,,West Virginia,2021
Lance Dixon,lance-dixon-2,/cfb/players/lance-dixon-2.html,LB,10,24,12,36,1.0,0.0,0,0,,0,1,0,0,0,0,,West Virginia,2021
Scottie Young,scottie-young-2,/cfb/players/scottie-young-2.html,S,10,27,6,33,2.0,0.0,0,0,,0,3,0,0,0,0,,West Virginia,2021
Charles Woods,charles-woods-4,/cfb/players/charles-woods-4.html,CB,11,23,8,31,2.0,0.0,2,32,16.0,0,4,2,0,0,0,,West Virginia,2021
Jared Bartlett,jared-bartlett-1,/cfb/players/jared-bartlett-1.html,LB,13,15,16,31,6.0,3.5,0,0,,0,0,1,0,0,1,,West Virginia,2021
Nicktroy Fortune,nicktroy-fortune-1,/cfb/players/nicktroy-fortune-1.html,CB,7,16,9,25,1.5,0.0,0,0,,0,1,0,0,0,0,,West Virginia,2021
Saint McLeod,saint-mcleod-1,/cfb/players/saint-mcleod-1.html,S,9,15,8,23,1.0,0.0,0,0,,0,0,0,0,0,2,,West Virginia,2021
Jordan Jefferson,jordan-jefferson-4,/cfb/players/jordan-jefferson-4.html,DL,13,7,10,17,4.0,0.5,0,0,,0,1,0,0,0,0,,West Virginia,2021
Sean Martin,sean-martin-3,/cfb/players/sean-martin-3.html,DL,13,5,11,16,0.5,0.0,0,0,,0,0,1,0,0,0,,West Virginia,2021
Vandarius Cowan,vandarius-cowan-1,/cfb/players/vandarius-cowan-1.html,LB,10,11,4,15,1.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Deshawn Stevens,deshawn-stevens-1,/cfb/players/deshawn-stevens-1.html,LB,12,9,2,11,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Malachi Ruffin,malachi-ruffin-1,/cfb/players/malachi-ruffin-1.html,S,11,8,2,10,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Edward Vesterinen,edward-vesterinen-1,/cfb/players/edward-vesterinen-1.html,DL,8,1,6,7,0.5,0.5,0,0,,0,0,0,0,0,0,,West Virginia,2021
Taurus Simmons,taurus-simmons-1,/cfb/players/taurus-simmons-1.html,DL,12,3,3,6,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Reese Smith,reese-smith-1,/cfb/players/reese-smith-1.html,WR,13,4,1,5,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Lanell Carr,lanell-carr-1,/cfb/players/lanell-carr-1.html,DL,10,2,2,4,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Kerry Martin Jr.,kerry-martin-jr-1,/cfb/players/kerry-martin-jr-1.html,S,4,3,0,3,1.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Jalen Thornton,jalen-thornton-1,/cfb/players/jalen-thornton-1.html,DL,12,3,0,3,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Bryce Ford-Wheaton,bryce-ford-wheaton-1,/cfb/players/bryce-ford-wheaton-1.html,WR,12,2,1,3,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Evan Matthes,evan-matthes-1,/cfb/players/evan-matthes-1.html,P,1,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Davis Mallinger,davis-mallinger-1,/cfb/players/davis-mallinger-1.html,S,4,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Darel Middleton,darel-middleton-1,/cfb/players/darel-middleton-1.html,DL,2,1,1,2,1.0,1.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Leddie Brown,leddie-brown-1,/cfb/players/leddie-brown-1.html,RB,12,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Ja'Corey Hammett,jacorey-hammett-1,/cfb/players/jacorey-hammett-1.html,LB,1,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Aubrey Burks,aubrey-burks-1,/cfb/players/aubrey-burks-1.html,DB,6,2,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Brayden Dudley,brayden-dudley-1,/cfb/players/brayden-dudley-1.html,DL,1,2,0,2,2.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Caleb Coleman,caleb-coleman-2,/cfb/players/caleb-coleman-2.html,DB,4,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Tavis Lee,tavis-lee-1,/cfb/players/tavis-lee-1.html,DL,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Andrew Wilson-Lamp,andrew-wilson-lamp-1,/cfb/players/andrew-wilson-lamp-1.html,CB,4,1,0,1,0.0,0.0,0,0,,0,1,0,0,0,0,,West Virginia,2021
Sam James,sam-james-1,/cfb/players/sam-james-1.html,WR,13,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Eddie Watkins,eddie-watkins-1,/cfb/players/eddie-watkins-1.html,LB,1,1,0,1,1.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Markquan Rucker,markquan-rucker-1,/cfb/players/markquan-rucker-1.html,RB,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Kaden Prather,kaden-prather-1,/cfb/players/kaden-prather-1.html,WR,12,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
J.P. Hadley,jp-hadley-1,/cfb/players/jp-hadley-1.html,LS,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
Derek Ambrosino,derek-ambrosino-1,/cfb/players/derek-ambrosino-1.html,LB,1,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,West Virginia,2021
