Player,Player_ID,Player_Link,pos,games,tackles_solo,tackles_assists,tackles_combined,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,awards,School,Year
Asantay Brown,asantay-brown-1,/cfb/players/asantay-brown-1.html,S,13,56,47,103,3.0,1.0,2,63,31.5,0,5,1,0,0,2,,Western Michigan,2015
Caleb Bailey,caleb-bailey-1,/cfb/players/caleb-bailey-1.html,LB,13,40,40,80,12.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Rontavious Atkins,rontavious-atkins-1,/cfb/players/rontavious-atkins-1.html,S,13,47,23,70,2.0,0.0,1,29,29.0,0,9,1,0,0,0,,Western Michigan,2015
Austin Lewis,austin-lewis-1,/cfb/players/austin-lewis-1.html,LB,13,33,33,66,5.5,0.0,0,0,,0,3,0,0,0,0,,Western Michigan,2015
Ronald Zamort,ronald-zamort-1,/cfb/players/ronald-zamort-1.html,CB,13,38,21,59,0.0,0.0,1,0,0.0,0,18,0,0,0,0,,Western Michigan,2015
Darius Phillips,darius-phillips-1,/cfb/players/darius-phillips-1.html,CB,13,36,12,48,5.0,0.0,5,50,10.0,1,16,1,1,0,2,,Western Michigan,2015
Robert Spillane,robert-spillane-1,/cfb/players/robert-spillane-1.html,LB,8,20,26,46,5.5,1.5,0,0,,0,2,0,0,0,1,,Western Michigan,2015
Grant Depalma,grant-depalma-1,/cfb/players/grant-depalma-1.html,LB,8,25,20,45,3.0,1.5,0,0,,0,1,0,0,0,0,,Western Michigan,2015
Keion Adams,keion-adams-1,/cfb/players/keion-adams-1.html,DE,13,25,15,40,9.0,4.5,0,0,,0,0,0,0,0,1,,Western Michigan,2015
Jarrell McKinney,jarrell-mckinney-1,/cfb/players/jarrell-mckinney-1.html,DE,13,19,17,36,4.0,2.5,0,0,,0,0,1,0,0,2,,Western Michigan,2015
Cleveland Smith,cleveland-smith-1,/cfb/players/cleveland-smith-1.html,DL,13,15,16,31,10.0,3.5,0,0,,0,0,0,0,0,1,,Western Michigan,2015
Jason Sylva,jason-sylva-1,/cfb/players/jason-sylva-1.html,LB,6,12,13,25,1.0,0.0,0,0,,0,1,0,0,0,1,,Western Michigan,2015
Nathan Braster,nathan-braster-1,/cfb/players/nathan-braster-1.html,DL,12,11,10,21,3.5,1.5,0,0,,0,1,0,0,0,0,,Western Michigan,2015
David Curle,david-curle-1,/cfb/players/david-curle-1.html,DL,13,6,13,19,2.0,1.0,0,0,,0,1,0,0,0,1,,Western Michigan,2015
Andre Turner,andre-turner-1,/cfb/players/andre-turner-1.html,DE,13,8,9,17,2.5,1.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Sam Beal,sam-beal-1,/cfb/players/sam-beal-1.html,WR,12,12,3,15,0.0,0.0,0,0,,0,1,0,0,0,0,,Western Michigan,2015
Eric Assoua,eric-assoua-1,/cfb/players/eric-assoua-1.html,DL,11,6,8,14,0.0,0.0,0,0,,0,1,0,0,0,0,,Western Michigan,2015
Jeremiah Mullinax,jeremiah-mullinax-1,/cfb/players/jeremiah-mullinax-1.html,TE,13,6,5,11,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Trevor Sweeney,trevor-sweeney-1,/cfb/players/trevor-sweeney-1.html,RB,13,8,2,10,0.0,0.0,0,0,,0,0,0,0,0,2,,Western Michigan,2015
Edward Rolle,edward-rolle-1,/cfb/players/edward-rolle-1.html,LB,7,4,4,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Michael Henry,michael-henry-1,/cfb/players/michael-henry-1.html,WR,13,5,3,8,0.0,0.0,0,0,,0,0,1,0,0,1,,Western Michigan,2015
Austin Guido,austin-guido-1,/cfb/players/austin-guido-1.html,RB,13,6,2,8,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Kasey Carson,kasey-carson-1,/cfb/players/kasey-carson-1.html,LB,9,5,3,8,1.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Jamar Simpkins,jamar-simpkins-1,/cfb/players/jamar-simpkins-1.html,DL,12,4,3,7,1.0,0.0,0,0,,0,0,1,0,0,0,,Western Michigan,2015
Ken Finley,ken-finley-1,/cfb/players/ken-finley-1.html,DL,10,1,6,7,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Ian Thomas,ian-thomas-2,/cfb/players/ian-thomas-2.html,DB,8,5,0,5,1.0,0.0,1,1,1.0,0,0,0,0,0,0,,Western Michigan,2015
Lucas Cherocci,lucas-cherocci-1,/cfb/players/lucas-cherocci-1.html,LB,10,5,0,5,2.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Justin Tranquill,justin-tranquill-1,/cfb/players/justin-tranquill-1.html,DB,4,5,0,5,0.0,0.0,0,0,,0,2,0,0,0,0,,Western Michigan,2015
Jeffery Johnson,jeffery-johnson-1,/cfb/players/jeffery-johnson-1.html,S,9,0,2,2,0.0,0.0,0,0,,0,0,1,0,0,0,,Western Michigan,2015
Justin Motley,justin-motley-1,/cfb/players/justin-motley-1.html,CB,9,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Derrick Mitchell,derrick-mitchell-2,/cfb/players/derrick-mitchell-2.html,P,13,1,1,2,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Nick Matich,nick-matich-1,/cfb/players/nick-matich-1.html,DL,7,0,1,1,0.0,0.0,0,0,,0,1,0,0,0,0,,Western Michigan,2015
Tyree Stone-Davis,tyree-stone-davis-1,/cfb/players/tyree-stone-davis-1.html,DB,1,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Wyatt Pfeifer,wyatt-pfeifer-1,/cfb/players/wyatt-pfeifer-1.html,LS,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Leo Ekwoge,leo-ekwoge-1,/cfb/players/leo-ekwoge-1.html,RB,7,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Jakevin Jackson,jakevin-jackson-1,/cfb/players/jakevin-jackson-1.html,LB,7,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Donnie Ernsberger,donnie-ernsberger-1,/cfb/players/donnie-ernsberger-1.html,TE,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Daniel Jackson,daniel-jackson-2,/cfb/players/daniel-jackson-2.html,DL,4,0,1,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Daniel Braverman,daniel-braverman-1,/cfb/players/daniel-braverman-1.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Corey Davis,corey-davis-3,/cfb/players/corey-davis-3.html,WR,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Chukwuma Okorafor,chukwuma-okorafor-1,/cfb/players/chukwuma-okorafor-1.html,OL,13,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
Antione Stone,antione-stone-1,/cfb/players/antione-stone-1.html,DB,4,1,0,1,0.0,0.0,0,0,,0,0,0,0,0,0,,Western Michigan,2015
