Player,Player_ID,Player_Link,team_name_abbr,conf_abbr,games,punt,punt_yds,punt_yds_per_punt,awards,Year
Ben Finley,ben-finley-1,/cfb/players/ben-finley-1.html,North Carolina State,ACC,1,1,55,55.0,,2020
Braxton Burmeister,braxton-burmeister-1,/cfb/players/braxton-burmeister-1.html,Virginia Tech,ACC,6,1,51,51.0,,2020
Matt Araiza,matt-araiza-1,/cfb/players/matt-araiza-1.html,San Diego State,MWC,8,5,249,49.8,,2020
Jeremy Crawshaw,jeremy-crawshaw-1,/cfb/players/jeremy-crawshaw-1.html,Florida,SEC,2,2,98,49.0,,2020
Charles Bein,charles-bein-1,/cfb/players/charles-bein-1.html,Air Force,MWC,1,2,96,48.0,,2020
Pressley Harvin III,pressley-harvin-iii-1,/cfb/players/pressley-harvin-iii-1.html,Georgia Tech,ACC,9,45,2161,48.0,AA,2020
Jonathan Garibay,jonathan-garibay-1,/cfb/players/jonathan-garibay-1.html,Texas Tech,Big 12,5,6,287,47.8,,2020
Colin Goodfellow,colin-goodfellow-1,/cfb/players/colin-goodfellow-1.html,Kentucky,SEC,2,10,477,47.7,,2020
Louis Hedley,louis-hedley-1,/cfb/players/louis-hedley-1.html,Miami (FL),ACC,11,49,2311,47.2,,2020
Michael Turk,michael-turk-1,/cfb/players/michael-turk-1.html,Arizona State,Pac-12,4,14,661,47.2,,2020
Josh Pederson,josh-pederson-1,/cfb/players/josh-pederson-1.html,Louisiana-Monroe,Sun Belt,10,1,47,47.0,,2020
Oscar Draguicevich,oscar-draguicevich-1,/cfb/players/oscar-draguicevich-1.html,Washington State,Pac-12,4,19,888,46.7,,2020
Jake Camarda,jake-camarda-1,/cfb/players/jake-camarda-1.html,Georgia,SEC,10,36,1677,46.6,,2020
Mac Brown,mac-brown-1,/cfb/players/mac-brown-1.html,Ole Miss,SEC,10,27,1259,46.6,,2020
Ben Griffiths,ben-griffiths-1,/cfb/players/ben-griffiths-1.html,USC,Pac-12,6,18,835,46.4,,2020
Austin McNamara,austin-mcnamara-1,/cfb/players/austin-mcnamara-1.html,Texas Tech,Big 12,9,41,1898,46.3,,2020
Jacob Finn,jacob-finn-1,/cfb/players/jacob-finn-1.html,Florida,SEC,12,26,1203,46.3,,2020
Julian Diaz,julian-diaz-1,/cfb/players/julian-diaz-1.html,Nevada,MWC,7,23,1065,46.3,,2020
Matt Freem,matt-freem-3,/cfb/players/matt-freem-3.html,Nevada,MWC,2,6,278,46.3,,2020
Jack Martin,jack-martin-2,/cfb/players/jack-martin-2.html,Troy,Sun Belt,11,25,1153,46.1,,2020
Lucas Dean,lucas-dean-1,/cfb/players/lucas-dean-1.html,UTSA,CUSA,12,57,2621,46.0,,2020
John Haggerty,john-haggerty-1,/cfb/players/john-haggerty-1.html,Western Kentucky,CUSA,12,56,2560,45.7,,2020
Tanner Brown,tanner-brown-1,/cfb/players/tanner-brown-1.html,Nevada-Las Vegas,MWC,6,12,546,45.5,,2020
George Caratan,george-caratan-1,/cfb/players/george-caratan-1.html,Arkansas,SEC,3,16,727,45.4,,2020
George Caratan,george-caratan-2,/cfb/players/george-caratan-2.html,Arkansas,SEC,3,16,727,45.4,,2020
Tanner Kuljian,tanner-kuljian-1,/cfb/players/tanner-kuljian-1.html,San Diego State,MWC,8,35,1589,45.4,,2020
Brad Robbins,brad-robbins-1,/cfb/players/brad-robbins-1.html,Michigan,Big Ten,5,23,1041,45.3,,2020
Ryan Stonehouse,ryan-stonehouse-1,/cfb/players/ryan-stonehouse-1.html,Colorado State,MWC,4,26,1178,45.3,,2020
Ryan Wright,ryan-wright-1,/cfb/players/ryan-wright-1.html,Tulane,American,11,52,2352,45.2,,2020
Max Duffy,max-duffy-1,/cfb/players/max-duffy-1.html,Kentucky,SEC,9,42,1895,45.1,,2020
Ryan Rehkow,ryan-rehkow-1,/cfb/players/ryan-rehkow-1.html,BYU,Ind,12,28,1264,45.1,,2020
Adrian Martinez,adrian-martinez-2,/cfb/players/adrian-martinez-2.html,Nebraska,Big Ten,7,1,45,45.0,,2020
Drue Chrisman,dru-chrisman-1,/cfb/players/dru-chrisman-1.html,Ohio State,Big Ten,7,27,1216,45.0,,2020
Tommy Martin,tommy-martin-2,/cfb/players/tommy-martin-2.html,Florida State,ACC,9,3,135,45.0,,2020
Trenton Gill,trenton-gill-1,/cfb/players/trenton-gill-1.html,North Carolina State,ACC,12,52,2334,44.9,,2020
Casey Glover,casey-glover-1,/cfb/players/casey-glover-1.html,Tulane,American,3,5,224,44.8,,2020
Luke Loecher,luke-loecher-1,/cfb/players/luke-loecher-1.html,Oregon State,Pac-12,7,12,538,44.8,,2020
Nolan Cooney,nolan-cooney-1,/cfb/players/nolan-cooney-1.html,Syracuse,ACC,11,74,3314,44.8,,2020
kirk Christodoulou,kirk-christodoulou-1,/cfb/players/kirk-christodoulou-1.html,Pitt,ACC,11,53,2368,44.7,,2020
Connor Bowler,connor-bowler-1,/cfb/players/connor-bowler-1.html,Charlotte,CUSA,6,28,1244,44.4,,2020
Tommy Heatherly,tommy-heatherly-1,/cfb/players/tommy-heatherly-1.html,Florida International,CUSA,5,32,1420,44.4,,2020
Jake Julien,jake-julien-1,/cfb/players/jake-julien-1.html,Eastern Michigan,MAC,6,16,708,44.3,,2020
Matt Hayball,matt-hayball-1,/cfb/players/matt-hayball-1.html,Florida Atlantic,CUSA,9,45,1983,44.1,,2020
Tory Taylor,tory-taylor-1,/cfb/players/tory-taylor-1.html,Iowa,Big Ten,8,40,1765,44.1,,2020
Adam Barry,adam-barry-1,/cfb/players/adam-barry-1.html,Temple,American,7,40,1760,44.0,,2020
Brady White,brady-white-1,/cfb/players/brady-white-1.html,Memphis,American,11,1,44,44.0,,2020
Corey Dunn,corey-dunn-1,/cfb/players/corey-dunn-1.html,Iowa State,Big 12,3,2,88,44.0,,2020
Will Spiers,will-spiers-1,/cfb/players/will-spiers-1.html,Clemson,ACC,12,45,1979,44.0,,2020
