Player,Player_ID,Player_Link,class,pos,summary,School,Year
Karson Roberts,karson-roberts-1,/cfb/players/karson-roberts-1.html,SR,QB,"77 Cmp, 148 Att, 1595 Yds, 11 TD",Air Force,2015
Nate Romine,nate-romine-1,/cfb/players/nate-romine-1.html,JR,QB,"7 Cmp, 18 Att, 143 Yds, 2 TD",Air Force,2015
Ryan Brand,ryan-brand-1,/cfb/players/ryan-brand-1.html,FR,QB,,Air Force,2015
Pate Davis,pate-davis-2,/cfb/players/pate-davis-2.html,JR,QB,,Air Force,2015
Jacobi Owens,jacobi-owens-1,/cfb/players/jacobi-owens-1.html,JR,RB,"206 Att, 1096 Yds, 5.3 Avg",Air Force,2015
D.J. Johnson,dj-johnson-5,/cfb/players/dj-johnson-5.html,JR,RB,"82 Att, 425 Yds, 5.2 Avg",Air Force,2015
Benton Washington,benton-washington-1,/cfb/players/benton-washington-1.html,SO,RB,"55 Att, 321 Yds, 5.8 Avg",Air Force,2015
Timothy McVey,timothy-mcvey-1,/cfb/players/timothy-mcvey-1.html,SO,RB,"51 Att, 435 Yds, 8.5 Avg",Air Force,2015
Bryan Driskell,bryan-driskell-1,/cfb/players/bryan-driskell-1.html,JR,RB,"50 Att, 363 Yds, 7.3 Avg",Air Force,2015
Shayne Davern,shayne-davern-1,/cfb/players/shayne-davern-1.html,JR,RB,"46 Att, 323 Yds, 7.0 Avg",Air Force,2015
Aub Duty-Tyson,aub-duty-tyson-1,/cfb/players/aub-duty-tyson-1.html,SO,RB,"24 Att, 101 Yds, 4.2 Avg",Air Force,2015
Jacob Stafford,jacob-stafford-1,/cfb/players/jacob-stafford-1.html,,RB,"9 Att, 27 Yds, 3.0 Avg",Air Force,2015
Jake LaCoste,jake-lacoste-1,/cfb/players/jake-lacoste-1.html,SO,RB,"7 Att, 36 Yds, 5.1 Avg",Air Force,2015
Scott Hester,scott-hester-1,/cfb/players/scott-hester-1.html,JR,RB,"6 Att, 34 Yds, 5.7 Avg",Air Force,2015
Devin Rushing,devin-rushing-1,/cfb/players/devin-rushing-1.html,SR,RB,"4 Att, 47 Yds, 11.8 Avg",Air Force,2015
Rona Cleveland,rona-cleveland-1,/cfb/players/rona-cleveland-1.html,,RB,"1 Att, 5 Yds, 5.0 Avg",Air Force,2015
Alex Backenstoe,alex-backenstoe-1,/cfb/players/alex-backenstoe-1.html,SO,RB,,Air Force,2015
Colby Stewart,colby-stewart-1,/cfb/players/colby-stewart-1.html,SO,RB,,Air Force,2015
Jalen Robinette,jalen-robinette-1,/cfb/players/jalen-robinette-1.html,JR,WR,"26 Rec, 641 Yds, 24.7 Avg",Air Force,2015
Tyler Williams,tyler-williams-5,/cfb/players/tyler-williams-5.html,SO,WR,"2 Rec, 10 Yds, 5.0 Avg",Air Force,2015
Garrett Brown,garrett-brown-2,/cfb/players/garrett-brown-2.html,SR,WR,"27 Rec, 557 Yds, 20.6 Avg",Air Force,2015
Alex Ludowig,alex-ludowig-1,/cfb/players/alex-ludowig-1.html,SR,WR,"2 Rec, 45 Yds, 22.5 Avg",Air Force,2015
Cody Apfel,cody-apfel-1,/cfb/players/cody-apfel-1.html,SR,WR,,Air Force,2015
Andrew Daughtery,andrew-daughtery-1,/cfb/players/andrew-daughtery-1.html,SO,WR,,Air Force,2015
Myles Barnes,myles-barnes-1,/cfb/players/myles-barnes-1.html,SR,WR,,Air Force,2015
Matt Galland,matt-galland-1,/cfb/players/matt-galland-1.html,JR,WR,,Air Force,2015
Nelson Onwuzu,nelson-onwuzu-2,/cfb/players/nelson-onwuzu-2.html,SR,WR,,Air Force,2015
Garrett Griffin,garrett-griffin-1,/cfb/players/garrett-griffin-1.html,SR,TE,"12 Rec, 208 Yds, 17.3 Avg",Air Force,2015
Ryan Reffitt,ryan-reffitt-1,/cfb/players/ryan-reffitt-1.html,SO,TE,"2 Rec, 14 Yds, 7.0 Avg",Air Force,2015
Jordan Clay,jordan-clay-1,/cfb/players/jordan-clay-1.html,SO,TE,,Air Force,2015
Riley Huff,riley-huff-1,/cfb/players/riley-huff-1.html,SR,TE,,Air Force,2015
Josh Self,josh-self-1,/cfb/players/josh-self-1.html,JR,TE,,Air Force,2015
Alex Norton,alex-norton-1,/cfb/players/alex-norton-1.html,SO,OL,,Air Force,2015
Colin Sandor,colin-sandor-1,/cfb/players/colin-sandor-1.html,JR,OL,,Air Force,2015
Luke Brantley,luke-brantley-1,/cfb/players/luke-brantley-1.html,SR,OL,,Air Force,2015
Allen Caunitz,allen-caunitz-1,/cfb/players/allen-caunitz-1.html,JR,OL,,Air Force,2015
Andrew Gikas,andrew-gikas-1,/cfb/players/andrew-gikas-1.html,JR,OL,,Air Force,2015
Patrick Halloran,patrick-halloran-1,/cfb/players/patrick-halloran-1.html,JR,OL,,Air Force,2015
Sevrin Remmo,sevrin-remmo-1,/cfb/players/sevrin-remmo-1.html,SR,OL,,Air Force,2015
Matt Rochell,matt-rochell-1,/cfb/players/matt-rochell-1.html,SR,OL,,Air Force,2015
A. J. Ruechel,andrew-ruechel-1,/cfb/players/andrew-ruechel-1.html,SR,OL,,Air Force,2015
Jordan Tyler,jordan-tyler-1,/cfb/players/jordan-tyler-1.html,SO,OL,,Air Force,2015
Dylan Vail,dylan-vail-1,/cfb/players/dylan-vail-1.html,JR,OL,,Air Force,2015
Jackson Wilson,jackson-wilson-1,/cfb/players/jackson-wilson-1.html,JR,OL,,Air Force,2015
Matthew Philichi,matthew-philichi-1,/cfb/players/matthew-philichi-1.html,,K,,Air Force,2015
Luke Strebel,luke-strebel-1,/cfb/players/luke-strebel-1.html,SO,K,,Air Force,2015
Samuel Byers,samuel-byers-1,/cfb/players/samuel-byers-1.html,JR,DL,,Air Force,2015
Kellen Cleveland,kellen-cleveland-1,/cfb/players/kellen-cleveland-1.html,JR,DL,,Air Force,2015
Santo Coppola,santo-coppola-1,/cfb/players/santo-coppola-1.html,SO,DL,,Air Force,2015
Lochlin Deeks,lochlin-deeks-1,/cfb/players/lochlin-deeks-1.html,JR,DL,,Air Force,2015
Alexander Hansen,alexander-hansen-1,/cfb/players/alexander-hansen-1.html,SR,DL,,Air Force,2015
David Harris,david-harris-4,/cfb/players/david-harris-4.html,JR,DL,,Air Force,2015
Jalen Lacy,jalen-lacy-1,/cfb/players/jalen-lacy-1.html,JR,DL,,Air Force,2015
Cody Moorhead,cody-moorhead-1,/cfb/players/cody-moorhead-1.html,SO,DL,,Air Force,2015
Patrick Healy,patrick-healy-1,/cfb/players/patrick-healy-1.html,JR,LB,,Air Force,2015
Claude Alexander,claude-alexander-1,/cfb/players/claude-alexander-1.html,JR,LB,,Air Force,2015
D.J. Dunn Jr.,dj-dunn-jr-1,/cfb/players/dj-dunn-jr-1.html,JR,LB,,Air Force,2015
Matt Evans,matt-evans-1,/cfb/players/matt-evans-1.html,SO,LB,,Air Force,2015
Jack Flor,jack-flor-1,/cfb/players/jack-flor-1.html,SO,LB,,Air Force,2015
Omar Gardea,omar-gardea-1,/cfb/players/omar-gardea-1.html,SO,LB,,Air Force,2015
Kristov George,kristov-george-1,/cfb/players/kristov-george-1.html,SR,LB,,Air Force,2015
Conner Healy,conner-healy-1,/cfb/players/conner-healy-1.html,SR,LB,,Air Force,2015
Jacob Onyechi,jacob-onyechi-2,/cfb/players/jacob-onyechi-2.html,JR,LB,,Air Force,2015
Grant Ross,grant-ross-1,/cfb/players/grant-ross-1.html,SO,LB,,Air Force,2015
Dexter Walker,dexter-walker-1,/cfb/players/dexter-walker-1.html,SR,LB,,Air Force,2015
Ryan Watson,ryan-watson-3,/cfb/players/ryan-watson-3.html,JR,LB,,Air Force,2015
Kalon Baker,kalon-baker-1,/cfb/players/kalon-baker-1.html,SR,DB,,Air Force,2015
Marquis Griffin,marquis-griffin-1,/cfb/players/marquis-griffin-1.html,SO,DB,,Air Force,2015
