Player,Player_ID,Player_Link,class,pos,summary,School,Year
Taylor Lamb,taylor-lamb-1,/cfb/players/taylor-lamb-1.html,JR,QB,"197 Cmp, 325 Att, 2281 Yds, 15 TD",Appalachian State,2016
J.P. Caruso,jp-caruso-1,/cfb/players/jp-caruso-1.html,SO,QB,"6 Cmp, 6 Att, 46 Yds, 1 TD",Appalachian State,2016
Jake Easter,jake-easter-1,/cfb/players/jake-easter-1.html,FR,QB,,Appalachian State,2016
Jalin Moore,jalin-moore-1,/cfb/players/jalin-moore-1.html,SO,RB,"237 Att, 1402 Yds, 5.9 Avg",Appalachian State,2016
Marcus Cox,marcus-cox-2,/cfb/players/marcus-cox-2.html,SR,RB,"158 Att, 1015 Yds, 6.4 Avg",Appalachian State,2016
Josh Boyd,josh-boyd-2,/cfb/players/josh-boyd-2.html,SO,RB,"7 Att, 42 Yds, 6.0 Avg",Appalachian State,2016
Mondo Williams,mondo-williams-1,/cfb/players/mondo-williams-1.html,SR,RB,,Appalachian State,2016
Deltron Hopkins,deltron-hopkins-1,/cfb/players/deltron-hopkins-1.html,SO,WR,"23 Rec, 151 Yds, 6.6 Avg",Appalachian State,2016
Jaylan Barbour,jaylan-barbour-1,/cfb/players/jaylan-barbour-1.html,SO,WR,"6 Rec, 45 Yds, 7.5 Avg",Appalachian State,2016
Myken Golden,myken-golden-1,/cfb/players/myken-golden-1.html,SR,WR,,Appalachian State,2016
Shaedon Meadors,shaedon-meadors-1,/cfb/players/shaedon-meadors-1.html,JR,WR,"45 Rec, 716 Yds, 15.9 Avg",Appalachian State,2016
Jaquil Capel,jaquil-capel-1,/cfb/players/jaquil-capel-1.html,SR,WR,"25 Rec, 290 Yds, 11.6 Avg",Appalachian State,2016
Isaiah Lewis,isaiah-lewis-2,/cfb/players/isaiah-lewis-2.html,JR,WR,"18 Rec, 236 Yds, 13.1 Avg",Appalachian State,2016
Dante Jones,dante-jones-3,/cfb/players/dante-jones-3.html,JR,WR,"10 Rec, 94 Yds, 9.4 Avg",Appalachian State,2016
