Player,Player_ID,Player_Link,class,pos,summary,School,Year
Khalil Tate,khalil-tate-1,/cfb/players/khalil-tate-1.html,SO,QB,"111 Cmp, 179 Att, 1591 Yds, 14 TD",Arizona,2017
Brandon Dawkins,brandon-dawkins-2,/cfb/players/brandon-dawkins-2.html,JR,QB,"70 Cmp, 114 Att, 732 Yds, 5 TD",Arizona,2017
Rhett Rodriguez,rhett-rodriguez-1,/cfb/players/rhett-rodriguez-1.html,FR,QB,"1 Cmp, 1 Att, 10 Yds, 0 TD",Arizona,2017
Donavan Tate,donavan-tate-1,/cfb/players/donavan-tate-1.html,FR,QB,"1 Cmp, 1 Att, 10 Yds, 0 TD",Arizona,2017
Zach Werlinger,zach-werlinger-1,/cfb/players/zach-werlinger-1.html,JR,QB,,Arizona,2017
K'Hari Lane,khari-lane-1,/cfb/players/khari-lane-1.html,FR,QB,,Arizona,2017
Andrew Tovar,andrew-tovar-1,/cfb/players/andrew-tovar-1.html,FR,QB,,Arizona,2017
J.J. Taylor,jj-taylor-1,/cfb/players/jj-taylor-1.html,FR,RB,"146 Att, 847 Yds, 5.8 Avg",Arizona,2017
Nick Wilson,nick-wilson-2,/cfb/players/nick-wilson-2.html,SR,RB,"128 Att, 614 Yds, 4.8 Avg",Arizona,2017
Zach Green,zach-green-2,/cfb/players/zach-green-2.html,SR,RB,"66 Att, 312 Yds, 4.7 Avg",Arizona,2017
Branden Leon,branden-leon-1,/cfb/players/branden-leon-1.html,SO,RB,"13 Att, 81 Yds, 6.2 Avg",Arizona,2017
Nathan Tilford,nathan-tilford-1,/cfb/players/nathan-tilford-1.html,FR,RB,"13 Att, 121 Yds, 9.3 Avg",Arizona,2017
Gary Brightwell,gary-brightwell-1,/cfb/players/gary-brightwell-1.html,FR,RB,,Arizona,2017
Jake Laudenslager,jake-laudenslager-1,/cfb/players/jake-laudenslager-1.html,FR,RB,,Arizona,2017
Noah Pittenger,noah-pittenger-1,/cfb/players/noah-pittenger-1.html,FR,RB,,Arizona,2017
Dakota Poe,dakota-poe-1,/cfb/players/dakota-poe-1.html,FR,RB,,Arizona,2017
Quincy Wimbish,quincy-wimbish-1,/cfb/players/quincy-wimbish-1.html,FR,RB,,Arizona,2017
Tyrell Johnson,tyrell-johnson-2,/cfb/players/tyrell-johnson-2.html,SR,WR,"22 Rec, 301 Yds, 13.7 Avg",Arizona,2017
Shun Brown,shun-brown-1,/cfb/players/shun-brown-1.html,JR,WR,"43 Rec, 573 Yds, 13.3 Avg",Arizona,2017
Tony Ellison,tony-ellison-1,/cfb/players/tony-ellison-1.html,JR,WR,"37 Rec, 598 Yds, 16.2 Avg",Arizona,2017
Shawn Poindexter,shawn-poindexter-1,/cfb/players/shawn-poindexter-1.html,SR,WR,"19 Rec, 294 Yds, 15.5 Avg",Arizona,2017
Cedric Peterson,cedric-peterson-1,/cfb/players/cedric-peterson-1.html,SO,WR,"8 Rec, 57 Yds, 7.1 Avg",Arizona,2017
Devaughn Cooper,devaughn-cooper-1,/cfb/players/devaughn-cooper-1.html,FR,WR,"2 Rec, 12 Yds, 6.0 Avg",Arizona,2017
Brian Casteel,brian-casteel-1,/cfb/players/brian-casteel-1.html,FR,WR,"1 Rec, 24 Yds, 24.0 Avg",Arizona,2017
Cam Denson,cam-denson-1,/cfb/players/cam-denson-1.html,SR,WR,"1 Rec, 5 Yds, 5.0 Avg",Arizona,2017
Donovan Moore,donovan-moore-2,/cfb/players/donovan-moore-2.html,JR,WR,,Arizona,2017
