Player,Player_ID,Player_Link,class,pos,summary,School,Year
James Blackman,james-blackman-1,/cfb/players/james-blackman-1.html,SR,QB,"223 Cmp, 347 Att, 2471 Yds, 14 TD",Arkansas State,2022
AJ Mayer,aj-mayer-1,/cfb/players/aj-mayer-1.html,SR,QB,"19 Cmp, 39 Att, 214 Yds, 2 TD",Arkansas State,2022
Jaxon Dailey,jaxon-dailey-1,/cfb/players/jaxon-dailey-1.html,SO,QB,"5 Cmp, 10 Att, 34 Yds, 0 TD",Arkansas State,2022
Johnnie Lang,johnnie-lang-1,/cfb/players/johnnie-lang-1.html,SR,RB,"119 Att, 419 Yds, 3.5 Avg",Arkansas State,2022
Brian Snead,brian-snead-2,/cfb/players/brian-snead-2.html,SR,RB,"81 Att, 299 Yds, 3.7 Avg",Arkansas State,2022
Marcel Murray,marcel-murray-1,/cfb/players/marcel-murray-1.html,SR,RB,"35 Att, 193 Yds, 5.5 Avg",Arkansas State,2022
Ja'Quez Cross,jaquez-cross-1,/cfb/players/jaquez-cross-1.html,SO,RB,"24 Att, 92 Yds, 3.8 Avg",Arkansas State,2022
Mike Sharpe II,mike-sharpe-ii-1,/cfb/players/mike-sharpe-ii-1.html,SO,RB,"17 Att, 54 Yds, 3.2 Avg",Arkansas State,2022
Torrance Farmer,torrance-farmer-1,/cfb/players/torrance-farmer-1.html,JR,RB,,Arkansas State,2022
Ay'Jon Green,ayjon-green-1,/cfb/players/ayjon-green-1.html,JR,RB,,Arkansas State,2022
Casey Johnson III,casey-johnson-iii-1,/cfb/players/casey-johnson-iii-1.html,SO,RB,,Arkansas State,2022
Nick Lewis,nick-lewis-1,/cfb/players/nick-lewis-1.html,SO,RB,,Arkansas State,2022
Bobby McMillian,bobby-mcmillian-1,/cfb/players/bobby-mcmillian-1.html,SO,RB,,Arkansas State,2022
Tyler Williams,tyler-williams-11,/cfb/players/tyler-williams-11.html,SO,RB,,Arkansas State,2022
Champ Flemings,champ-flemings-1,/cfb/players/champ-flemings-1.html,SR,WR,"41 Rec, 492 Yds, 12.0 Avg",Arkansas State,2022
Jeff Foreman,jeff-foreman-1,/cfb/players/jeff-foreman-1.html,SR,WR,"30 Rec, 491 Yds, 16.4 Avg",Arkansas State,2022
Te'Vailance Hunt,tevailance-hunt-2,/cfb/players/tevailance-hunt-2.html,SR,WR,"16 Rec, 170 Yds, 10.6 Avg",Arkansas State,2022
Adam Jones,adam-jones-2,/cfb/players/adam-jones-2.html,JR,WR,"16 Rec, 167 Yds, 10.4 Avg",Arkansas State,2022
Daverrick Jenkins,daverrick-jenkins-1,/cfb/players/daverrick-jenkins-1.html,SO,WR,"9 Rec, 159 Yds, 17.7 Avg",Arkansas State,2022
Reagan Ealy,reagan-ealy-1,/cfb/players/reagan-ealy-1.html,JR,WR,"7 Rec, 46 Yds, 6.6 Avg",Arkansas State,2022
Khyheem Waleed,khyheem-waleed-1,/cfb/players/khyheem-waleed-1.html,JR,WR,"5 Rec, 34 Yds, 6.8 Avg",Arkansas State,2022
Jaden Milliner,jaden-milliner-1,/cfb/players/jaden-milliner-1.html,SO,WR,"2 Rec, 26 Yds, 13.0 Avg",Arkansas State,2022
Omari Wailker,omari-wailker-1,/cfb/players/omari-wailker-1.html,SO,WR,"2 Rec, 11 Yds, 5.5 Avg",Arkansas State,2022
Wyatt Begeal,wyatt-begeal-1,/cfb/players/wyatt-begeal-1.html,SO,WR,,Arkansas State,2022
CJ Cage,cj-cage-1,/cfb/players/cj-cage-1.html,SO,WR,,Arkansas State,2022
Joseph Adams,joseph-adams-1,/cfb/players/joseph-adams-1.html,SO,WR,,Arkansas State,2022
Walker Catsavis,walker-catsavis-1,/cfb/players/walker-catsavis-1.html,SO,WR,,Arkansas State,2022
Trace Corum,trace-corum-1,/cfb/players/trace-corum-1.html,SO,WR,,Arkansas State,2022
Cameron Harris,cameron-harris-1,/cfb/players/cameron-harris-1.html,SO,WR,,Arkansas State,2022
Marquis Harris,marquis-harris-1,/cfb/players/marquis-harris-1.html,SO,WR,,Arkansas State,2022
Brody McKinnon,brody-mckinnon-1,/cfb/players/brody-mckinnon-1.html,SO,WR,,Arkansas State,2022
Will Whaley,will-whaley-1,/cfb/players/will-whaley-1.html,SO,WR,,Arkansas State,2022
Blake Wiley,blake-wiley-1,/cfb/players/blake-wiley-1.html,SO,WR,,Arkansas State,2022
Seydou Traore,seydou-traore-1,/cfb/players/seydou-traore-1.html,JR,TE,"50 Rec, 655 Yds, 13.1 Avg",Arkansas State,2022
Emmanual Stevenson,emmanual-stevenson-1,/cfb/players/emmanual-stevenson-1.html,JR,TE,"13 Rec, 74 Yds, 5.7 Avg",Arkansas State,2022
Reed Tyler,reed-tyler-1,/cfb/players/reed-tyler-1.html,SR,TE,"4 Rec, 15 Yds, 3.8 Avg",Arkansas State,2022
Miller McCrumby,miller-mccrumby-1,/cfb/players/miller-mccrumby-1.html,SO,TE,"1 Rec, 9 Yds, 9.0 Avg",Arkansas State,2022
Vershaud Richardson,vershaud-richardson-1,/cfb/players/vershaud-richardson-1.html,JR,TE,,Arkansas State,2022
Bronte Gallo,bronte-gallo-1,/cfb/players/bronte-gallo-1.html,SO,TE,,Arkansas State,2022
