Player,Player_ID,Player_Link,class,pos,summary,School,Year
Cade Ballard,cade-ballard-1,/cfb/players/cade-ballard-1.html,SR,QB,"20 Cmp, 46 Att, 363 Yds, 2 TD",Army,2022
Jemel Jones,jemel-jones-1,/cfb/players/jemel-jones-1.html,SR,QB,"13 Cmp, 38 Att, 250 Yds, 1 TD",Army,2022
Tyhier Tyler,tyhier-tyler-1,/cfb/players/tyhier-tyler-1.html,SR,QB,"8 Cmp, 18 Att, 301 Yds, 2 TD",Army,2022
Bryson Daily,bryson-daily-1,/cfb/players/bryson-daily-1.html,JR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD",Army,2022
Maurice Bellan,maurice-bellan-1,/cfb/players/maurice-bellan-1.html,SR,QB,,Army,2022
Zach Mundell,zach-mundell-1,/cfb/players/zach-mundell-1.html,SO,QB,,Army,2022
Jacob Azizi,jacob-azizi-1,/cfb/players/jacob-azizi-1.html,SO,QB,,Army,2022
Dewayne Coleman,dewayne-coleman-1,/cfb/players/dewayne-coleman-1.html,SO,QB,,Army,2022
Bryce Davis,bryce-davis-1,/cfb/players/bryce-davis-1.html,SO,QB,,Army,2022
Alex Meredith,alex-meredith-1,/cfb/players/alex-meredith-1.html,SR,QB,,Army,2022
Ahlon Mitchell,ahlon-mitchell-1,/cfb/players/ahlon-mitchell-1.html,JR,QB,,Army,2022
Tyrell Robinson,tyrell-robinson-2,/cfb/players/tyrell-robinson-2.html,JR,RB,"38 Att, 321 Yds, 8.4 Avg",Army,2022
Tyson Riley,tyson-riley-1,/cfb/players/tyson-riley-1.html,SR,RB,"95 Att, 441 Yds, 4.6 Avg",Army,2022
Jakobi Buchanan,jakobi-buchanan-1,/cfb/players/jakobi-buchanan-1.html,SR,RB,"82 Att, 337 Yds, 4.1 Avg",Army,2022
Hayden Reed,hayden-reed-1,/cfb/players/hayden-reed-1.html,SO,RB,"37 Att, 188 Yds, 5.1 Avg",Army,2022
Markel Johnson,markel-johnson-2,/cfb/players/markel-johnson-2.html,JR,RB,"33 Att, 211 Yds, 6.4 Avg",Army,2022
Braheam Murphy,braheam-murphy-1,/cfb/players/braheam-murphy-1.html,SR,RB,"26 Att, 226 Yds, 8.7 Avg",Army,2022
Ay'Juan Marshall,ayjuan-marshall-1,/cfb/players/ayjuan-marshall-1.html,SR,RB,"24 Att, 256 Yds, 10.7 Avg",Army,2022
Jarel Dickson,jarel-dickson-1,/cfb/players/jarel-dickson-1.html,JR,RB,"11 Att, 40 Yds, 3.6 Avg",Army,2022
Miles Stewart,miles-stewart-1,/cfb/players/miles-stewart-1.html,JR,RB,"6 Att, 29 Yds, 4.8 Avg",Army,2022
AJ Williams,aj-williams-3,/cfb/players/aj-williams-3.html,JR,RB,"2 Att, 33 Yds, 16.5 Avg",Army,2022
Lucky Brooks,lucky-brooks-1,/cfb/players/lucky-brooks-1.html,JR,RB,,Army,2022
Sabastian Shannon,sabastian-shannon-1,/cfb/players/sabastian-shannon-1.html,SO,RB,,Army,2022
Kalei Akagi,kalei-akagi-1,/cfb/players/kalei-akagi-1.html,FR,RB,,Army,2022
Noah Alexander,noah-alexander-1,/cfb/players/noah-alexander-1.html,SO,RB,,Army,2022
Donovan Baker,donovan-baker-1,/cfb/players/donovan-baker-1.html,SO,RB,,Army,2022
Greg Daniel,greg-daniel-1,/cfb/players/greg-daniel-1.html,SO,RB,,Army,2022
Jofranstar Graham,jofranstar-graham-1,/cfb/players/jofranstar-graham-1.html,SO,RB,,Army,2022
Zach Ogbogu,zach-ogbogu-1,/cfb/players/zach-ogbogu-1.html,SO,RB,,Army,2022
Hunter Roddy,hunter-roddy-1,/cfb/players/hunter-roddy-1.html,SO,RB,,Army,2022
Casey Shorter,casey-shorter-1,/cfb/players/casey-shorter-1.html,SO,RB,,Army,2022
Dallis Small,dallis-small-1,/cfb/players/dallis-small-1.html,SO,RB,,Army,2022
Dakoda Wagner,dakoda-wagner-1,/cfb/players/dakoda-wagner-1.html,SO,RB,,Army,2022
Isaiah Alston,isaiah-alston-1,/cfb/players/isaiah-alston-1.html,JR,WR,"16 Rec, 269 Yds, 16.8 Avg",Army,2022
Cole Caterbone,cole-caterbone-1,/cfb/players/cole-caterbone-1.html,SR,WR,"1 Rec, 7 Yds, 7.0 Avg",Army,2022
Veshe Daniyan,veshe-daniyan-1,/cfb/players/veshe-daniyan-1.html,SR,WR,,Army,2022
Liam Fortner,liam-fortner-1,/cfb/players/liam-fortner-1.html,SO,WR,,Army,2022
Casey Reynolds,casey-reynolds-1,/cfb/players/casey-reynolds-1.html,JR,WR,,Army,2022
Logan Burks,logan-burks-1,/cfb/players/logan-burks-1.html,JR,WR,,Army,2022
Michael Davis,michael-davis-4,/cfb/players/michael-davis-4.html,FR,WR,,Army,2022
Ryan Jackovic,ryan-jackovic-1,/cfb/players/ryan-jackovic-1.html,SR,WR,,Army,2022
Zion Jackson,zion-jackson-1,/cfb/players/zion-jackson-1.html,SO,WR,,Army,2022
Isaiah Lige,isaiah-lige-1,/cfb/players/isaiah-lige-1.html,JR,WR,,Army,2022
Taylor Saulsberry,taylor-saulsberry-1,/cfb/players/taylor-saulsberry-1.html,SO,WR,,Army,2022
Cam Schurr,cam-schurr-1,/cfb/players/cam-schurr-1.html,JR,WR,,Army,2022
Joshua Lingenfelter,joshua-lingenfelter-1,/cfb/players/joshua-lingenfelter-1.html,SR,TE,"3 Rec, 105 Yds, 35.0 Avg",Army,2022
David Crossan,david-crossan-1,/cfb/players/david-crossan-1.html,JR,TE,,Army,2022
Patrick Hester,patrick-hester-1,/cfb/players/patrick-hester-1.html,SO,TE,,Army,2022
Cooper Wilkinson,cooper-wilkinson-1,/cfb/players/cooper-wilkinson-1.html,SO,TE,,Army,2022
Sam Barczak,sam-barczak-1,/cfb/players/sam-barczak-1.html,SR,OL,,Army,2022
Connor Bishop,connor-bishop-1,/cfb/players/connor-bishop-1.html,SR,OL,,Army,2022
Shayne Buckingham,shayne-buckingham-1,/cfb/players/shayne-buckingham-1.html,SR,OL,,Army,2022
Simon Dellinger,simon-dellinger-1,/cfb/players/simon-dellinger-1.html,SR,OL,,Army,2022
Jackson Filipowicz,jackson-filipowicz-1,/cfb/players/jackson-filipowicz-1.html,SR,OL,,Army,2022
Connor Finucane,connor-finucane-1,/cfb/players/connor-finucane-1.html,SR,OL,,Army,2022
Eric Ford,eric-ford-2,/cfb/players/eric-ford-2.html,SO,OL,,Army,2022
Aidan Gaines,aidan-gaines-1,/cfb/players/aidan-gaines-1.html,SR,OL,,Army,2022
