Player,Player_ID,Player_Link,class,pos,summary,School,Year
Tanner Mangum,tanner-mangum-1,/cfb/players/tanner-mangum-1.html,SR,QB,"114 Cmp, 186 Att, 1104 Yds, 5 TD",BYU,2018
Zach Wilson,zach-wilson-3,/cfb/players/zach-wilson-3.html,FR,QB,"120 Cmp, 182 Att, 1578 Yds, 12 TD",BYU,2018
Jaren Hall,jaren-hall-1,/cfb/players/jaren-hall-1.html,FR,QB,,BYU,2018
Beau Hoge,beau-hoge-1,/cfb/players/beau-hoge-1.html,JR,QB,,BYU,2018
Stacy Conner,stacy-conner-1,/cfb/players/stacy-conner-1.html,FR,QB,,BYU,2018
Joe Critchlow,joe-critchlow-1,/cfb/players/joe-critchlow-1.html,SO,QB,,BYU,2018
Hayden Griffitts,hayden-griffitts-1,/cfb/players/hayden-griffitts-1.html,SO,QB,,BYU,2018
Baylor Romney,baylor-romney-1,/cfb/players/baylor-romney-1.html,FR,QB,,BYU,2018
Matt Hadley,matt-hadley-1,/cfb/players/matt-hadley-1.html,SR,RB,"72 Att, 383 Yds, 5.3 Avg",BYU,2018
Squally Canada,squally-canada-1,/cfb/players/squally-canada-1.html,SR,RB,"91 Att, 412 Yds, 4.5 Avg",BYU,2018
Lopini Katoa,lopini-katoa-1,/cfb/players/lopini-katoa-1.html,FR,RB,"76 Att, 423 Yds, 5.6 Avg",BYU,2018
Riley Burt,riley-burt-23,/cfb/players/riley-burt-23.html,JR,RB,"59 Att, 323 Yds, 5.5 Avg",BYU,2018
Tyler Allgeier,tyler-allgeier-1,/cfb/players/tyler-allgeier-1.html,FR,RB,"9 Att, 49 Yds, 5.4 Avg",BYU,2018
Brayden El-Bakri,brayden-el-bakri-1,/cfb/players/brayden-el-bakri-1.html,SR,RB,"8 Rec, 55 Yds, 6.9 Avg",BYU,2018
Sione Finau,sione-finau-1,/cfb/players/sione-finau-1.html,FR,RB,,BYU,2018
Tanner Jacobson,tanner-jacobson-1,/cfb/players/tanner-jacobson-1.html,SR,RB,,BYU,2018
Kavika Fonua,kavika-fonua-1,/cfb/players/kavika-fonua-1.html,JR,RB,,BYU,2018
Kyle Griffitts,kyle-griffitts-1,/cfb/players/kyle-griffitts-1.html,SO,RB,,BYU,2018
KJ Hall,kj-hall-1,/cfb/players/kj-hall-1.html,JR,RB,,BYU,2018
Johnny Tapusoa,johnny-tapusoa-1,/cfb/players/johnny-tapusoa-1.html,JR,RB,,BYU,2018
Aleva Hifo,aleva-hifo-1,/cfb/players/aleva-hifo-1.html,JR,WR,"28 Rec, 358 Yds, 12.8 Avg",BYU,2018
Neil Pau'u,neil-pauu-1,/cfb/players/neil-pauu-1.html,SO,WR,"18 Rec, 216 Yds, 12.0 Avg",BYU,2018
Dylan Collie,dylan-collie-1,/cfb/players/dylan-collie-1.html,SR,WR,"24 Rec, 277 Yds, 11.5 Avg",BYU,2018
Dax Milne,dax-milne-1,/cfb/players/dax-milne-1.html,FR,WR,"10 Rec, 69 Yds, 6.9 Avg",BYU,2018
Micah Simon,micah-simon-1,/cfb/players/micah-simon-1.html,JR,WR,"12 Rec, 107 Yds, 8.9 Avg",BYU,2018
Gunner Romney,gunner-romney-1,/cfb/players/gunner-romney-1.html,FR,WR,"13 Rec, 162 Yds, 12.5 Avg",BYU,2018
Talon Shumway,talon-shumway-1,/cfb/players/talon-shumway-1.html,JR,WR,"22 Rec, 337 Yds, 15.3 Avg",BYU,2018
Akile Davis,akile-davis-1,/cfb/players/akile-davis-1.html,JR,WR,"4 Rec, 47 Yds, 11.8 Avg",BYU,2018
Brayden Cosper,brayden-cosper-1,/cfb/players/brayden-cosper-1.html,FR,WR,,BYU,2018
Trey Dye,trey-dye-1,/cfb/players/trey-dye-1.html,SR,WR,,BYU,2018
Inoke Lotulelei,inoke-lotulelei-1,/cfb/players/inoke-lotulelei-1.html,JR,WR,,BYU,2018
Austin Whetzel,austin-whetzel-1,/cfb/players/austin-whetzel-1.html,SO,WR,,BYU,2018
Matt Bushman,matt-bushman-1,/cfb/players/matt-bushman-1.html,SO,TE,"29 Rec, 511 Yds, 17.6 Avg",BYU,2018
Dallin Holker,dallin-holker-1,/cfb/players/dallin-holker-1.html,FR,TE,"19 Rec, 235 Yds, 12.4 Avg",BYU,2018
Moroni Laulu-Pututau,moroni-laulu-pututau-1,/cfb/players/moroni-laulu-pututau-1.html,JR,TE,"14 Rec, 120 Yds, 8.6 Avg",BYU,2018
Nate Heaps,nate-heaps-1,/cfb/players/nate-heaps-1.html,FR,TE,,BYU,2018
Tanner Leishman,tanner-leishman-1,/cfb/players/tanner-leishman-1.html,FR,TE,,BYU,2018
JJ Nwigwe,jj-nwigwe-1,/cfb/players/jj-nwigwe-1.html,SR,TE,,BYU,2018
Addison Pulsipher,addison-pulsipher-1,/cfb/players/addison-pulsipher-1.html,JR,TE,,BYU,2018
Hank Tuipulotu,hank-tuipulotu-1,/cfb/players/hank-tuipulotu-1.html,FR,TE,,BYU,2018
Ben Ward,ben-ward-2,/cfb/players/ben-ward-2.html,FR,TE,,BYU,2018
Brady Christensen,brady-christensen-1,/cfb/players/brady-christensen-1.html,FR,OL,,BYU,2018
Austin Chambers,austin-chambers-1,/cfb/players/austin-chambers-1.html,SO,OL,,BYU,2018
Ethan Atagi,ethan-atagi-1,/cfb/players/ethan-atagi-1.html,FR,OL,,BYU,2018
Clark Barrington,clark-barrington-1,/cfb/players/clark-barrington-1.html,FR,OL,,BYU,2018
James Empey,james-empey-1,/cfb/players/james-empey-1.html,FR,OL,,BYU,2018
J.T. Gentry,jt-gentry-1,/cfb/players/jt-gentry-1.html,FR,OL,,BYU,2018
Chandon Herring,chandon-herring-1,/cfb/players/chandon-herring-1.html,SO,OL,,BYU,2018
Tristen Hoge,tristen-hoge-1,/cfb/players/tristen-hoge-1.html,SO,OL,,BYU,2018
Austin Hoyt,austin-hoyt-1,/cfb/players/austin-hoyt-1.html,SR,OL,,BYU,2018
Jacob Jimenez,jacob-jimenez-1,/cfb/players/jacob-jimenez-1.html,JR,OL,,BYU,2018
Harris LaChance,harris-lachance-1,/cfb/players/harris-lachance-1.html,FR,OL,,BYU,2018
Ului Lapuaho,ului-lapuaho-1,/cfb/players/ului-lapuaho-1.html,SR,OL,,BYU,2018
Kieffer Longson,kieffer-longson-1,/cfb/players/kieffer-longson-1.html,SO,OL,,BYU,2018
