Player,Player_ID,Player_Link,class,pos,summary,School,Year
Jack Milas,jack-milas-1,/cfb/players/jack-milas-1.html,SR,QB,"110 Cmp, 207 Att, 970 Yds, 2 TD",Ball State,2017
Riley Neal,riley-neal-1,/cfb/players/riley-neal-1.html,JR,QB,"67 Cmp, 99 Att, 659 Yds, 6 TD",Ball State,2017
Drew Plitt,drew-plitt-1,/cfb/players/drew-plitt-1.html,FR,QB,"42 Cmp, 84 Att, 430 Yds, 3 TD",Ball State,2017
Zack Blair,zack-blair-1,/cfb/players/zack-blair-1.html,SO,QB,"9 Cmp, 15 Att, 67 Yds, 0 TD",Ball State,2017
Elliot Charlebois,elliot-charlebois-1,/cfb/players/elliot-charlebois-1.html,FR,QB,,Ball State,2017
Caleb Huntley,caleb-huntley-1,/cfb/players/caleb-huntley-1.html,FR,RB,"210 Att, 1003 Yds, 4.8 Avg",Ball State,2017
Malik Dunner,malik-dunner-1,/cfb/players/malik-dunner-1.html,SO,RB,"74 Att, 440 Yds, 5.9 Avg",Ball State,2017
James Gilbert,james-gilbert-2,/cfb/players/james-gilbert-2.html,JR,RB,"48 Att, 207 Yds, 4.3 Avg",Ball State,2017
Markice Hurt Jr.,markice-hurt-jr-1,/cfb/players/markice-hurt-jr-1.html,FR,RB,"30 Att, 111 Yds, 3.7 Avg",Ball State,2017
Kevin Dominique,kevin-dominique-1,/cfb/players/kevin-dominique-1.html,FR,RB,,Ball State,2017
Darian Green,darian-green-1,/cfb/players/darian-green-1.html,SR,RB,,Ball State,2017
Will Jones,will-jones-3,/cfb/players/will-jones-3.html,FR,RB,,Ball State,2017
David Keeling,david-keeling-2,/cfb/players/david-keeling-2.html,FR,RB,,Ball State,2017
Justin Hall,justin-hall-3,/cfb/players/justin-hall-3.html,FR,WR,"78 Rec, 801 Yds, 10.3 Avg",Ball State,2017
Riley Miller,riley-miller-1,/cfb/players/riley-miller-1.html,SO,WR,"30 Rec, 300 Yds, 10.0 Avg",Ball State,2017
